darija,eng,darija_ar
tawa7ed mab5a ychoufek fhad l7ala ewa tbedel,,تاواحد مابخا يشوفك فهاد لحالا إوا تبدل
sir dber 3la ayi 5edma tjib menha l7lal,,سير دبر علا أيي خدما تجيب منها لحلال
t9atel 3la 9bel lflouss 7lal homa li 5aybanou fik,,تقاتل علا قبل لفلوسّ حلال هوما لي خايبانو فيك
homa li 5aybanou f3a2iltek,,هوما لي خايبانو فعاإلتك
ila mchiti tbe3ti l7ram 3ref rassek ra ghir 5re9ti rassek,,إلا مشيتي تبعتي لحرام عرف راسّك را غير خرقتي راسّك
ou 5re9ti m3ak wladek ou mratek,,و خرقتي معاك ولادك و مراتك
yallah 5rej men dar iu byen liya 7net idik,,يالّاه خرج من دار إو بين لييا حنت إديك
ach bghitini nfhem rani chet tilifounek,,أش بغيتيني نفهم راني شت تيليفونك
chtek kat5ouni,,شتك كاتخوني
mouda hadi ou ana chaka,,مودا هادي و أنا شاكا
ou kangoul la mousta7il,,و كانڭول لا موستاحيل
rajli mafihch had lf3ayl,,راجلي مافيهش هاد لفعايل
kangoul rajli weld nass,,كانڭول راجلي ولد ناسّ
sde9ti weld l7ram,,سدقتي ولد لحرام
kifach katn3ess la jnbek limen koula lila 7daya merta7,,كيفاش كاتنعسّ لا جنبك ليمن كولا ليلا حدايا مرتاح
maki2enbekch damir dialek,,ماكيءنبكش دامير ديالك
makib9ach fik l7al ou nta kat5oun mratek,,ماكيبقاش فيك لحال و نتا كاتخون مراتك
b9a mtbe3 hadik lmra 5at5ere9ek msian ou tji katlebni,,بقا متبع هاديك لمرا خاتخرقك مسيان و تجي كاتلبني
5rej mn dar yallah man3awch nchouf kmartek,,خرج من دار يالّاه مانعاوش نشوف كمارتك
mat7awelch tchre7 liya,,ماتحاولش تشرح لييا
ach 3endek matgoul rak m9eferha,,أش عندك ماتڭول راك مقفرها
5eda 5ayjik lbra dial tl9a,,خدا خايجيك لبرا ديال تلقا
l7amdolah madert m3akl lwlad t3edebhom m3ana,,لحامدولاه مادرت معاكل لولاد تعدبهوم معانا
dar diali ou kolchi bsmiti yallah 5lik 3la dess,,دار ديالي و كولشي بسميتي يالّاه خليك علا دسّ
tzewejan ou dwezna 3echra dial snin,,تزوجان و دوزنا عشرا ديال سنين
sbert 3lik wa5a makatwledch 7it kanb5ik,,سبرت عليك واخا ماكاتولدش حيت كانبخيك
walakin ana li 7em9a li lse9t fik,,والاكين أنا لي حمقا لي لسقت فيك
kan bayn l3erboun mn har lewel,,كان باين لعربون من هار لول
galouha liya walidiya,,ڭالوها لييا واليدييا
ra matsla7ch liya,,را ماتسلاحش لييا
walakin b9it mteb3a ghir 9elbi ta jebtha frassi,,والاكين بقيت متبعا غير قلبي تا جبتها فراسّي
