darija,eng,darija_ar
momkin tl9a li iwasik,,مومكين تلقا لي إواسيك
kaytba9 3lik dak l2amar,,كايتباق عليك داك لأمار
t9blat ana lhayat machi 3adila,,تقبلات أنا لهايات ماشي عاديلا
momkin lholm mayth9a9ch,,مومكين لهولم مايتهقاقش
momkin mtswalach dakchi li bghit,,مومكين متسوالاش داكشي لي بغيت
maknthmlch ib9a m3ya chi wahd,,ماكنتهملش إبقا معيا شي واهد
mal9itch sdi9 bhal niya dyali,,مالقيتش سديق بهال نييا ديالي
ghatih otwa9f ot3wad tih otw9f,,غاتيه أُتواقف أُتعواد تيه أُتوقف
mb9atch lhdra bntna,,مبقاتش لهدرا بنتنا
bghitk tswal 3liya,,بغيتك تسوال علييا
zwin bzaf tkon hbila o3fwiya,,زوين بزاف تكون هبيلا أُعفوييا
ghdya bntak m3a kolchi,,غديا بنتاك معا كولشي
kdhak ta fwajh li makybghwakch,,كدهاك تا فواجه لي ماكيبغواكش
li hdar fdhrak ktsmh lih,,لي هدار فدهراك كتسمه ليه
kola wahd kaykhlso lah 3la 9ad nyto,,كولا واهد كايخلسو الله علا قاد نيتو
li ja idirha biha machi hchoma,,لي جا إديرها بيها ماشي هشوما
lmhim 3ndi kn3as mrtaha,,لمهيم عندي كنعاس مرتاها
ma fiya li ib9a ochrah likom,,ما فييا لي إبقا أُشراه ليكوم
nta kt3atih joj asbab,,نتا كتعاتيه جوج أسباب
katchof lwa9t ghda onta sahi,,كاتشوف لواقت غدا أُنتا ساهي
tla3 lina kolchi fras,,تلاع لينا كولشي فراس
ghda kyan 4 dlmchat,,غدا كيان 4 دلمشات
mal9it kif ndir lik,,مالقيت كيف ندير ليك
lakrim dyal lidin kyan 3ndak,,لاكريم ديال ليدين كيان عنداك
kayzido ghir imrdok,,كايزيدو غير إمردوك
ch3ab mkhnkhan fdmagho,,شعاب مخنخان فدماغو
bdik lhdra dyal wliti m39ad,,بديك لهدرا ديال وليتي معقاد
w9tak kydoz ftbrbir omchkil,,وقتاك كيدوز فتبربير أُمشكيل
tkhli ramz morak 3la 9bal rhtak,,تخلي رامز موراك علا قبال رهتاك
bndam imchi o iji,,بندام إمشي أُ إجي
3ndak lha9 achaf,,عنداك لهاق أشاف
mn lyoma ghankhdam dyali kamal,,من ليوما غانخدام ديالي كامال
3lach hal fmak kadhak bhal lhbil,,علاش هال فماك كادهاك بهال لهبيل
ghadi ndmak 3la nhar li dhakti fmak,,غادي ندماك علا نهار لي دهاكتي فماك
achno dart fhyati ikhdmo m3ya bhal hka,,أشنو دارت فهياتي إخدمو معيا بهال هكا
lman katchbhi nti ghir goli liya,,لمان كاتشبهي نتي غير ڭولي لييا
mdirch liya dwo fwajhi,,مديرش لييا دوو فواجهي
3alch rabtink tmak,,عالش رابتينك تماك
3ta9ni mn hna,,عتاقني من هنا
ana m3ak db matkhfich,,أنا معاك دب ماتخفيش
3t9i rsak b3da chrbi,,عتقي رساك بعدا شربي
dkhali rjlak fsbat,,دخالي رجلاك فسبات
khafna 3lik bzaf walh,,خافنا عليك بزاف واله
lhmdolilah mli l9inak,,لهمدوليلاه ملي لقيناك
dini 3nd khalti 3fak,,ديني عند خالتي عفاك
tbib dyal l9lab 3yti 3lih,,تبيب ديال لقلاب عيتي عليه
man9drach nkhlih bohdo,,مانقدراش نخليه بوهدو
machi darori i3rfo,,ماشي داروري إعرفو
kon khabito dwa maghdich twli fhad lhala,,كون خابيتو دوا ماغديش تولي فهاد لحالا
ghadi t3ich 3nd babha,,غادي تعيش عند بابها
ila chfok ghayfrho bzaf,,إلا شفوك غايفرهو بزاف
mabghit nchof had daba,,مابغيت نشوف هاد دابا
wach khalti bikhir 3ndha,,واش خالتي بيخير عندها
ana kyan 9dam lbab,,أنا كيان قدام لباب
tjm3o 3lik ga3 lmachakil,,تجمعو عليك ڭاع لماشاكيل
ila htajito chi haja ana dima m3kom,,إلا هتاجيتو شي حاجة أنا ديما معكوم
rjal maysthlax hadchi wa93,,رجال مايستهلاش هادشي واقع
bjojhom khd3oni,,بجوجهوم خدعوني
3ychoni fkdba kbira bzaf,,عيشوني فكدبا كبيرا بزاف
madart bhsaab ta wahd,,مادارت بهساب تا واهد
bghtni ntrja3 ftla9,,بغتني نترجاع فتلاق
kifach ijr2at rotiniya,,كيفاش إجرأت روتينييا
l9ina tilphonha malyoh flghaba,,لقينا تيلپهونها ماليوه فلغابا
ghadi tbdal ft3molha matsdmoch,,غادي تبدال فتعمولها ماتسدموش
ghir sir 3a2iltk mhtajink,,غير سير عاإلتك مهتاجينك
rah f2a9rb wa9t ghdi irja3 kolchi kif kan,,راه فأقرب واقت غدي إرجاع كولشي كيف كان
ghn3as had lila hda bnti,,غنعاس هاد ليلا هدا بنتي
machft mnkom ghir lkhir,,ماشفت منكوم غير لخير
3ndi zhar hit nti m3ya,,عندي زهار هيت نتي معيا
m3mri nkhlik t3adbi,,معمري نخليك تعادبي
nt3dab ana omt3dabich nti,,نتعداب أنا أُمتعدابيش نتي
hiya 3tat lbnti monwim,,هييا عتات لبنتي مونويم
knt ghatmot bsbakom bjoj,,كنت غاتموت بسباكوم بجوج
maymknach tkon dif omndyfokach,,مايمكناش تكون ديف أُمنديفوكاش
nti ghir dri l3cha safi,,نتي غير دري لعشا سافي
nhako lmw3an bjikas,,نهاكو لموعان بجيكاس
3l9tna mtwtra chwya,,علقتنا متوترا شويا
3ndkom tbla dyal salon,,عندكوم تبلا ديال سالون
lmrah dyalkom sghir,,لمراه ديالكوم سغير
lah ihdik mdirch hkak,,الله إهديك مديرش هكاك
3rafti l9ima dyalha mn lwal,,عرافتي لقيما ديالها من لوال
3mark ghamrti ola la,,عمارك غامرتي أُلا لا
3inik 3aslyin waw,,عينيك عاسليين واو
ghdi insik fdakchi li fat kmal,,غدي إنسيك فداكشي لي فات كمال
hawlo tsalho 3la 9bal hobkom,,هاولو تسالهو علا قبال هوبكوم
wach tzad 3lik lhal bzaf,,واش تزاد عليك لحال بزاف
kadiro lbido chtba tbrad lma,,كاديرو لبيدو شتبا تبراد لما
ola 3ndkom tirmosa,,أُلا عندكوم تيرموسا
kola orz9o fhad dniya,,كولا أُرزقو فهاد دنييا
3fak haki liya dahari,,عفاك هاكي لييا داهاري
3n9i 3mar hbob m3rftich sbab,,عنقي عمار هبوب معرفتيش سباب
tsdo liya wdniya khsni n9abhom,,تسدو لييا ودنييا خسني نقابهوم
bghit nchri chi grinat dyal dhab,,بغيت نشري شي ڭرينات ديال دهاب
lbrnmaj dyal jazirat lknaz 3ziz 3liya,,لبرنماج ديال جازيرات لكناز عزيز علييا
wahd bhali mymknax ikon m3ak nti,,واهد بهالي ميمكناش إكون معاك نتي
waslti lblsa li katli9 bik,,واسلتي لبلسا لي كاتليق بيك
katsnyi nhal lik lbab,,كاتسنيي نهال ليك لباب
3ndi idi nhlo lrasi,,عندي إدي نهلو لراسي
