darija,eng,darija_ar
ay3tewna lmilf 4da,,أيعتونا لميلف 4دا
ndaf3ou ltakwin fin 9rina,,ندافعو لتاكوين فين قرينا
had l3am s3ib tl9a xarika,,هاد لعام سعيب تلقا شاريكا
nsaw 3lina lkawarit,,نساو علينا لكاواريت
wach khdmti tamrin 2,,واش خدمتي تامرين 2
swlt f lgrp majawab had,,سولت ف لڭرپ ماجاواب هاد
nmchiw nakriw fiha yak ?,,نمشيو ناكريو فيها ياك ?
finma kan ana ma3andix moxkil,,فينما كان أنا ماعانديش موشكيل
sahbt mama 4adi tchouf lina stage,,ساهبت ماما 4ادي تشوف لينا ستاڭ
maywsalch l5ayt lahna,,مايوسالش لخايت لاهنا
3ad kan9adou fi dikor,,عاد كانقادو في ديكور
nhawl n9ad baht,,نهاول نقاد باهت
dwina m3a had lmra,,دوينا معا هاد لمرا
nchoufou lihsn,,نشوفو ليهسن
4alo liya tof maxi moxkil,,4الو لييا توف ماشي موشكيل
ghi hiya drt wahd l5ata2,,غي هييا درت واهد لخاتاء
lmoxkila tmsh liya men pc,,لموشكيلا تمسه لييا من پك
3iwad ndir 2017 drt 2020,,عيواد ندير 2017 درت 2020
ah 3ad chftha dba,,أه عاد شفتها دبا
tanti may3jbakch?,,تانتي مايعجباكش?
3lax onssa mzn,,علاش أُنسّا مزن
laboratoire kbir fih maydar,,لابوراتور كبير فيه مايدار
5as nmxiw l chaouen,,خاس نمشيو ل شاون
nstajiw fi xi haja li ladf3na l5dma y9blona,,نستاجيو في شي حاجة لي لادفعنا لخدما يقبلونا
9atli onssa hsan,,قاتلي أُنسّا هسان
4oli liha ah,,4ولي ليها أه
ndf3o lwzinat,,ندفعو لوزينات
l9ina xi haja hsn nbdlo,,لقينا شي حاجة هسن نبدلو
ndmnoha hia 3ad n9albo,,ندمنوها هيا عاد نقالبو
4adi tkon 3andha xi haja,,4ادي تكون عاندها شي حاجة
l9it xi haja,,لقيت شي حاجة
nsaybt lina bjojat,,نسايبت لينا بجوجات
4alo liya 5as domende,,4الو لييا خاس دومند
ah wchnou andirou,,أه وشنو أنديرو
wach darouri,,واش داروري
