darija,eng,darija_ar
anari ax had l5la fin lahok,,أناري أش هاد لخلا فين لاهوك
axno smit had lblasa,,أشنو سميت هاد لبلاسا
ki 4adi diri,,كي 4ادي ديري
wax m3ak xi bnt,,واش معاك شي بنت
raha 9asha 3lik bohdk,,راها قاسها عليك بوهدك
m3yaa khtu,,معيا ختو
mn9drx nb9a bohdi,,منقدرش نبقا بوهدي
kaynin bnat sakknin bohdhom,,كاينين بنات ساكّنين بوهدهوم
had l3am ydoz bzrba,,هاد لعام يدوز بزربا
l3am jay thawli,,لعام جاي تهاولي
thwlt lwlad 3ayad,,تهولت لولاد عاياد
la knti kat3rfihom siri andhom,,لا كنتي كاتعرفيهوم سيري أندهوم
tansm3 bihom,,تانسمع بيهوم
rah 9reb lina,,راه قرب لينا
9riba xwiya hta ldar,,قريبا شوييا هتا لدار
3andna 16 l'opposé ta3ha howa -16,,عاندنا 16 ل'وپّوسé تاعها هووا -16
howa hadak,,هووا هاداك
mataln 8 l'opposé dylha howa -8,,ماتالن 8 ل'وپّوسé ديلها هووا -8
dak tamrin 4 5arjtih,,داك تامرين 4 خارجتيه
wax 4adi nhsbo 3ad,,واش 4ادي نهسبو عاد
n3tiw lmo9abil safi,,نعتيو لموقابيل سافي
dakxu li3tawk 3ad aderi l'opposé,,داكشو ليعتاوك عاد أدري ل'وپّوسé
had xi rah tnsa 3liya,,هاد شي راه تنسا علييا
m3a lwa9t taytnsa,,معا لواقت تايتنسا
knrj3 ldak xi l9dim,,كنرجع لداك شي لقديم
kal9a b9at ghi l4abra,,كالقا بقات غي ل4ابرا
matb9ax raj3ha katnsaha,,ماتبقاش راجعها كاتنساها
asoktu 3la dok stoula satawni,,أسوكتو علا دوك ستولا ساتاوني
mxit fi wahd a5or,,مشيت في واهد أخور
kiwsl ghi nos fi tri9,,كيوسل غي نوس في تريق
kaydero fina mabghaw,,كايدرو فينا مابغاو
db tnod thermo sdamna hta hiya,,دب تنود تهرمو سدامنا هتا هييا
maart lihm tahuma eala had xi,,مارت ليهم تاهوما إالا هاد شي
had sakta ki5la3ni,,هاد ساكتا كيخلاعني
ana thermo baqa ga3ma bdeto,,أنا تهرمو باقا ڭاعما بدتو
baqa mkmltha lmoraja3a,,باقا مكملتها لموراجاعا
tana bhalk,,تانا بهالك
bayna 4adi y3lmona bi nhar 9bl,,باينا 4ادي يعلمونا بي نهار قبل
wayih ullah ta khayfin mn hedchi,,واييه ولّاه تا خايفين من هدشي
haja mn wra hja,,حاجة من ورا هجا
bax bhra njiw m3ahom nixan,,باش بهرا نجيو معاهوم نيشان
yarebi yhfdna wsf,,ياربي يهفدنا وسف
guliya wch les binômes kinin,,ڭولييا وش لس بينôمس كينين
galena nderoh ftp,,ڭالنا ندروه فتپ
wch huma dyl pfe nit wlala,,وش هوما ديل پف نيت ولالا
ghir m3amen mabghiti,,غير معامن مابغيتي
t5admi fi majmo3a,,تخادمي في ماجموعا
5admi nos ana n5adam nos,,خادمي نوس أنا نخادام نوس
ma4adix tjibi lpc,,ما4اديش تجيبي لپك
5dmi m3aya fi pc ta3i,,خدمي معايا في پك تاعي
nchuf wngulek,,نشوف ونڭولك
bhra 4adya bi hwiji,,بهرا 4اديا بي هويجي
bchhal kreti,,بشهال كرتي
seri ylh twsli,,سري يله توسلي
tsybi dakchi?,,تسيبي داكشي?
hsen lik ba3da,,هسن ليك باعدا
kreti mea chi bnt wla buhdk,,كرتي ما شي بنت ولا بوهدك
wax fahmti kif daro ltamrin 5,,واش فاهمتي كيف دارو لتامرين 5
5rjo lik nfs liyam?,,خرجو ليك نفس لييام?
knt khdmto dek simana,,كنت خدمتو دك سيمانا
khrjo liya bhalhom,,خرجو لييا بهالهوم
antl3 ldar lfoq o nchrha lik,,أنتلع لدار لفوق أُ نشرها ليك
fhmty dak tp,,فهمتي داك تپ
had xi li drt db,,هاد شي لي درت دب
bhra bdit dak xi mxhr,,بهرا بديت داك شي مشهر
hadchi l9ito f google,,هادشي لقيتو ف ڭوڭل
rah gha so2al sahl,,راه غا سوأل ساهل
wax howa li talb tahalil,,واش هووا لي تالب تاهاليل
mlki majity f 3chiya,,ملكي ماجيتي ف عشييا
kat3arfi lhaddo mnin knjubohm,,كاتعارفي لهادّو منين كنجوبوهم
wch khdmty td,,وش خدمتي تد
mafahmax kolxi,,مافاهماش كولشي
dwzt 3lih hta l9ism,,دوزت عليه هتا لقيسم
ax 5ask fih ila knt fahmah,,أش خاسك فيه إلا كنت فاهماه
wakha sf tl sbah,,واخا سف تل سباه
nkhdmu chi hja,,نخدمو شي هجا
bhra 4adi nbda,,بهرا 4ادي نبدا
men sbah o ana habsa,,من سباه أُ أنا هابسا
