darija,eng,darija_ar
nta baghi dbaz ban liya,,نتا باغي دباز بان لييا
3lash katshofi fiya bhal hakda,,علاسه كاتسهوفي فييا بهال هاكدا
maymknsh manjish,,مايمكنسه مانجيسه
bghitk ghir tkoni frhana,,بغيتك غير تكوني فرهانا
wash kolshi mzyan,,واسه كولسهي مزيان
hiya mrida bzaf,,هييا مريدا بزاف
khassha trj3 daba,,خاسّها ترجع دابا
kant katshrb wahd dwa,,كانت كاتسهرب واهد دوا
hiya bhal khti,,هييا بهال ختي
sahbti mn sghr,,ساهبتي من سغر
3ndha moshkil diyal l9lb,,عندها موسهكيل دييال لقلب
ana wlftha,,أنا ولفتها
3afakom d3iw m3aha,,عافاكوم دعيو معاها
mabghitsh nb9a bohdi,,مابغيتسه نبقا بوهدي
khask tbghi rask,,خاسك تبغي راسك
matbdl hta shi haja fik,,ماتبدل هتا سهي حاجة فيك
hiya b9at kad3af,,هييا بقات كادعاف
kant gha dir l3amaliya,,كانت غا دير لعامالييا
ghir d3i m3aha,,غير دعي معاها
knt kanfkr nshrb hadak dwa,,كنت كانفكر نسهرب هاداك دوا
kathawl dir lmostahil,,كاتهاول دير لموستاهيل
katl9a bzaf diyal nass dayrin bihom,,كاتلقا بزاف دييال ناسّ دايرين بيهوم
hadok nass massalhin lwalo,,هادوك ناسّ ماسّالهين لوالو
knt kankhaf 3lik bzaf,,كنت كانخاف عليك بزاف
mabydik madir,,مابيديك مادير
ana gha nb9a m3aha,,أنا غا نبقا معاها
sir rtah lik shwiya,,سير رتاه ليك سهوييا
ma3ndk lash tshkrni,,ماعندك لاسه تسهكرني
hahiya katslm 3likom,,هاهييا كاتسلم عليكوم
matdiwha fta shi wahd,,ماتديوها فتا سهي واهد
ana rah twhshtk bzaf,,أنا راه توهسهتك بزاف
hna ahrar,,هنا أهرار
tawahd ma3do lh9 ydkhl fik,,تاواهد ماعدو لهق يدخل فيك
imta kna mtaf9in,,إمتا كنا متافقين
ash khbar,,أسه خبار
amdra ki b9at hadik lbnt,,أمدرا كي بقات هاديك لبنت
shkon m3aya,,سهكون معايا
3tini l3onwan diyalk,,عتيني لعونوان دييالك
ana shwiya w nkoun 3ndk,,أنا سهوييا و نكون عندك
shfti nass kifash wlaw kayhdro m3aya,,سهفتي ناسّ كيفاسه ولاو كايهدرو معايا
dakshi li katgoli kay3jb nass,,داكسهي لي كاتڭولي كايعجب ناسّ
wahd lmra sekhfana,,واهد لمرا سخفانا
maymkench hadchi,,مايمكنش هادشي
nti awel whda dkhlat had nhar,,نتي أول وهدا دخلات هاد نهار
wach nti mty9na,,واش نتي متيقنا
3endak termi rasek,,عنداك ترمي راسك
madjik tal sbah,,مادجيك تال سباه
kays7abli baghi termi rasek,,كايسحابلي باغي ترمي راسك
makaynch chi mekanisiyan 9rib men hna?,,ماكاينش شي مكانيسييان قريب من هنا?
kayn ghir hna nit,,كاين غير هنا نيت
momkin tkelmou lia,,مومكين تكلمو ليا
tfechouli rwayd dyal tomobil,,تفشولي روايد ديال توموبيل
bghitek tgad lia lmotor,,بغيتك تڭاد ليا لموتور
ila jat 3la khatrek,,إلا جات علا خاترك
chehal yekfik dyal lwa9t?,,شهال يكفيك ديال لواقت?
khasani chi nes sa3a dyal lmagana,,خاساني شي نس ساعا ديال لماڭانا
momkin tmchi tchref 9hiwa binma salit,,مومكين تمشي تشرف قهيوا بينما ساليت
jiblina sandwich b7al dima,,جيبلينا ساندويش بحال ديما
la 3afak mabghitch,,لا عافاك مابغيتش
merhba hia lewla,,مرهبا هيا لولا
mamwalfach lik,,ماموالفاش ليك
3yntouni,,عينتوني
haki do9i chwia,,هاكي دوقي شويا
bsseh hadchi za3ma?,,بسّه هادشي زاعما?
wach chi hed mseltek 3lia?,,واش شي هد مسلتك عليا?
3awtani ntia,,عاوتاني نتيا
smahli ma9sedtch,,سماهلي ماقسدتش
safi zgay,,سافي زڭاي
lmoudir jay,,لمودير جاي
nodi baraka,,نودي باراكا
baraka men lhadra,,باراكا من لهادرا
kighada lkhedma?,,كيغادا لخدما?
3la l2a9al lkhedma dyalk met9ouna,,علا لأقال لخدما ديالك متقونا
3endak trechi 3lih chi haja,,عنداك ترشي عليه شي حاجة
yalah m3aya tchouf,,يالاه معايا تشوف
ana lmouhim 3endi hia lkhedma tkoun ghadya mzyan,,أنا لموهيم عندي هيا لخدما تكون غاديا مزيان
katkhdem mezyan,,كاتخدم مزيان
hia 7sen men lokhrin,,هيا حسن من لوخرين
dima kanel9aha chada lktab wkat9ra,,ديما كانلقاها شادا لكتاب وكاتقرا
dima kankhasem 3liha,,ديما كانخاسم عليها
matou walidiha b ksidda,,ماتو واليديها ب كسيدّا
bghat tekhdem 3la raseha,,بغات تخدم علا راسها
mli tsali lkhedma dyalha siftihalia lhna,,ملي تسالي لخدما ديالها سيفتيهاليا لهنا
mli mat mertou mab9ach kayji lme3mel bzaf,,ملي مات مرتو مابقاش كايجي لمعمل بزاف
kay3awedi 3lih taybghiha bzaf,,كايعاودي عليه تايبغيها بزاف
kant zwina meskina,,كانت زوينا مسكينا
mat ghar9a,,مات غارقا
diwha f khdemtekoum,,ديوها ف خدمتكوم
koun ghir had lhadra li kadirou t3tiwha lina ghir khedma,,كون غير هاد لهادرا لي كاديرو تعتيوها لينا غير خدما
yak kangoulik diha f khdemtek,,ياك كانڭوليك ديها ف خدمتك
kangoulek dkhli sou9 rasek,,كانڭولك دخلي سوق راسك
3atyaha lktouba b lil wbenhar,,عاتياها لكتوبا ب ليل وبنهار
3ayat lik lpatron,,عايات ليك لپاترون
chi hed bghat tkelmi lih,,شي هد بغات تكلمي ليه
zidi geddami,,زيدي ڭدّامي
matb9aych tel3i wthebti fih b choufatek,,ماتبقايش تلعي وتهبتي فيه ب شوفاتك
mnhar matet lih mertou mab9ach kay7mel l3yalat,,منهار ماتت ليه مرتو مابقاش كايحمل لعيالات
yalah teb3ini,,يالاه تبعيني
momkin tfedli 3afak,,مومكين تفدلي عافاك
hahya siyda li gotlak 3liha,,هاهيا سييدا لي ڭوتلاك عليها
riwaya dyali hadik,,ريوايا ديالي هاديك
kan9ra jmi3 riwayat dyal had lkatib,,كانقرا جميع ريوايات ديال هاد لكاتيب
daba kan9ra had lktab,,دابا كانقرا هاد لكتاب
l7oub f lekher hwa li kayntaser,,لحوب ف لخر هوا لي كاينتاسر
chkou 3elmek t9ray?,,شكو علمك تقراي?
l9ira2a kat3emer lik lfaragh dyalk,,لقيراأ كاتعمر ليك لفاراغ ديالك
amdra kayn chi jadid?,,أمدرا كاين شي جاديد?
sm7lia ila gtlak chi haja 9al9atek,,سمحليا إلا ڭتلاك شي حاجة قالقاتك
momkin tkherji t3chay m3aya,,مومكين تخرجي تعشاي معايا
wach ana ?,,واش أنا ?
che7al lmouda hadi wnti khedama hnaya?,,شحال لمودا هادي ونتي خداما هنايا?
t9riban chi 3am,,تقريبان شي عام
kifach derti ta khdamti,,كيفاش درتي تا خدامتي
wahed siyda li twastat lia,,واهد سييدا لي تواستات ليا
kadjik chi haja men l3a2ila,,كادجيك شي حاجة من لعاإلا
houma li telbouha,,هوما لي تلبوها
