darija,eng,darija_ar
kan kis7ab liya ghadi ytchebbet bdin,,كان كيسحاب لييا غادي يتشبّت بدين
kan kis7ab liya ghadi yested3i mou tji ljelssa m3ah,,كان كيسحاب لييا غادي يستدعي مو تجي لجلسّا معاه
kan kis7ab liya ghadi ywgef 3end 7eddou,,كان كيسحاب لييا غادي يوڭف عند حدّو
kan kis7ab liya ghadi ye5wi 3lina dak zit,,كان كيسحاب لييا غادي يخوي علينا داك زيت
kan kis7ab liya ghadi yt7emmel ga3 dak l2alam,,كان كيسحاب لييا غادي يتحمّل ڭاع داك لألام
kan kis7ab liya ghadi ysme3 meni lhadra,,كان كيسحاب لييا غادي يسمع مني لهادرا
kan kis7ab liya ghadi yrje3 men l5orba,,كان كيسحاب لييا غادي يرجع من لخوربا
kan kis7ab liya ghadi ybelle5 de5ya lboliss,,كان كيسحاب لييا غادي يبلّخ دخيا لبوليسّ
kan kis7ab liya ghadi ytfi tilifounou,,كان كيسحاب لييا غادي يتفي تيليفونو
kan kis7ab liya ghadi yryye7 fdik l9nita,,كان كيسحاب لييا غادي يريّح فديك لقنيتا
kan kis7ab liya ghadiy5ech bach ynje7,,كان كيسحاب لييا غادييخش باش ينجح
kan kis7ab liya ghadi y9echcher liya chi teffa7a,,كان كيسحاب لييا غادي يقشّر لييا شي تفّاحا
mandench ghadi wdde7 lik dak lmawdou3,,ماندنش غادي ودّح ليك داك لماودوع
mandench ghadi n9el lyouma rani 7afed,,ماندنش غادي نقل ليوما راني حافد
mandench ghadi nfeddel bnti 3la weldi,,ماندنش غادي نفدّل بنتي علا ولدي
mandench ghadi ndi wladi lchi blassa che3biya,,ماندنش غادي ندي ولادي لشي بلاسّا شعبييا
mandench ghadi n9bet men 3endek dak lktab,,ماندنش غادي نقبت من عندك داك لكتاب
mandench ghadi 7owwel lik chi flouss,,ماندنش غادي حووّل ليك شي فلوسّ
mandench ghadi fhemek derss,,ماندنش غادي فهمك درسّ
mandench ghadi ne5dem m3ak a nssab,,ماندنش غادي نخدم معاك أ نسّاب
mandench ghadi n5rej men had dar te3yay madiro m3aya,,ماندنش غادي نخرج من هاد دار تعياي ماديرو معايا
mandench ghadi nrafe9 weldi lmedrassa,,ماندنش غادي نرافق ولدي لمدراسّا
mandench ghadi ymowwel lih chi 7ed had lmechrou3 dial sbitar,,ماندنش غادي يمووّل ليه شي حد هاد لمشروع ديال سبيتار
mandench ghadi njme3 m3ak l7wayj derni rassi,,ماندنش غادي نجمع معاك لحوايج درني راسّي
mandench ghadi ns77e7 lik l2a5lat dialek,,ماندنش غادي نسحّح ليك لأخلات ديالك
mandench ghadi nchri lik dak tilifoun li baghi,,ماندنش غادي نشري ليك داك تيليفون لي باغي
mandench ghadi y3owwedni dak moul l7anout,,ماندنش غادي يعووّدني داك مول لحانوت
mandench ghadi nchfer f7yati kamla,,ماندنش غادي نشفر فحياتي كاملا
mandench ghadi y5owwet 3liya lwalid 3la 9bel 5alat bsit,,ماندنش غادي يخووّت علييا لواليد علا قبل خالات بسيت
mandench ghadi tmedded had l3otla,,ماندنش غادي تمدّد هاد لعوتلا
mandench ghadi n3red 3la chi 7ed fhad l7efla bghit ghir 3a2ilti,,ماندنش غادي نعرد علا شي حد فهاد لحفلا بغيت غير عاإلتي
mandench ghadi n3red 3la chi 7ed men 3a2ilti fhad l7efla bghit ghir nzha m3a s7abi,,ماندنش غادي نعرد علا شي حد من عاإلتي فهاد لحفلا بغيت غير نزها معا سحابي
mandench ghadi n7edded lik chi maw3id 7it ma3amrek makatji lih,,ماندنش غادي نحدّد ليك شي ماوعيد حيت ماعامرك ماكاتجي ليه
mandench ghadi tzreb rani 3arfek t9il,,ماندنش غادي تزرب راني عارفك تقيل
mandench ghadi ncher l7wayj ljew 5ayb lyouma,,ماندنش غادي نشر لحوايج لجو خايب ليوما
mandench ghadi n9adik had lmerra,,ماندنش غادي نقاديك هاد لمرّا
mandench ghadi 5atwli graydi,,ماندنش غادي خاتولي ڭرايدي
mandench ghadi dawwa 3la saratan,,ماندنش غادي داوّا علا ساراتان
mandench ghadi tbate2 rak wa3i,,ماندنش غادي تباتء راك واعي
mandench ghadi tb9a tab3e hmmek,,ماندنش غادي تبقا تابع همّك
sir 3ich l7ayat d7ek asa7bi,,سير عيش لحايات دحك أساحبي
mandench ghadi nrfed dik tliba dial wlidi,,ماندنش غادي نرفد ديك تليبا ديال وليدي
mandench ghadi nle5ess hadchi,,ماندنش غادي نلخسّ هادشي
mandench ghadi nseweb lkar,,ماندنش غادي نسوب لكار
mandench ghadi ykoun demi mtabe9 m3a dial lwalida,,ماندنش غادي يكون دمي متابق معا ديال لواليدا
mandench ghadi nched dak l7bel bidi rah b3id,,ماندنش غادي نشد داك لحبل بيدي راه بعيد
mandench ghadi yzreb ewa ghir 5od ra7tek,,ماندنش غادي يزرب إوا غير خود راحتك
mandench ghadi nchri chi lavabo jdid,,ماندنش غادي نشري شي لاڤابو جديد
mandench ghadi ntaze3 mnek l7orriya dialek,,ماندنش غادي نتازع منك لحورّييا ديالك
mandench ghadi nkalmik 5lik tferge3,,ماندنش غادي نكالميك خليك تفرڭع
mandench ghadi y7tejj ljomhor de5ya,,ماندنش غادي يحتجّ لجومهور دخيا
mandench ghadi nwazen bin 3yalati breb3a,,ماندنش غادي نوازن بين عيالاتي بربعا
mandench ghadi ntleb men chi wa7ed flouss f7yati,,ماندنش غادي نتلب من شي واحد فلوسّ فحياتي
mandench ghadi nttebtou 5lih ydir li b5a,,ماندنش غادي نتّبتو خليه يدير لي بخا
mandench ghadi nfoutou fsiba9 ra rejliya daratni,,ماندنش غادي نفوتو فسيباق را رجلييا داراتني
mandench ghadi t7reg bl3afya,,ماندنش غادي تحرڭ بلعافيا
mandench ghadi n3awnek,,ماندنش غادي نعاونك
mandench ghadi ytdffeg lik lkass wa5a tzreb,,ماندنش غادي يتدفّڭ ليك لكاسّ واخا تزرب
mandench ghadi ydik lb7er,,ماندنش غادي يديك لبحر
mandench ghadi ntpoza 3lik mra 5ra,,ماندنش غادي نتپوزا عليك مرا خرا
mandench ghadi net3ejjeb rani mwelef fik hadchi,,ماندنش غادي نتعجّب راني مولف فيك هادشي
mandench ghadi nerta7 tayrje3 wlidi,,ماندنش غادي نرتاح تايرجع وليدي
mandench ghadi y3ekess lik had lmechro3,,ماندنش غادي يعكسّ ليك هاد لمشروع
mandench ghadi ddabez m3aya,,ماندنش غادي الدابز معايا
mandench ghadi ndamj fhadchi,,ماندنش غادي ندامج فهادشي
mandench ghadi ytafe9 m3a mratou fhad lmawdou3,,ماندنش غادي يتافق معا مراتو فهاد لماودوع
mandench ghadi n3eyet 3lik mra 5ra,,ماندنش غادي نعيت عليك مرا خرا
mandench ghadi ndiha fik 7it t5iti,,ماندنش غادي نديها فيك حيت تخيتي
mandench ghadi tbddel fik had l9a3ida,,ماندنش غادي تبدّل فيك هاد لقاعيدا
mandench ghadi te5tar achno dir mora lbac,,ماندنش غادي تختار أشنو دير مورا لباك
walidik homa li 5ayferdou 3lik lcho3ba dial bac,,واليديك هوما لي خايفردو عليك لشوعبا ديال باك
walidik homa li 5ayferdou 3lik achno dir mora lbac,,واليديك هوما لي خايفردو عليك أشنو دير مورا لباك
mandench ghadi ydouz liya had lma.,,ماندنش غادي يدوز لييا هاد لما.
