darija,eng,darija_ar
lbs hwayjk,,لبس حوايجك
kayn lbrd,,كاين لبرد
skhon lhal,,سخون لحال
kaytih tlj,,كايتيه تلج
ghadi nsafro,,غادي نسافرو
nmchiw l ifran nchofo lmanadir tabiiya,,نمشيو ل إفران نشوفو لمانادير تابيّيا
sd morak lbab,,سد موراك لباب
fth chrjm,,فته شرجم
yallh nmchiw lbhr,,يالّه نمشيو لبهر
sog bchwya,,سوڭ بشويا
tybi lghda,,تيبي لغدا
drt ksida,,درت كسيدا
chhal maticha,,شهال ماتيشا
chhal basla,,شهال باسلا
lkhodra ralya,,لخودرا راليا
soq b3id,,سوق بعيد
ghadi nmchi ftaxi,,غادي نمشي فتاشي
ranmchi lmdrasa,,رانمشي لمدراسا
andi maw3id m3a tbib,,أندي ماوعيد معا تبيب
l3cha thrg,,لعشا تهرڭ
klit tajin,,كليت تاجين
jm3 lhwayj,,جمع لحوايج
jib tomobil,,جيب توموبيل
ana maranmchich,,أنا مارانمشيش
3tini lhrira,,عتيني لهريرا
sir fhalk,,سير فهالك
chrit disser,,شريت ديسّر
salat lbota,,سالات لبوتا
ghadi nmchi lhammam,,غادي نمشي لهامّام
chrbti dwa dyalk?,,شربتي دوا ديالك?
n3si bach trtahi,,نعسي باش ترتاهي
jit 3yan mn lkhdma,,جيت عيان من لخدما
kaydrni rasi,,كايدرني راسي
tybi lbayd,,تيبي لبايد
mchit l3bt kora,,مشيت لعبت كورا
drti sport?,,درتي سپورت?
dwcht lyom,,دوشت ليوم
bghiti atay?,,بغيتي أتاي?
sir tskhr,,سير تسخر
fin lmodakira?,,فين لموداكيرا?
kant hnaya,,كانت هنايا
chofi hdak,,شوفي هداك
jm3tha flil,,جمعتها فليل
chtbt lbit,,شتبت لبيت
hahya l9itha,,هاهيا لقيتها
3tini lflos,,عتيني لفلوس
nmchi nchri l3trya,,نمشي نشري لعتريا
kantkhls fras chhar,,كانتخلس فراس شهار
katakol lhalwa,,كاتاكول لحالوا
yallah m3aya,,يالّاه معايا
jani n3as,,جاني نعاس
tsbho 3la khir,,تسبهو علا خير
sog lpikala,,سوڭ لپيكالا
dri srir,,دري سرير
atay skhon,,أتاي سخون
ktb fdftar,,كتب فدفتار
hdri m3aya,,هدري معايا
salam alaykom,,سالام ألايكوم
nmchi nslli,,نمشي نسلّي
adan dohr,,أدان دوهر
chhal djaj?,,شهال دجاج?
9t3 chanti,,قتع شانتي
s9i jarda,,سقي جاردا
ncher lhwayj,,نشر لحوايج
marrakesh mdina zwina,,مارّاكسه مدينا زوينا
kaynin ma3alim tarikhya,,كاينين ماعاليم تاريخيا
agadir fiha lbhr,,أڭادير فيها لبهر
chhal sa3a?,,شهال ساعا?
wsl w9t dyal salat,,وسل وقت ديال سالات
tghdditi?,,تغدّيتي?
yallah f9t mn n3as,,يالّاه فقت من نعاس
nhar kan twil,,نهار كان تويل
tjrht fydi,,تجرهت فيدي
khasni nmchi ltbib,,خاسني نمشي لتبيب
drna lyom kskso l lghda,,درنا ليوم كسكسو ل لغدا
ghdda ltnin,,غدّا لتنين
3tini nchrb,,عتيني نشرب
tilifon kaysoni,,تيليفون كايسوني
mcha lmdrasa,,مشا لمدراسا
ch3l tlvaza,,شعل تلڤازا
machi so9k,,ماشي سوقك
dir lakhbar,,دير لاخبار
dlam lhal,,دلام لحال
ranji nhar lkhmis,,رانجي نهار لخميس
mab9a walo,,مابقا والو
ransafr simana jaya,,رانسافر سيمانا جايا
makanchrbch skar,,ماكانشربش سكار
dir tilifon ytcharja,,دير تيليفون يتشارجا
lbs sbat,,لبس سبات
chari3 fih lhfari,,شاريع فيه لهفاري
katih chta bzaf,,كاتيه شتا بزاف
kayna l3jaj,,كاينا لعجاج
lbhr hayj,,لبهر هايج
brit nftr,,بريت نفتر
lw9t drya kaydoz,,لوقت دريا كايدوز
ranmchi lmatar,,رانمشي لماتار
fin pasport dyali ?,,فين پاسپورت ديالي ?
3ndi tyara daba,,عندي تيارا دابا
fin kaynin toillet ?,,فين كاينين تولّت ?
wach jm3ti l bagages dyalk?,,واش جمعتي ل باڭاڭس ديالك?
wach momkin nchof sac dyalk ?,,واش مومكين نشوف ساك ديالك ?
chhal mn valiza bari tsjl?,,شهال من ڤاليزا باري تسجل?
smh lya maymknch dkhl hadchi,,سمه ليا مايمكنش دخل هادشي
jit nakhd tadkira dyali,,جيت ناخد تادكيرا ديالي
rihla sa3ida,,ريهلا ساعيدا
wach ratwl rihla?,,واش راتول ريهلا?
ghadi nhbto b3d 5 d9ay9,,غادي نهبتو بعد 5 دقايق
wach bghiti chi wajba khfifa?,,واش بغيتي شي واجبا خفيفا?
chhal ra9m lkorsi dyalk?,,شهال راقم لكورسي ديالك?
fin msafr ?,,فين مسافر ?
wach bghiti blasa hda srjm?,,واش بغيتي بلاسا هدا سرجم?
wach haz m3ak chi sawail?,,واش هاز معاك شي ساوايل?
rihla tlrat,,ريهلا تلرات
brina n3tadro 3la taekhir,,برينا نعتادرو علا تاخير
fya jo3,,فيا جوع
fya l3tch,,فيا لعتش
wach ymkn lya ndkhl?,,واش يمكن ليا ندخل?
smho lya khasni nmchi,,سمهو ليا خاسني نمشي
ana kanthrk,,أنا كانتهرك
3tini swart,,عتيني سوارت
ach brit ngol?,,أش بريت نڭول?
sir l saydalya jib dwa,,سير ل سايداليا جيب دوا
ramadan 9rib,,رامادان قريب
wach saym ?,,واش سايم ?
ghadi nmchiw nsliw tarawih,,غادي نمشيو نسليو تاراويه
lyoma s3ib nhar,,ليوما سعيب نهار
nod ntshr,,نود نتسهر
achnahwa lmochkil?,,أشناهوا لموشكيل?
kadrni krchi,,كادرني كرشي
sir tn3s,,سير تنعس
aji 3ndi,,أجي عندي
thrso lya ndadr,,تهرسو ليا ندادر
ara lm9s dyal dfar,,أرا لمقس ديال دفار
mcht ch3rk,,مشت شعرك
rsl snank,,رسل سنانك
brit nrsy ydi,,بريت نرسي يدي
tah mn jbl,,تاه من جبل
tfi do dyl lbit,,تفي دو ديل لبيت
sd lbab dyal toillet,,سد لباب ديال تولّت
makanchofch mzyal,,ماكانشوفش مزيال
3tini l9r3a dyal lma,,عتيني لقرعا ديال لما
lbota salat,,لبوتا سالات
kaytkhba 3lih,,كايتخبا عليه
kayna l3asifa fcasa,,كاينا لعاسيفا فكاسا
makaysbrch,,ماكايسبرش
taht chajra 3la tomobil,,تاهت شاجرا علا توموبيل
ghadi nmchi lcharikat taemin,,غادي نمشي لشاريكات تامين
khasni ta3wid 3la had chi,,خاسني تاعويد علا هاد شي
kayna hna chi makhbaza 9riba?,,كاينا هنا شي ماخبازا قريبا?
tfi lbota m3ak,,تفي لبوتا معاك
jm3i tabla,,جمعي تابلا
lma m9to3,,لما مقتوع
ht tilifon,,هت تيليفون
hyd sndaltk,,هيد سندالتك
tsala lw9t,,تسالا لوقت
khbi hada httal sbah,,خبي هادا هتّال سباه
3ti lmch yakol,,عتي لمش ياكول
3dni lklb,,عدني لكلب
yallah nsydo lhot,,يالّاه نسيدو لهوت
katakol lhm jmal,,كاتاكول لهم جمال
nmcho nkhrjo,,نمشو نخرجو
yallah nl3bo kora ftiran,,يالّاه نلعبو كورا فتيران
kat3rf tl3b kora,,كاتعرف تلعب كورا
tah fdroj,,تاه فدروج
mchit lbarh lso9,,مشيت لباره لسوق
rkb fo9 l3awd,,ركب فوق لعاود
khasni nsawb tamarin,,خاسني نساوب تامارين
rdda ranmchi lmdrasa,,ردّا رانمشي لمدراسا
