darija,eng,darija_ar
kaydrb walo msdod,,كايدرب والو مسدود
hta 9rb lbit i3mr belma,,هتا قرب لبيت إعمر بلما
3ad tfok lih lbab,,عاد تفوك ليه لباب
o3ngha ogaliha mankhlikch,,أُعنغا أُڭاليها مانخليكش
mli tfoko mlbab,,ملي تفوكو ملباب
khrj lihom khatibha,,خرج ليهوم خاتيبها
bgha isfiha lihom bjoj,,بغا إسفيها ليهوم بجوج
harbin ohowa tab3hom,,هاربين أُهووا تابعهوم
hit howa haz fardi,,هيت هووا هاز فاردي
3awd raj3hom ltht,,عاود راجعهوم لتهت
bach imoto bjoj,,باش إموتو بجوج
bdat lbakhira kanzl rass,,بدات لباخيرا كانزل راسّ
l3ocha9 diyalna,,لعوشاق دييالنا
hta homa b9aw chadin,,هتا هوما بقاو شادين
taho obe9aw chadin,,تاهو أُبقاو شادين
fwahed lbab mhrss,,فواهد لباب مهرسّ
mli chaf lma bard mtlj,,ملي شاف لما بارد متلج
tal3ha fo9 lbab,,تالعها فوق لباب
ohowa nzl l ma,,أُهووا نزل ل ما
kaytr3d ochad liha f idiha,,كايترعد أُشاد ليها ف إديها
kaygol liha ghe rsbri,,كايڭول ليها غ رسبري
daba ijiw in9dona,,دابا إجيو إنقدونا
bnadem kayban lik mat,,بنادم كايبان ليك مات
wla hjra diyal talj,,ولا هجرا دييال تالج
wahd lw9ita ban wahed daw,,واهد لوقيتا بان واهد داو
warda skhfat odkhlat fn3ass,,واردا سخفات أُدخلات فنعاسّ
howa mat mtlj,,هووا مات متلج
dik safina diyal l in9ad,,ديك سافينا دييال ل إنقاد
bdat kador kayban lihom,,بدات كادور كايبان ليهوم
kolchi mjmd kolchi mat,,كولشي مجمد كولشي مات
okaysfro bsafara,,أُكايسفرو بسافارا
layban lihom chi wahed,,لايبان ليهوم شي واهد
lbatala katsm3 b3id,,لباتالا كاتسمع بعيد
hta fa9t bzez,,هتا فاقت بزز
l9at sahbha mat,,لقات ساهبها مات
kifach dir t3yt lihom,,كيفاش دير تعيت ليهوم
irj3o hit machafohach,,إرجعو هيت ماشافوهاش
latho flma omchat lwahed lhariss,,لاتهو فلما أُمشات لواهد لهاريسّ
kan haz sefara fmo,,كان هاز سفارا فمو
obe9a mtlj biha,,أُبقا متلج بيها
mchat haydatha lih,,مشات هايداتها ليه
okatsfr lihom okatghwt,,أُكاتسفر ليهوم أُكاتغوت
ana hna rj3o liya,,أنا هنا رجعو لييا
rakom machftonich,,راكوم ماشفتونيش
hta sm3o tsfir diyalha,,هتا سمعو تسفير دييالها
orj3o liha bzerba,,أُرجعو ليها بزربا
hzoha katr3d bghat tmot,,هزوها كاترعد بغات تموت
hit aslan dik lblasa mtlja,,هيت أسلان ديك لبلاسا متلجا
hzona omchat m3ahom,,هزونا أُمشات معاهوم
chwiya baynoha khrjat,,شوييا باينوها خرجات
omlwiya fwahed lmanta,,أُملوييا فواهد لمانتا
okador had lmrssa,,أُكادور هاد لمرسّا
chwiya kayban liha khatibha,,شوييا كايبان ليها خاتيبها
be9ay hay flat,,بقاي هاي فلات
walkin hiya makaytsrtch liha,,والكين هييا ماكايتسرتش ليها
tkhbat 3lih hta daz,,تخبات عليه هتا داز
ohiya thyd dik sansla,,أُهييا تهيد ديك سانسلا
olahtha felma hit mat sahbha,,أُلاهتها فلما هيت مات ساهبها
kifma mcha howa tmchi sansla,,كيفما مشا هووا تمشي سانسلا
wahed lmosi9a dazt fih,,واهد لموسيقا دازت فيه
imkn sm3toha hta ntoma,,إمكن سمعتوها هتا نتوما
safi wslna l nihaya,,سافي وسلنا ل نيهايا
haka sala lfilm,,هاكا سالا لفيلم
mli dwzna dak nhar,,ملي دوزنا داك نهار
bjnb lwad mkhymin,,بجنب لواد مخيمين
chdina tri9 m3a lmoghreb,,شدينا تريق معا لموغرب
bdat katih dlam,,بدات كاتيه دلام
ch3t daw diyal lmotor,,شعت داو دييال لموتور
omchina bchwiya 3lina,,أُمشينا بشوييا علينا
dzna chrina chi haja,,دزنا شرينا شي حاجة
howa da m3ah,,هووا دا معاه
bach idwz lil,,باش إدوز ليل
ana dit wahd sokhra,,أنا ديت واهد سوخرا
lmalin dar hit wsawni,,لمالين دار هيت وساوني
hbtna ldarna nichan,,هبتنا لدارنا نيشان
9rbna lwahed dawar,,قربنا لواهد داوار
tayban liya sahib,,تايبان لييا ساهيب
ghadi ib9a manchor,,غادي إبقا مانشور
mchit wslto hta ldarhom,,مشيت وسلتو هتا لدارهوم
galiya dkhol tchof lwalid,,ڭالييا دخول تشوف لواليد
glt lih blandkhol,,ڭلت ليه بلاندخول
gher sir tertah,,غر سير ترتاه
tana namchi nrtah,,تانا نامشي نرتاه
bach ndwch on3ss,,باش ندوش أُنعسّ
mchit l9it malin dar,,مشيت لقيت مالين دار
yalah t3chaw bel 9otban,,يالاه تعشاو بل قوتبان
galiya ha9ek fjena,,ڭالييا هاقك فجنا
3lach ma3lamtinach,,علاش ماعلامتيناش
glt lihom ana jay ldarna,,ڭلت ليهوم أنا جاي لدارنا
lach gahdi n3lmkom,,لاش ڭاهدي نعلمكوم
lwalida skhanat liya lma,,لواليدا سخانات لييا لما
owjdat liya douche,,أُوجدات لييا دوش
dkhlt dwcht bzerba,,دخلت دوشت بزربا
khafen zerban,,خافن زربان
jabt liya hwayjii,,جابت لييا حوايجيّ
o3tatni malbss ltht,,أُعتاتني مالبسّ لتهت
gatl liya mli tsali,,ڭاتل لييا ملي تسالي
aji lcouzina bghit nhdr m3ak,,أجي لكوزينا بغيت نهدر معاك
glt liya kif dwzti nharek,,ڭلت لييا كيف دوزتي نهارك
glt liha zwin rah maskhinach,,ڭلت ليها زوين راه ماسخيناش
dart galt liya bsehtkom,,دارت ڭالت لييا بسهتكوم
mzyan mli fawjti,,مزيان ملي فاوجتي
khti makatch fdar,,ختي ماكاتش فدار
hbtat 3and 3ami ldaro,,هبتات عاند عامي لدارو
katkon had dar,,كاتكون هاد دار
m3a wahed jartna,,معا واهد جارتنا
chhal fiha diyal tbrguig,,شهال فيها دييال تبرڭويڭ
katbghi ta3rf kolchi,,كاتبغي تاعرف كولشي
hta haja makatflt liha,,هتا حاجة ماكاتفلت ليها
kandoz okandir rassi,,كاندوز أُكاندير راسّي
bhal ila machftha,,بهال إلا ماشفتها
hit katchdni belhdra,,هيت كاتشدني بلهدرا
kidayr flan kidayra flana,,كيداير فلان كيدايرا فلانا
fin mchiti o 3lach kifach,,فين مشيتي أُ علاش كيفاش
dayra bhal lm9adem,,دايرا بهال لمقادم
wakha hakak driyfa,,واخا هاكاك درييفا
gher fiha had loula,,غر فيها هاد لولا
lah i3fo 3liha mskina,,الله إعفو عليها مسكينا
men sghour kadir lina l istinta9,,من سغور كادير لينا ل إستينتاق
tana kant 3ay9 biha,,تانا كانت عايق بيها
kangol liha wah wah osafi,,كانڭول ليها واه واه أُسافي
fo9 had jara,,فوق هاد جارا
kaynin jiran khrin,,كاينين جيران خرين
hadok kaychofona melfo9,,هادوك كايشوفونا ملفوق
ichofk omatchofhom,,إشوفك أُماتشوفهوم
kaygolik lah injik,,كايڭوليك الله إنجيك
mli l3in litchofk,,ملي لعين ليتشوفك
omatchofha nta,,أُماتشوفها نتا
bnadem 3ziz 3lih itba3,,بنادم عزيز عليه إتباع
akhar nass okaynssa rasso,,أخار ناسّ أُكاينسّا راسّو
kysado homa bkri,,كيسادو هوما بكري
rah kyhalo nakriw,,راه كيهالو ناكريو
frasak rah twafat,,فراساك راه توافات
sa3a wana m3k,,ساعا وانا معك
kol bx tzid f saha,,كول بش تزيد ف ساها
hak 9ta3 flousak,,هاك قتاع فلوساك
rah kahn lma39ol fih,,راه كاهن لماعقول فيه
rah tjawjzt bdk l3askri,,راه تجاوجزت بدك لعاسكري
khrajna mn l9isam bkri,,خراجنا من لقيسام بكري
flouso kolxi f xrab .,,فلوسو كولشي ف شراب .
rah j'a mn lghorba,,راه ج'ا من لغوربا
rah ghabaer fceuropa,,راه غابار فسوروپا
rah khdina hôtel,,راه خدينا هôتل
mghansknoch f dk lhay,,مغانسكنوش ف دك لهاي
labas lk7al kolo,,لاباس لكحال كولو
lah y3miha lik,,الله يعميها ليك
rah dwaw fiha lkhotab,,راه دواو فيها لخوتاب
rah daw lih lmagana dyal ddow,,راه داو ليه لماڭانا ديال الدوو
dik dar xokia ghalya,,ديك دار شوكيا غاليا
bo93a f l3omran mojoda,,بوقعا ف لعومران موجودا
rah knsoni 3lik,,راه كنسوني عليك
wgha jawbni rah mamsalich,,وغا جاوبني راه مامساليش
dir lih lhar,,دير ليه لهار
jib m3ak mayoniz,,جيب معاك مايونيز
rah kybi3 tmer,,راه كيبيع تمر
mazal sghir nta,,مازال سغير نتا
rah wla mohandis,,راه ولا موهانديس
khraj 3la raso belblya,,خراج علا راسو بلبليا
msakan kyn3so f zan9a,,مساكان كينعسو ف زانقا
tah b pikala mn jbal,,تاه ب پيكالا من جبال
ara dik xkara,,أرا ديك شكارا
ax 9arawkom lyoma,,أش قاراوكوم ليوما
ax darto f sport lyoma,,أش دارتو ف سپورت ليوما
rah mgrod lkhit,,راه مڭرود لخيت
wxfto dar lkhir m3h,,وشفتو دار لخير معه
rah mkyban liya walo,,راه مكيبان لييا والو
khasni ndadar,,خاسني ندادار
3ndk sarf,,عندك سارف
saraf liya 3afak,,ساراف لييا عافاك
taxi ghalya f taman,,تاشي غاليا ف تامان
jma3 dik tabla,,جماع ديك تابلا
yalah nsakro,,يالاه نساكرو
ba9i whd lbarhoch,,باقي وهد لبارهوش
ila bghit tzidni nji .,,إلا بغيت تزيدني نجي .
wtl3 liya dam,,وتلع لييا دام
kont mdoronji xwiya,,كونت مدورونجي شوييا
rah kyt3wd dkxi 3ndo,,راه كيتعود دكشي عندو
rah kyswbo makla zina,,راه كيسوبو ماكلا زينا
dir faraxa,,دير فاراشا
dhak dyal sfer,,دهاك ديال سفر
ara liya lmzika,,أرا لييا لمزيكا
rah 9t3t f lcar dyal 8,,راه قتعت ف لكار ديال 8
lah ykber bik,,الله يكبر بيك
lah ykter lkhir,,الله يكتر لخير
wrah kata9ra mza bnti,,وراه كاتاقرا مزا بنتي
htaram rasak,,هتارام راساك
ln3etek wahd mo3adala nhloha,,لنعتك واهد موعادالا نهلوها
htaram nass,,هتارام ناسّ
ya3ni 3ajabni lhal,,ياعني عاجابني لحال
kayna fiha pilanty,,كاينا فيها پيلانتي
okn tlabtini ana,,أُكن تلابتيني أنا
rah khlit télé fdar,,راه خليت تéلé فدار
kont kharja,,كونت خارجا
lokn daghya 9dit lik lgharad,,لوكن داغيا قديت ليك لغاراد
ax mn sbah nour awdi,,أش من سباه نور أودي
bhal ila makat3rfini,,بهال إلا ماكاتعرفيني
hxoma ga3,,هشوما ڭاع
rah matlabtak,,راه ماتلابتاك
hta twhxtak nit,,هتا توهشتاك نيت
wana xhal hada matlabtak ga3,,وانا شهال هادا ماتلابتاك ڭاع
3la ra2y dyalk,,علا راإي ديالك
wlkin ghir hta nji lik wtx,,ولكين غير هتا نجي ليك وتش
fiha 3ib asahbi,,فيها عيب أساهبي
fiha lmaxakil,,فيها لماشاكيل
nod daghya,,نود داغيا
nod tjib dkxi,,نود تجيب دكشي
floshom khdwahom,,فلوسهوم خدواهوم
fih howa lmoxkil,,فيه هووا لموشكيل
ana mojod dima,,أنا موجود ديما
kyn dk lharis,,كين دك لهاريس
wghir ntxwfo tmk,,وغير نتشوفو تمك
aji rh twhxtakk,,أجي ره توهشتاكّ
bghit nxofk,,بغيت نشوفك
fih bzaf dyl lhwayj,,فيه بزاف ديل لحوايج
wkon rajal akhy,,وكون راجال أخي
mlk mnhoss,,ملك منهوسّ
rah tl3o lpilantiyat,,راه تلعو لپيلانتييات
rah homa wlad tma,,راه هوما ولاد تما
rah bnat tmak,,راه بنات تماك
rah jdodhom mn tmak,,راه جدودهوم من تماك
rah hajro xhal hadi,,راه هاجرو شهال هادي
fih ofside,,فيه أُفسيد
zin tmak 3ndkom,,زين تماك عندكوم
xado lharaga,,شادو لهاراڭا
rah mb9aw tmak,,راه مبقاو تماك
ara xi kass dyal atay,,أرا شي كاسّ ديال أتاي
dik lakhraniya rah kyna,,ديك لاخرانييا راه كينا
wgha fhamnii,,وغا فهامنيّ
bla matb9a tghawat,,بلا ماتبقا تغاوات
rah mrka bit zin,,راه مركا بيت زين
da ahsen la3ib,,دا أهسن لاعيب
dar ahsan moghani,,دار أهسان موغاني
dat afdal la3iba,,دات أفدال لاعيبا
dabar awa fxi partma,,دابار أوا فشي پارتما
dabar awa fxi flous,,دابار أوا فشي فلوس
dabar awa fxi jakita,,دابار أوا فشي جاكيتا
dat afdal moghaniya,,دات أفدال موغانييا
hjma zwina,,هجما زوينا
hkam mdrid hada,,هكام مدريد هادا
b3ida lmdrsa,,بعيدا لمدرسا
9riba lmadrasa,,قريبا لمادراسا
wzina dik lhalwa,,وزينا ديك لحالوا
ghsalt wajhi,,غسالت واجهي
