darija,eng,darija_ar
sift liya lflous,,سيفت لييا لفلوس
ghir hdri khoudi rahtek,,غير هدري خودي راهتك
bghit ngoulik xi haja,,بغيت نڭوليك شي حاجة
jawbi f téléphone,,جاوبي ف تéلéپهون
wax mazal majawbouk,,واش مازال ماجاوبوك
kanbghi njaweb lwe9t li bghit,,كانبغي نجاوب لوقت لي بغيت
sir chri liya lkhoubz,,سير شري لييا لخوبز
wax lmkhbaza mhloula?,,واش لمخبازا مهلولا?
fin ouslti ldik lktba,,فين وسلتي لديك لكتبا
gouli liya chi haja,,ڭولي لييا شي حاجة
achno bghitini ngoulik,,أشنو بغيتيني نڭوليك
tsnani ana jay,,تسناني أنا جاي
rah kayn houwa f toilette,,راه كاين هووا ف تولتّ
zidini chwia dial atay,,زيديني شويا ديال أتاي
saraha bghit ngoulik chi hdra,,ساراها بغيت نڭوليك شي هدرا
keb lma bzaf,,كب لما بزاف
sed dak lbab,,سد داك لباب
ylh m3aya l3bo,,يله معايا لعبو
fink asahbi serbi,,فينك أساهبي سربي
axmn projet hadak,,أشمن پروجت هاداك
olah ila dahktini,,أُلاه إلا داهكتيني
chediti dakchi dialk,,شديتي داكشي ديالك
mchit 3endhoum l9ithoum sadin,,مشيت عندهوم لقيتهوم سادين
wa9ila kaysdou m3a 16h,,واقيلا كايسدو معا 16ه
hetal ghdda ou nmchi,,هتال غدّا و نمشي
lah ishel 3lik abenti,,الله إسهل عليك أبنتي
kayn idrab lyouma,,كاين إدراب ليوما
y3ni makaynch l9raya,,يعني ماكاينش لقرايا
makayninch shab ta3a9oud,,ماكاينينش سهاب تاعاقود
l2oustad derb wahd deri,,لأوستاد درب واهد دري
galiya lyouma andir bik t9rir,,ڭالييا ليوما أندير بيك تقرير
la machine katghsel lhwayj,,لا ماشين كاتغسل لحوايج
derti lkhoubz f lmicrond,,درتي لخوبز ف لميكروند
chno bghiti takli?,,شنو بغيتي تاكلي?
aji takli lgheda,,أجي تاكلي لغدا
bghit lkhoubz dialdar,,بغيت لخوبز ديالدار
dert téléphone f charge,,درت تéلéپهون ف شارڭ
téléphone dialk rah kaysouni,,تéلéپهون ديالك راه كايسوني
te3tlti bzaf bach tred 3liya,,تعتلتي بزاف باش ترد علييا
te9lt9t mnek bzaaf,,تقلتقت منك بزاف
bghit ndir lmakiage,,بغيت ندير لماكياڭ
lyouma ana m3rouda lel3rs,,ليوما أنا معرودا للعرس
ghadi nechth mzyan,,غادي نشته مزيان
khbit lik lhem f lkhoubz,,خبيت ليك لهم ف لخوبز
ila baghtich tred 3liya goulha,,إلا باغتيش ترد علييا ڭولها
lyouma ana nhar kaml kantsnak,,ليوما أنا نهار كامل كانتسناك
mabghitix tjawb y3ni mchghoul,,مابغيتيش تجاوب يعني مشغول
ila kenti mechghoul goulha liya,,إلا كنتي مشغول ڭولها لييا
matb9ach tgouliya bhal dik lhdra,,ماتبقاش تڭولييا بهال ديك لهدرا
safi khdit had l9arar,,سافي خديت هاد لقارار
bghit ndir dakchi li 3jbni,,بغيت ندير داكشي لي عجبني
khouya mxa kherj,,خويا مشا خرج
bghit nskhro icheri liya takos,,بغيت نسخرو إشري لييا تاكوس
saraha tchehit nakl,,ساراها تشهيت ناكل
