darija,eng,darija_ar
darori nl9a 7olol l had lmachakil kamla,it's necessary that I find solutions to all these problems,داروري نلقا حولول ل هاد لماشاكيل كاملا
darori n3ewldek 3la li fat,it's necessary that I tell you about the past,داروري نعودك علا لي فات
darori n wtted l3ala9at diali flkhdma,it's necessary that I strengthen my relationships at work,داروري ن وتّد لعالاقات ديالي فلخدما
darori nwedder chi 7aja,it's necessary that I lose something,داروري نودّر شي حاجا
darori n3zel lih chi cadeau zwin,it's necessary that I choose him a nice gift,داروري نعزل ليه شي كادو زوين
machi darore nberre lik rasse,it's not necessary that I get him a head,ماشي دارور نبرّ ليك راسّ
darori nghlad chwia,I must gain some weigh,داروري نغلاد شويا
darori nwelli nakoul mzyan,I must start eating well,داروري نولّي ناكول مزيان
darori nbda ndir sport,I must start doing sports,داروري نبدا ندير سپورت
darori n wsse3 khatri,I must become open minded,داروري ن وسّع خاتري
darori n drdech m3ak chwia,I must chat with you,داروري ن دردش نعاك شويا
darori n rkeb f chi taxi,I must get on a taxi,داروري ن ركب ف باد تاشي
darori nl9a chi khdma jdida,I must find a new job,داروري نلقا شي خدما جديدا
darori nl9a chi hiwaya, I must find a hobby ,داروري نلقا شي هيواي
darori n sedd lbab 9bl man3ss,I must close the door before sleeping,داروري ن سدّ لباب قبل مانعسّ
darori n 3awd nfkkr f had l3ard,I must think again about this offer,داروري ن عاود نفكّر ف هاد لعارد
darori nmss7 lmrayat dial dar,I must wipe the mirror at home,داروري نمسّح لمرايات ديال دار
darori n sowwer lik lyawmyat diali,I must record my daily life for you,داروري ن سووّر ليك لياوميات ديالي
darori n hrss had zaja,I must break this glass,داروري ن هرسّ هاد زاجا
darori ntna9al mn mdina l mdina,I must move from one city to an other,داروري نتبقل من مدينا ل مدينا
darori n bloki nass li ma3ndich m3ahoum,I must block people that I don't like,داروري ن بلوكي ناسّ لي ماعنديش معاهوم
darori n 3iyyen chi wa7d f blasstk,I must appoint someone else to replace you,داروري ن عييّن شي واحد ف بلاسّتك
darori n stfser 3la rassi,I must inquire about my self,داروري ن ستفسر علا راسّ
darori n 9tel had l7acharat,I must kill these insects,داروري ن قتل هاد لحاشارات
darori n dowwer 3la had l ar9am,I must circle these numbers,داروري ن دووّر علا هاد ل أرقام
darori n tna9ch m3ak,I must debate with you,داروري ن تناقش معاك
darori n towwer lmawahib diali,I must developp my skills,داروري ن تووّر لماواهيب ديالي
darori n zyyen salon chwi,I must redesign the salon,داروري ن زيّن سالون شوي
darori n staghell had lforssa,I must seaze this opportunity,داروري ن ستاغلّ هاد لفورسّا
darori n 9ra had darss,I must study this course,داروري ن قرا هاد دارسّ
