darija,eng,darija_ar
smhi lia ana li ghalet,,سمهي ليا أنا لي غالت
ma3reftch chno kayjini fach nsm3 smiyto,,ماعرفتش شنو كايجيني فاش نسمع سمييتو
ana rani kantkhne9 bsbabo,,أنا راني كانتخنق بسبابو
ghadi ntleb mn benti smaha,,غادي نتلب من بنتي سماها
rak kat2adi bentek,,راك كاتأدي بنتك
ila o93at liha chi haja ghadi n9tlk,,إلا أُقعات ليها شي حاجة غادي نقتلك
ila mrdat 3mrni ghadi nsamhek,,إلا مردات عمرني غادي نسامهك
3endi ghir soual wahd,,عندي غير سوال واهد
safi ghadi nsdo had lmoudou3,,سافي غادي نسدو هاد لمودوع
3lach magltich liya ghbr hadi mouda,,علاش ماڭلتيش لييا غبر هادي مودا
hahwa ghadi ithel daba,,هاهوا غادي إتهل دابا
ana kanji nkhdem heta blil,,أنا كانجي نخدم هتا بليل
i9der ybghi chi wahed isafer sbah,,إقدر يبغي شي واهد إسافر سباه
tsd lih 3la lpasport,,تسد ليه علا لپاسپورت
hwa fih di9a,,هوا فيه ديقا
rabos makayench hedah,,رابوس ماكاينش هداه
tkhne9 mskin,,تخنق مسكين
lmakina khedama,,لماكينا خداما
khyet dakchi li gelti liya,,خيت داكشي لي ڭلتي لييا
lfilm ttsala,,لفيلم التسالا
bentek rah mrida bezaf,,بنتك راه مريدا بزاف
ma3reftch 3lach ba9i kanhder m3ak,,ماعرفتش علاش باقي كانهدر معاك
hadchi 3esbni bsh,,هادشي عسبني بسه
ana rah safi tl3 liya f rasi,,أنا راه سافي تلع لييا ف راسي
ghanoud nwejd rasi,,غانود نوجد راسي
khalti katsouni 3liya,,خالتي كاتسوني علييا
mabghitech njaweb f téléphone,,مابغيتش نجاوب ف تéلéپهون
hada film jedid,,هادا فيلم جديد
ana kayna jenb lbher,,أنا كاينا جنب لبهر
helit dak sendou9,,هليت داك سندوق
hadi hejra 3tatha li benti,,هادي هجرا عتاتها لي بنتي
khbitha tht namousiya,,خبيتها تهت ناموسييا
ana ba9a khedama,,أنا باقا خداما
bon soir mrati,,بون سور مراتي
ana 3ad kherjt mn lkhedma,,أنا عاد خرجت من لخدما
achno bghiti takoul,,أشنو بغيتي تاكول
wach tybti chi 3echa,,واش تيبتي شي عشا
lprojet ghadi ou kaykbar,,لپروجت غادي و كايكبار
fach tzad lkhdma nzido nas,,فاش تزاد لخدما نزيدو ناس
smah liya 3edbtek m3aya,,سماه لييا عدبتك معايا
wakha rani 3arfa 3endk lkhedma,,واخا راني عارفا عندك لخدما
hadchi rah qualité,,هادشي راه قواليتé
heta taman rah mounasib,,هتا تامان راه موناسيب
rah ktro les commandes,,راه كترو لس كومّاندس
ana ghanmchi la farmacie,,أنا غانمشي لا فارماسي
rah lkhedma 9lila,,راه لخدما قليلا
fach ghatktar lkhedma ghadi nwehlo,,فاش غاتكتار لخدما غادي نوهلو
trik 3amra lyouma,,تريك عامرا ليوما
hya sakna b3ida 3liya,,هيا ساكنا بعيدا علييا
la commande rah ouslat lbareh,,لا كومّاند راه وسلات لباره
welina kant3tlo 3likoum bzaf,,ولينا كانتعتلو عليكوم بزاف
wax nta 9rib ldar,,واش نتا قريب لدار
ana rani f drouj daba,,أنا راني ف دروج دابا
ana rani kantsnak f dar,,أنا راني كانتسناك ف دار
khoud lik hada koulou f trik,,خود ليك هادا كولو ف تريك
ikhlik liya merati,,إخليك لييا مراتي
livreur ghadi kji 3endk daba,,ليڤرور غادي كجي عندك دابا
ghandi nbghik trj3 3ndi ta gheda,,غاندي نبغيك ترجع عندي تا غدا
