darija,eng,darija_ar
tilmid 3ando 9odourat fna9ad,A student with strong critique skills,تيلميد عاندو قودورات فناقاد
lmo3alim howa 9alb lislah,The teacher is the heart of reform,لموعاليم هووا قالب ليسلاه
3lach dol olkarama kayna,Why do countries of dignity exist?,علاش دول أُلكاراما كاينا
lkarama khasna n9albo 3liha,We must search for dignity,لكاراما خاسنا نقالبو عليها
lghna onachat kolchi bghah,Everyone desires singing and action,لغنا أُناشات كولشي بغاه
lbnat labsin tkachat onachtat,Girls wearing tkachat and action,لبنات لابسين تكاشات أُناشتات
nachat darouri mano,Action is necessary,ناشات داروري مانو
lmakla sihiya hiya lli kat9awi l3dam,Healthy food is what stregthens bones,لماكلا سيهييا هييا اللي كاتقاوي لعدام
khasna nsamdo bach nb9aw 3aychin,We must persist so we can stay alive,خاسنا نسامدو باش نبقاو عايشين
la hayata liman la hayata laho,There is life for those who he who has no life,لا هاياتا ليمان لا هاياتا لاهو
kan9albo 3la lhoriya,we are looking for freedom,كانقالبو علا لهورييا
l3osfour kayn fl9afas,The bird exists in the cage,لعسفور أُكاين فلقافاس
n3ich hora onmout hora,I live free and I die free,نعيش هورا أُنموت هورا
lghorba s3iba,enstragement is hard,لغوربا سعيبا
t3ich fblad mn ghir bladak,To live in a land other than your homeland,تعيش فبلاد من غير بلاداك
kaychofiuk nas ghrib 3lihoum,People see you as a stranger to them,كايشوفيوك ناس غريب عليهوم
zwin tbda b3id 3lihoum,it's good to start far from them,زوين تبدا بعيد عليهوم
ihasdouk wakha ma3andak waloo,They envy you even though you have nothing,إهاسدوك واخا ماعانداك والو
gatlik kandrabha blil,She told you I beat her at night,ڭاتليك كاندرابها بليل
sdat liha fmha bach mathdarch,She closed her mouth for her so she wouldn't speak,سدات ليها فمها باش ماتهدارش
dart liha lmokhadir flkas,she gave her drugs in the glass.,دارت ليها لموخادير فلكاس
df3atha otahat mn drouj,She pushed her and fell down the stairs.,دفعاتها أُتاهات من دروج
daro group zwin dyal lghna,They formed a nice singing group.,دارو ڭروپ زوين ديال لغنا
lil kolo ouhiya katfakar,she kept thinking throughout the whole night.,ليل كولو وهييا كاتفاكار
ma9dratch t9arar wach ghatb9a m3a baha oula m3a khoutha lirbawha,She couldn't decide whether to stay with her father or her siblings who raised her,ماقدراتش تقارار واش غاتبقا معا باها ولا معا خوتها ليرباوها
houwa bgha i3raf 3la l9arar dialha,He wanted to know about her decision,هووا بغا إعراف علا لقارار ديالها
mchat 3and lmouhamiya ldar,She went to the lawyer's house.,مشات عاند لموهامييا لدار
bghat tb9a bouhdha bach tfkar brahtha,She wanted to be alone to think for herself.,بغات تبقا بوهدها باش تفكار براهتها
khoutha hayrin kaytsnaw imta iwsl lghd,"her siblings are confused ,they are waiting for tomorrow to arrive",خوتها هايرين كايتسناو إمتا إوسل لغد
houma may9drouch i3ichou bla biha,They can't live without her.,هوما مايقدروش إعيشو بلا بيها
hiya ghatdi m3aha khouha lmoutawahid ldar,She will take her autistic brother with her to the house.,هييا غاتدي معاها خوها لموتاواهيد لدار
khouha kan hawal intahar,Her brother tried to commit suicide.,خوها كان هاوال إنتاهار
galiha khaski twjdi rask,He told her that she needs to prepare herself,ڭاليها خاسكي توجدي راسك
houma ghaymchiw idirou ijtima3,They will go to hold a meeting,هوما غايمشيو إديرو إجتيماع
3andou mohakama lyouma,He has a trial today,عاندو موهاكاما ليوما
ghayhakmou 3lih bsijn lmouaabad,They will sentence him to life imprisonment,غايهاكمو عليه بسيجن لمواباد
maghaydkhlch lhabs hit 3ta rachwa,He won't enter prison because he gave a bribe,ماغايدخلش لهابس هيت عتا راشوا
khraj mn lhabs ou9tlou chi wahad,He got out of prison and someone killed him,خراج من لهابس وقتلو شي واهاد
hta wahad ma3araf chkoun li9tlou,No one knows who killed him.,هتا واهاد ماعاراف شكون ليقتلو
houwa mojrih oukaystaha9 imout,He is a criminal and deserves to die.,هووا موجريه وكايستاهاق إموت
mratou katfakar tnta9am,his wife is thinking of taking revenge.,مراتو كاتفاكار تنتاقام
bghat tnta9am mn li9tlou rajlha,She wants to avenge her husband's killers,بغات تنتاقام من ليقتلو راجلها
ghadir kolchi bach thakak dakchi libghat,She will do everything to achieve what she wants.,غادير كولشي باش تهاكاك داكشي ليبغات
lbolici khtatf lbnt,The cop kidnapped the girl.,لبوليسي ختاتف لبنت
bgha idiha tchouf khtha,He wants to take her to see her sister.,بغا إديها تشوف ختها
khtha mrida bzaf,Her sister is very sick.,ختها مريدا بزاف
3andha chalal nisfi,She has a half paralysis.,عاندها شالال نيسفي
mab9atch ghat9dar tmcha,She can no longer walk.,مابقاتش غاتقدار تمشا
hyatha kamla ghatb9a na3sa flfrach,"Her whole life, she will remain bedridden.",هياتها كاملا غاتبقا ناعسا فلفراش
khtatfha mn dar bla maychouf hta wahd,he kidnapped from the house without anyone seeing.,ختاتفها من دار بلا مايشوف هتا واهد
daha ldar bach tb9a m3a khtha,He took her home to stay with her sister.,داها لدار باش تبقا معا ختها
galt lbabaha bli bghathom kamlin ib9aw bjanbha,She told her father she wants all of them to stay by her side.,ڭالت لباباها بلي بغاتهوم كاملين إبقاو بجانبها
hiya mabghatch tkhsar hta wahad fihom,She doesn't want to lose anyone of them.,هييا مابغاتش تخسار هتا واهاد فيهوم
khasinha lflous bach dir 3amaliya lkhtha,She needs money for her sister's surgery.,خاسينها لفلوس باش دير عامالييا لختها
houma may9droch idiroha hit fo9ara2,They can't do it because they are poor.,هوما مايقدروش إديروها هيت فوقاراء
houwa ghaydir 3amaliya lkhtha,He will perform surgery on her sister.,هووا غايدير عامالييا لختها
mn ba3d l3amaliya ghatwli tmchaa,"After the surgery, she will be able to walk.",من باعد لعامالييا غاتولي تمشا
houwa may9darch irfad liha talab,He couldn't refuse her request.,هووا مايقدارش إرفاد ليها تالاب
ma9adarch ikhsrha mn ba3d matlakaha,He can't lose her after he met her.,ماقادارش إخسرها من باعد ماتلاكاها
lwalida dialou dkhlat lhabs,His mother was jailed.,لواليدا ديالو دخلات لهابس
hiya likant hzat lbnt mn lbit dmha,It was her who took the girl from her mother's house.,هييا ليكانت هزات لبنت من لبيت دمها
dkhlat lhmam bach tghsal whha,She entered the bathroom to wash her face.,دخلات لهمام باش تغسال وهها
dkhlat 3liha wahd lhabasa bghat t9tlha,A prisoner entered and tried to kill her.,دخلات عليها واهد لهاباسا بغات تقتلها
mo matat fl habs bla maychofha hta wahad,his mother died in prison without anyone seeing.,مو ماتات فل هابس بلا مايشوفها هتا واهاد
chirir sift chi wahad i9tlha flhabs,Someone evil sent someone to kill her in prison.,شيرير سيفت شي واهاد إقتلها فلهابس
houwa mazal ma3raf bli mo matat,He still doesn't know that his mother died.,هووا مازال ماعراف بلي مو ماتات
