darija,eng,darija_ar
fr9 kbir binathom,Big difference between them,فرق كبير بيناتهوم
mawdo3 zwin hada,This topic is very beautiful,ماودوع زوين هادا
bhal had lmawadi3 likat3jbni,I like topics like this,بهال هاد لماواديع ليكاتعجبني
hatni fsya9,Put me in context,هاتني فسياق
dir lizyat,Put on headphones,دير ليزيات
lbs lkask dyal lmotor,Put on your motorcycle helmet,لبس لكاسك ديال لموتور
chof wajhk flmraya,look at your face in the mirror,شوف واجهك فلمرايا
sir ghir bchwya,Go slowly,سير غير بشويا
bghit ndir lmazot,,بغيت ندير لمازوت
bghit ndir lisans,,بغيت ندير ليسانس
fin kayn stasyon?,,فين كاين ستاسيون?
mrayah fjarda,,مراياه فجاردا
kayla3bo fjerda,,كايلاعبو فجردا
mab9ach lm39ol,,مابقاش لمعقول
dayrin modahara,,دايرين موداهارا
tab3inhom lbolis,,تابعينهوم لبوليس
ghlaf liya had lktab,,غلاف لييا هاد لكتاب
hadchi khatir bzaf,,هادشي خاتير بزاف
hado mhgorin,,هادو مهڭورين
makat3raf ach katjib lwa9t,,ماكاتعراف أش كاتجيب لواقت
khasak tched tri9 wahda,,خاساك تشد تريق واهدا
l2islam hram hadchi,,لإسلام هرام هادشي
kbar chacha,,كبار شاشا
sghar chacha,,سغار شاشا
hadchi ghrib 3la ta9afa dyalna,,هادشي غريب علا تاقافا ديالنا
mab9atch l3obodiya,,مابقاتش لعوبودييا
3ager makaywlad,,عاڭر ماكايولاد
t9der tfham t9der la,,تقدر تفهام تقدر لا
ghir kaymtlo,,غير كايمتلو
hadchi ghit tamtil,,هادشي غيت تامتيل
ma3ndnach lfen fhad lblad,,ماعندناش لفن فهاد لبلاد
mcha lmihrajan,,مشا لميهراجان
kanzr3 lgazo,,كانزرع لڭازو
sakn fwahd lvila,,ساكن فواهد لڤيلا
flmo9abil ach ghadi t3tini,,فلموقابيل أش غادي تعتيني
mathta9er hed,,ماتهتاقر هد
sni had lwra9,,سني هاد لوراق
bghit nchi tamber,,بغيت نشي تامبر
bghit nsift wahd lkolya,,بغيت نسيفت واهد لكوليا
khali 3ndk had l2amana,,خالي عندك هاد لأمانا
acho kant rdat lfi3l dyalk,,أشو كانت ردات لفيعل ديالك
wakha daba nchofo,,واخا دابا نشوفو
fdahhom kamlin,,فداههوم كاملين
had lharaka zwina,,هاد لهاراكا زوينا
3ndo ghir lbnat,,عندو غير لبنات
nsaw kolchi,,نساو كولشي
khaso hta how ywrat,,خاسو هتا هوو يورات
hani jay ftobis,,هاني جاي فتوبيس
kay3ano bzaf dyal nas,,كايعانو بزاف ديال ناس
3aych flfa9r,,عايش فلفاقر
hadchi 3ndna fta9afa,,هادشي عندنا فتاقافا
hado homa ta9alid dyalna,,هادو هوما تاقاليد ديالنا
hadchi 3lach kbrna,,هادشي علاش كبرنا
kayjib sl3a mn bra,,كايجيب سلعا من برا
kaysift sal3a lbra,,كايسيفت سالعا لبرا
ghro chitan,,غرو شيتان
kayban mrafah,,كايبان مرافاه
hadak ghir molhid,,هاداك غير مولهيد
hadi chi haja bayna,,هادي شي حاجة باينا
matkhon,,ماتخون
hafad 3la lhowiya dyalk,,هافاد علا لهووييا ديالك
hadchi kaysdam,,هادشي كايسدام
