darija,eng,darija_ar
kantsenna fik t 9oulebni ra bayna,,كانتسنّا فيك ت قولبني را باينا
kantsenna fik t dbet hada lmochkil li 3endek,,كانتسنّا فيك ت دبت هادا لموشكيل لي عندك
kantsenna fik t kemmel dak lmechro3 dialek,,كانتسنّا فيك ت كمّل داك لمشروع ديالك
kantsenna fik t 3ddel l3omla dial site,,كانتسنّا فيك ت عدّل لعوملا ديال سيت
kantsenna fik t 5dech dak l7it,,كانتسنّا فيك ت خدش داك لحيت
kantsenna fik t 3eddem chi 7aja matstahelch,,كانتسنّا فيك ت عدّم شي حاجا ماتستاهلش
kantsenna fik t 3ti lkelbek lmakla,,كانتسنّا فيك ت عتي لكلبك لماكلا
kantsenna fik t wtted l3ala9a dialek m3ah,,كانتسنّا فيك ت وتّد لعالاقا ديالك معاه
kantsenna fik t dewer bik l3ayalat,,كانتسنّا فيك ت دور بيك لعايالات
kantsenna fik t 3zel rassek fchi bit mli mredti,,كانتسنّا فيك ت عزل راسّك فشي بيت ملي مردتي
kantsenna fik t berrer had lmaw9if li te7ti fih,,كانتسنّا فيك ت برّر هاد لماوقيف لي تحتي فيه
kantsenna fik t d33ef rassek,,كانتسنّا فيك ت دعّف راسّك
kantsenna fik t dir l7issass dial de3m fchher tlata,,كانتسنّا فيك ت دير لحيسّاسّ ديال دعم فشهر تلاتا
kantsenna fik tatbghi chi we7da ou nwrik,,كانتسنّا فيك تاتبغي شي وحدا و نوريك
kantsenna fik t wsse3 dik troussa li chriti 7it katban sghira,,كانتسنّا فيك ت وسّع ديك تروسّا لي شريتي حيت كاتبان سغيرا
kantsenna fik t dwi m3a dak derri,,كانتسنّا فيك ت دوي معا داك درّي
kantsenna fik t rkeb dik l3eyba fdak lferdi,,كانتسنّا فيك ت ركب ديك لعيبا فداك لفردي
kantsenna fik t 5tare3 chi 7aja jdida,,كانتسنّا فيك ت ختارع شي حاجا جديدا
kantsenna fik t sne3 chi 7aja tnfe3na,,كانتسنّا فيك ت سنع شي حاجا تنفعنا
kantsenna fik t sedd dak lbit 7it kolo 3amer tobbat,,كانتسنّا فيك ت سدّ داك لبيت حيت كولو عامر توبّات
kantsenna fik t 3awed tfekker fdak lmawdou3,,كانتسنّا فيك ت عاود تفكّر فداك لماودوع
kantsenna fik t sowwer chi mender zwiwen,,كانتسنّا فيك ت سووّر شي مندر زويون
kantsenna fik t frche5 tonobil li 9oddamek 3arfek mata3refch tsoug,,كانتسنّا فيك ت فرشخ تونوبيل لي قودّامك عارفك ماتاعرفش تسوڭ
kantsenna fik t n9el ou l2ostaad maychoufekch,,كانتسنّا فيك ت نقل و لأستاد مايشوفكش
kantsenna fik t blokih fwhatsapp,,كانتسنّا فيك ت بلوكيه فوهاتساپّ
kantsenna fik t stfser 3la dik dar,,كانتسنّا فيك ت ستفسر علا ديك دار
kantsenna fik t 7dder lih chi fe55,,كانتسنّا فيك ت حدّر ليه شي فخّ
kantsenna fik t dowwer bhadik lblassa chwak bach mayd5elch liha l7wayanwat,,كانتسنّا فيك ت دووّر بهاديك لبلاسّا شواك باش مايدخلش ليها لحوايانوات
kantsenna fik t tna9ch m3aya fhad lmawdou3,,كانتسنّا فيك ت تناقش معايا فهاد لماودوع
kantsenna fik t towwer men 7yatek,,كانتسنّا فيك ت تووّر من حياتك
kantsenna fik t tzyyen dik dar,,كانتسنّا فيك ت تزيّن ديك دار
kantsenna fik t sta5el had l3otla,,كانتسنّا فيك ت ستاخل هاد لعوتلا
kantsenna fik t wret bach nzhaw bddouk lflouss,,كانتسنّا فيك ت ورت باش نزهاو بدّوك لفلوسّ
kantsenna fik t tbda t5erbe9 f5demtek,,كانتسنّا فيك ت تبدا تخربق فخدمتك
kantsenna fik t 5ne9ni mli nkounou kan3oumou,,كانتسنّا فيك ت خنقني ملي نكونو كانعومو
kantsenna fik t daaf3 3la fer9tek,,كانتسنّا فيك ت دافع علا فرقتك
kantsenna fik t 5emmes bach takol tajine,,كانتسنّا فيك ت خمّس باش تاكول تاجين
kantsenna fik t charek fdik lmosaba9a ou diha,,كانتسنّا فيك ت شارك فديك لموساباقا و ديها
kantsenna fik t 3llemni nl3eb chetranje,,كانتسنّا فيك ت علّمني نلعب شترانج
kantsenna fik t tla9 dik dar ra bghit nkriha,,كانتسنّا فيك ت تلاق ديك دار را بغيت نكريها
kantsenna fik t 3enneb 3la driya,,كانتسنّا فيك ت عنّب علا درييا
kantsenna fik t chowwech 3liya,,كانتسنّا فيك ت شووّش علييا
kantsenna fik t tsellel men mora dak lbab,,كانتسنّا فيك ت تسلّل من مورا داك لباب
kantsenna fik t 7rref dak lktab,,كانتسنّا فيك ت حرّف داك لكتاب
kantsenna fik t raaje3 dorossek bach n5erjou,,كانتسنّا فيك ت راجع دوروسّك باش نخرجو
kantsenna fik t nsseb 3la dak siyed ou di lih flousso kima nsebti 3liya,,كانتسنّا فيك ت نسّب علا داك سييد و دي ليه فلوسّو كيما نسبتي علييا
kantsenna fik t nfajer chi nhar bhad l3assabiya,,كانتسنّا فيك ت نفاجر شي نهار بهاد لعاسّابييا
kantsenna fik t sken fchi dar mermda b7al hadi,,كانتسنّا فيك ت سكن فشي دار مرمدا بحال هادي
kantsenna fik t 5effef men dak ch3er,,كانتسنّا فيك ت خفّف من داك شعر
kantsenna fik t 3alej rassek 7it rak dima mrid,,كانتسنّا فيك ت عالج راسّك حيت راك ديما مريد
kantsenna fik t t9aad lik lmana3a 7it rak dima mrid bach n5erjou dima,,كانتسنّا فيك ت تقاد ليك لماناعا حيت راك ديما مريد باش نخرجو ديما
kantsenna fik t tserreb liya dak lmti7an li 3endi 5edda,,كانتسنّا فيك ت تسرّب لييا داك لمتيحان لي عندي خدّا
kantsenna fik t rtteb lbechra dialek,,كانتسنّا فيك ت رتّب لبشرا ديالك
kantsenna fik t chiyyer dik l7ejra 3arfek mwelefha,,كانتسنّا فيك ت شييّر ديك لحجرا عارفك مولفها
kantsenna fik t stoki bezzaf dial lmakla hna,,كانتسنّا فيك ت ستوكي بزّاف ديال لماكلا هنا
kantsenna fik t wde3 dik sel3a fhad sendo9,,كانتسنّا فيك ت ودع ديك سلعا فهاد سندوق
kantsenna fik t tchbbet bhad l9iyam diniya,,كانتسنّا فيك ت تشبّت بهاد لقييام دينييا
kantsenna fik t wgueff liya dik la carte,,كانتسنّا فيك ت وڭوفّ لييا ديك لا كارت
kantsenna fik t 5wa lik dik lblassa fl2otel,,كانتسنّا فيك ت خوا ليك ديك لبلاسّا فلأتل
kantsenna fik t t7emmel ga3 had lmes2ouliyat,,كانتسنّا فيك ت تحمّل ڭاع هاد لمسأولييات
kantsenna fik t tsme3 had l2adan ou y3ejbek,,كانتسنّا فيك ت تسمع هاد لأدان و يعجبك
kantsenna fik t n99et lina had lmti7an ou dir m3ana msian,,كانتسنّا فيك ت نقّت لينا هاد لمتيحان و دير معانا مسيان
kantsenna fik t rje3 men sfer,,كانتسنّا فيك ت رجع من سفر
kantsenna fik trbe7 dik tournowa,,كانتسنّا فيك تربح ديك تورنووا
kantsenna fik tbelle5 lboliss bhad chefra,,كانتسنّا فيك تبلّخ لبوليسّ بهاد شفرا
kantsenna fik t tfa lik had telfaza,,كانتسنّا فيك ت تفا ليك هاد تلفازا
kantsenna fik t ryye7 hna,,كانتسنّا فيك ت ريّح هنا
kantsenna fik t 5ech bach t7essel chi nhar,,كانتسنّا فيك ت خش باش تحسّل شي نهار
kantsenna fik t 9chcher liya dak lhendi,,كانتسنّا فيك ت قشّر لييا داك لهندي
kantsenna fik t fekker dik dikrayat,,كانتسنّا فيك ت فكّر ديك ديكرايات
kantsenna fik t 3awed lmoraja3a dial dik lmadda,,كانتسنّا فيك ت عاود لموراجاعا ديال ديك لمادّا
kantsenna fik t rejje3 liya floussi,,كانتسنّا فيك ت رجّع لييا فلوسّي
kantsenna fik t fhem dik lmes2ala,,كانتسنّا فيك ت فهم ديك لمسألا
kantsenna fik t soug dik teyara,,كانتسنّا فيك ت سوڭ ديك تيارا
khlini ntfi l3afia.,,خليني نتفي لعافيا.
khlini n3awnek,,خليني نعاونك
khlini n7bss lma.,,خليني نحبسّ لما.
khlini njerr lkourssi,,خليني نجرّ لكورسّي
khlini ntlbou i3awni,,خليني نتلبو إعاوني
khlini n7et lmakla,,خليني نحت لماكلا
khlini ntyeb l3cha,,خليني نتيب لعشا
khlini nkhroj,,خليني نخروج
khlini n7yed lwskh,,خليني نحيد لوسخ
khlini nddabz m3ah,,خليني ندّابز معاه
khlini nd3af,,خليني ندعاف
khlini nghlad,,خليني نغلاد
khlini nttasel bih,,خليني نتّاسل بيه
khlini ntfi dwaw.,,خليني نتفي دواو.
khlini nbeddel ljaw chwia.,,خليني نبدّل لجاو شويا.
khlini nkhtar chnou bghit,,خليني نختار شنو بغيت
khlini nghamer,,خليني نغامر
khlini nsafer,,خليني نسافر
khlini nmettel.,,خليني نمتّل.
khlini nhreb.,,خليني نهرب.
khlini n3om.,,خليني نعوم.
khlini nsebben l7wayej.,,خليني نسبّن لحوايج.
khlini ntze3lel.,,خليني نتزعلل.
khlini nsllem.,,خليني نسلّم.
khlini nzreb.,,خليني نزرب.
khlini nwaaj8ou,,خليني نواجهو
khlini nban lihoum,,خليني نبان ليهوم
