darija,eng,darija_ar
m3art wach ybghi 9ellel.,,معارت واش يبغي قلّل.
m3art wach ybghi saad.,,معارت واش يبغي ساد.
m3art wach ybghi yne99ez men hna,,معارت واش يبغي ينقّز من هنا
9raya mohima ila ma9ritish wmajbtish mzian maghat9dsh t9ra fjami3at dial lme5zen wtjib dakchi libaghi,,قرايا موهيما إلا ماقريتيسه وماجبتيسه مزيان ماغاتقدسه تقرا فجاميعات ديال لمخزن وتجيب داكشي ليباغي
lah isshel elikoum a wlidat,,الله إسّهل إليكوم أ وليدات
wach da5lat m3akom dik driya l9issem,,واش داخلات معاكوم ديك درييا لقيسّم
ga3 hado 3andhom haja maghadich ygolhalik,,ڭاع هادو عاندهوم حاجة ماغاديش يڭولهاليك
m3art wach ybghi ylwa bla makla fhas sehd,,معارت واش يبغي يلوا بلا ماكلا فهاس سهد
m3art wach ybghi ytfahem m3aya,,معارت واش يبغي يتفاهم معايا
m3art wach ybghi y5eli snanou raybin,,معارت واش يبغي يخلي سنانو رايبين
m3art wach ybghi y7ami 3la 5oh sghir,,معارت واش يبغي يحامي علا خوه سغير
m3art wach ybghi ymne3ni mand5ol hna,,معارت واش يبغي يمنعني ماندخول هنا
m3art wach ybghi y5owwet 3liya rah maki3refch chkon howa lwalid,,معارت واش يبغي يخووّت علييا راه ماكيعرفش شكون هووا لواليد
m3art wach ybghi y9ad had lmaw3id,,معارت واش يبغي يقاد هاد لماوعيد
wach howa li kaytayb,,واش هووا لي كايتايب
wa7ed lbnnt bant fluwl gae katchbhlk!!,,واحد لبنّت بانت فلوول ڭا كاتشبهلك!!
shabli ntina,,سهابلي نتينا
ch7al w ana kan9lb 3lik fin ghbrti,,شحال و أنا كانقلب عليك فين غبرتي
9elbi skt yhsabli bseh mat lah y3tikom l7ebs,,قلبي سكت يهسابلي بسه مات الله يعتيكوم لحبس
dartha zouj mrat bla ma nhal nifi,,دارتها زوج مرات بلا ما نهال نيفي
ta wesh shablikom nifi kbir gher hkak,,تا وسه سهابليكوم نيفي كبير غر هكاك
ana kndwe m3akum mn hôpital daba,,أنا كندو معاكوم من هôپيتال دابا
ylh ba9i f tawani lwla ou ma39drtch ou ntoma katfoli joj mrat,,يله باقي ف تاواني لولا و ماعقدرتش و نتوما كاتفولي جوج مرات
ana kntkhna9,,أنا كنتخناق
ghechach kaytnefes men wadno,,غشاش كايتنفس من وادنو
younes bghina chi wsfa ha l3ar tw7chnak,,يونس بغينا شي وسفا ها لعار توحشناك
katnfs mn wednk 5echach,,كاتنفس من ودنك خشاش
fach katbghi te9na3 bak beli ra makatkmich,,فاش كاتبغي تقناع باك بلي را ماكاتكميش
