darija,eng,darija_ar
galt liya 3awd lih dakshi li glti,,ڭالت لييا عاود ليه داكسهي لي ڭلتي
lwalid maty9nish bhal l3ada,,لواليد ماتيقنيسه بهال لعادا
walakin lwalida hadra had lmra,,والاكين لواليدا هادرا هاد لمرا
3awdat lwalid li shaft,,عاودات لواليد لي سهافت
had lmra ty9,,هاد لمرا تيق
b9a tayswl,,بقا تايسول
safrt ana wlwalid wl walida,,سافرت أنا ولواليد ول واليدا
khmsa diyal sway3 diyal tri9,,خمسا دييال سوايع دييال تريق
hsit blmkh diyali kayfour,,هسيت بلمخ دييالي كايفور
wslni w b9ina shi sa3a,,وسلني و بقينا سهي ساعا
kna kan9lbo,,كنا كانقلبو
l9ina bnadm dayr sf,,لقينا بنادم داير سف
man3stsh dik lila,,مانعستسه ديك ليلا
fsbah khdit lmotor diyal wahd l3shir,,فسباه خديت لموتور دييال واهد لعسهير
b9ina ghadyin kan9lbo 3la had siyd,,بقينا غاديين كانقلبو علا هاد سييد
l9ina bnadm wa9f bsf,,لقينا بنادم واقف بسف
wslatna nouba dkhlna,,وسلاتنا نوبا دخلنا
b9at tatshouf fiya wahd khmsa diyal d9ay9,,بقات تاتسهوف فييا واهد خمسا دييال دقايق
galt liya brk hna,,ڭالت لييا برك هنا
w hiya tnoud,,و هييا تنود
jabt wahd zif diyal hayati,,جابت واهد زيف دييال هاياتي
b9at kathrk frasha,,بقات كاتهرك فراسها
galt liya ma3ndi mandir lik,,ڭالت لييا ماعندي ماندير ليك
hadshi ktr mn l9odra diyali,,هادسهي كتر من لقودرا دييالي
bdit ntlb fiha ghir tgoul ashno wa93,,بديت نتلب فيها غير تڭول أسهنو واقع
drt shi haja li khlato ydirni frasso,,درت سهي حاجة لي خلاتو يديرني فراسّو
ghir galtha liya wana ntfkr,,غير ڭالتها لييا وانا نتفكر
m3a lkhl3a 3awdt lshibaniya kolshi,,معا لخلعا عاودت لسهيبانييا كولسهي
lbnt li m3aya bdat kadhk,,لبنت لي معايا بدات كادهك
whiya dour fiha w khrjatha,,وهييا دور فيها و خرجاتها
dik sa3a wlit sfr,,ديك ساعا وليت سفر
bhal shi hamda,,بهال سهي هامدا
hslt fiha had lmra,,هسلت فيها هاد لمرا
ndmt 3la nhar li 3rftk fih,,ندمت علا نهار لي عرفتك فيه
mshit m3aha nwslha,,مسهيت معاها نوسلها
galt liya ila kant mktaba shi haja rah mktaba,,ڭالت لييا إلا كانت مكتابا سهي حاجة راه مكتابا
wslt ldar,,وسلت لدار
tankhmm wakha ngolha lihom mgahyty9onish,,تانخمّ واخا نڭولها ليهوم مڭاهيتيقونيسه
gha ybdaw ydhko 3awtani,,غا يبداو يدهكو عاوتاني
tanshouf ftlfaza w hiya t9t3 soura,,تانسهوف فتلفازا و هييا تقتع سورا
b9at shhal whiya tshouf,,بقات سههال وهييا تسهوف
lmndr ghrib bzaf,,لمندر غريب بزاف
bdat katghwt w khrjat lbra,,بدات كاتغوت و خرجات لبرا
khlatni bouhdi,,خلاتني بوهدي
mab9ash 3ndi ljhd bash nhdr,,مابقاسه عندي لجهد باسه نهدر
lwalida jabt shi jiran,,لواليدا جابت سهي جيران
dkhlo ldar wana ntih,,دخلو لدار وانا نتيه
3nd bali bli 3adi kima lmrat lkhrin,,عند بالي بلي عادي كيما لمرات لخرين
knt ghalt,,كنت غالت
rj3t fin knt na3s,,رجعت فين كنت ناعس
brkt 3adi shdit wahd lfilm,,بركت عادي سهديت واهد لفيلم
bark kantfrj 3adi,,بارك كانتفرج عادي
hta bdit kanhs bsdari kaythrk,,هتا بديت كانهس بسداري كايتهرك
kann kaytshab liya ghir shi zlzal,,كانّ كايتسهاب لييا غير سهي زلزال
khrjt kanjri lbra,,خرجت كانجري لبرا
tb3ni lwalid galiya malk,,تبعني لواليد ڭالييا مالك
glt lih bli lfrash kann kaytz3z3,,ڭلت ليه بلي لفراسه كانّ كايتزعزع
bhal ila kann shi zlzal,,بهال إلا كانّ سهي زلزال
b9aw taydhko 3liya bhala tstit,,بقاو تايدهكو علييا بهالا تستيت
dkhlt ldar 3awdtani,,دخلت لدار عاودتاني
bhala makntsh ghir bouhdi,,بهالا ماكنتسه غير بوهدي
bhala shi wahd hadini,,بهالا سهي واهد هاديني
awal mra nhs bhadak sho3our,,أوال مرا نهس بهاداك سهوعور
lbab diyal lbit ma3rt malo,,لباب دييال لبيت ماعرت مالو
ana kansdou whowa kythl,,أنا كانسدو وهووا كيتهل
glt ymkn hit khasr,,ڭلت يمكن هيت خاسر
bda kaydkhlni shk,,بدا كايدخلني سهك
glt bli shi wahd mtl3ha 3liya,,ڭلت بلي سهي واهد متلعها علييا
tanjri kantl fzn9a makayn tawahd,,تانجري كانتل فزنقا ماكاين تاواهد
malin dar barkin kaytghdaw,,مالين دار باركين كايتغداو
akhir haja kayfkrou fiha hiya ana,,أخير حاجة كايفكرو فيها هييا أنا
wakha hadshi kaml ana knt ba9i mafahm walo,,واخا هادسهي كامل أنا كنت باقي مافاهم والو
taygolo bli ghir kolondir hadak,,تايڭولو بلي غير كولوندير هاداك
wash lkolondir gha ytb3ni htal lmdrassa,,واسه لكولوندير غا يتبعني هتال لمدراسّا
tanswl wash 3shrani fdrb shih d wa93lih bhali,,تانسول واسه عسهراني فدرب سهيه د واقعليه بهالي
lbnt sm3at had lhdra,,لبنت سمعات هاد لهدرا
knt yallah kharj mn riyada,,كنت يالّاه خارج من رييادا
t9t3 do mafhmt walo,,تقتع دو مافهمت والو
bghit nkhrj lbab mabghash ythl,,بغيت نخرج لباب مابغاسه يتهل
lyd diyal lbab skhouna bhala kant foug lbouta,,ليد دييال لباب سخونا بهالا كانت فوڭ لبوتا
bdit kanghwt shi ghwat ma3rftoush,,بديت كانغوت سهي غوات ماعرفتوسه
kan kaytshab lihom bli thrgt,,كان كايتسهاب ليهوم بلي تهرڭت
lwalid hrs lbab,,لواليد هرس لباب
w howa yrj3 do,,و هووا يرجع دو
swloni 3awdt lihom bli do t9t3,,سولوني عاودت ليهوم بلي دو تقتع
galo liya khrjo 3liya laflam diyal lhnoud,,ڭالو لييا خرجو علييا لافلام دييال لهنود
walakin mahas blmzwd ghir li mkhbout bih,,والاكين ماهاس بلمزود غير لي مخبوت بيه
dwz dik lila bla n3ass,,دوز ديك ليلا بلا نعاسّ
lil kaml wana hal 3iniya,,ليل كامل وانا هال عينييا
tantsna imta ysbh lhal,,تانتسنا إمتا يسبه لحال
nmshi n3rf ash hadshi li wa93 liya,,نمسهي نعرف أسه هادسهي لي واقع لييا
makntsh 3arf bli hadshi li drt gha y9lb liya hyati sfaha 3la 3laha,,ماكنتسه عارف بلي هادسهي لي درت غا يقلب لييا هياتي سفاها علا علاها
tl3at mha galt liya salam,,تلعات مها ڭالت لييا سالام
jat ghi tnshr lhwayj,,جات غي تنسهر لحوايج
swlatni,,سولاتني
knt kanl3b m3a lklb,,كنت كانلعب معا لكلب
galt liya mzyan safi,,ڭالت لييا مزيان سافي
dik lhda hbt ldar,,ديك لهدا هبت لدار
b9it tashwiya jani lmessage,,بقيت تاسهوييا جاني لمسّاڭ
ana mouchkilty makanti9ch,,أنا موشكيلتي ماكانتيقش
kent kan3arfou,,كنت كانعارفو
9ra m3aya,,قرا معايا
katban fihoum,,كاتبان فيهوم
chad ti9ari,,شاد تيقاري
men dar lkhedma,,من دار لخدما
matanhderch m3a nas,,ماتانهدرش معا ناس
k7el ras kayjiw mennou ghir lmachakil,,كحل راس كايجيو منّو غير لماشاكيل
hada wajib,,هادا واجيب
klefnah bach yekhtar,,كلفناه باش يختار
ntmenna tkoun f lmostawa,,نتمنّا تكون ف لموستاوا
kadir li bghat,,كادير لي بغات
ghadi nber3ek,,غادي نبرعك
matb9ach gals flberd,,ماتبقاش ڭالس فلبرد
bda kaydhek 3lia,,بدا كايدهك عليا
khrejt men lkhedma,,خرجت من لخدما
chkoun ghaysref 3lina,,شكون غايسرف علينا
steghfer molat,,ستغفر مولات
bntilia makadir tachi haja,,بنتيليا ماكادير تاشي حاجة
kat9ata3 fl9elb,,كاتقاتاع فلقلب
3mer had lwar9a,,عمر هاد لوارقا
ma3emri chet chi men7ous b7alek,,ماعمري شت شي منحوس بحالك
ach dak twsel 3endhoum,,أش داك توسل عندهوم
labas mli ma9etloukch,,لاباس ملي ماقتلوكش
ach dak dza7em m3ahoum,,أش داك دزاحم معاهوم
mskina ma9aryach,,مسكينا ماقارياش
lach l7ogra lach,,لاش لحوڭرا لاش
ta7ed maghay9bel alik fhad l7ala,,تاحد ماغايقبل أليك فهاد لحالا
chkoun dar fik had l7ala,,شكون دار فيك هاد لحالا
wahed khiyna 3ajbou rasou,,واهد خيينا عاجبو راسو
kanchoufek katertah,,كانشوفك كاترتاه
3lach mafkartich t9alab alia,,علاش مافكارتيش تقالاب أليا
3lach katsawal 3lih,,علاش كاتساوال عليه
bghitou fmawdou3 chekhsi,,بغيتو فماودوع شخسي
bnti lia machghoul,,بنتي ليا ماشغول
gles mat7chemch,,ڭلس ماتحشمش
ghbarty had lyoumayn,,غبارتي هاد ليوماين
makayn lach nberztek,,ماكاين لاش نبرزتك
fach bghitiha,,فاش بغيتيها
ghadi ndekhlek 3endha,,غادي ندخلك عندها
machi 7na li mkalfin bdakchi,,ماشي حنا لي مكالفين بداكشي
7na m3atlin daba,,حنا معاتلين دابا
makhaf ghir men moulak,,ماخاف غير من مولاك
ach had lfoda,,أش هاد لفودا
khwi 3lia men hna,,خوي عليا من هنا
hadi lfalta dyali,,هادي لفالتا ديالي
wach ghandir koulchi wla chnou,,واش غاندير كولشي ولا شنو
chkoun li jabek lhna,,شكون لي جابك لهنا
ma3raftekch flawal,,ماعرافتكش فلاوال
nod tga3ad 3lia men hna,,نود تڭاعاد عليا من هنا
ghansiftek 3end wahed syd,,غانسيفتك عند واهد سيد
ghaydir m3ak lazem,,غايدير معاك لازم
hadchi dar chehal hada,,هادشي دار شهال هادا
drabni tran,,درابني تران
w7da li khtarou,,وحدا لي ختارو
tasel m3ah,,تاسل معاه
ana machi weld hna,,أنا ماشي ولد هنا
bghit nsawlek?,,بغيت نساولك?
ma3merhoum 3ezlouni,,ماعمرهوم عزلوني
ghadi n3ejbek,,غادي نعجبك
slem 3lih zreb 3lih,,سلم عليه زرب عليه
ajiw tkhelsou,,أجيو تخلسو
ghir kemel,,غير كمل
maghadjikch forsa khra,,ماغادجيكش فورسا خرا
derti dakchi li 3lik,,درتي داكشي لي عليك
ana ghadi n3awnek fhad l7ma9,,أنا غادي نعاونك فهاد لحماق
ach baghi dir,,أش باغي دير
hada mesmar wtere9,,هادا مسمار وترق
ghatel9aha tma katsena,,غاتلقاها تما كاتسنا
ila majitch lmosama7a,,إلا ماجيتش لموساماحا
smhli ma3raftekch,,سمهلي ماعرافتكش
3endi tjriba,,عندي تجريبا
ana aham kliyana 3endhoum,,أنا أهام كلييانا عندهوم
kat3erfiha mzyan,,كاتعرفيها مزيان
swalni 3la ay wahed njiblik khbarou,,سوالني علا أي واهد نجيبليك خبارو
yalah tle3 m3aya l9aleb,,يالاه تلع معايا لقالب
mamdawich mzyan,,مامداويش مزيان
tswira mawad7ach,,تسويرا ماوادحاش
wach nsalfak,,واش نسالفاك
lqualité 3yana,,لقواليتé عيانا
machi chi haja nit,,ماشي شي حاجة نيت
mayestahelch hadchi kaml,,مايستاهلش هادشي كامل
3lach kade7kou,,علاش كادحكو
ghir ana wrasi,,غير أنا وراسي
wach hadchi dima,,واش هادشي ديما
machi ghir ana bouhdi,,ماشي غير أنا بوهدي
kanb9aw haka,,كانبقاو هاكا
makandir ta haja,,ماكاندير تا حاجة
wach katchoufni mzyan,,واش كاتشوفني مزيان
baytin bla 3cha,,بايتين بلا عشا
3awedi ji 3endna,,عاودي جي عندنا
zwiwen b7alek,,زويون بحالك
9hartini b kdoubek,,قهارتيني ب كدوبك
nsit ma3titha ta haja,,نسيت ماعتيتها تا حاجة
la zebra 3la sla7,,لا زبرا علا سلاح
ach had te3tila,,أش هاد تعتيلا
telephoni nsitou,,تلپهوني نسيتو
rah dima kangoulha,,راه ديما كانڭولها
zher li ma3endekch,,زهر لي ماعندكش
9ta3t lgaro,,قتاعت لڭارو
lah ya3fou 3lia,,الله ياعفو عليا
bghit chi haja jdida,,بغيت شي حاجة جديدا
tri9 kant mzayra,,تريق كانت مزايرا
men dakchi rfi3,,من داكشي رفيع
matmchi ghir 3la khatrek,,ماتمشي غير علا خاترك
khlik dima metfa2el,,خليك ديما متفاءل
ras malou kaml,,راس مالو كامل
madgoulch lia kat3arfou,,مادڭولش ليا كاتعارفو
ghni lina chi m9te3,,غني لينا شي مقتع
ana tan3ref ngheni,,أنا تانعرف نغني
khli lghna lmalih,,خلي لغنا لماليه
ghanmchi nkhalas dariba,,غانمشي نخالاس داريبا
wjhi k7al f chemch,,وجهي كحال ف شمش
nti a7sen mra fhad denya,,نتي أحسن مرا فهاد دنيا
wach ana 3mri kdabt 3lik,,واش أنا عمري كدابت عليك
wach 39alti awel mra chtek fiha,,واش عقالتي أول مرا شتك فيها
derti sbba blwerd,,درتي سبّا بلورد
3awedi lrasek,,عاودي لراسك
ma3endich lgana,,ماعنديش لڭانا
bayn l3erboun,,باين لعربون
che7al ygeddek,,شحال يڭدّك
che7al khassek,,شحال خاسّك
ma7taj chi haja,,ماحتاج شي حاجة
fach ne9der n3awnek,,فاش نقدر نعاونك
t9der t3awal 3lia,,تقدر تعاوال عليا
maghadich n7echem bik,,ماغاديش نحشم بيك
ila matya9tich sir sawal,,إلا ماتياقتيش سير ساوال
man9der ngoulik tahaja daba,,مانقدر نڭوليك تاحاجة دابا
tana 3ay9a bik,,تانا عايقا بيك
3arfak ach katsway,,عارفاك أش كاتسواي
7afda koulchi,,حافدا كولشي
ana li damnek,,أنا لي دامنك
wachnou ghaydmen lia ana hadchi,,واشنو غايدمن ليا أنا هادشي
tam3lia f rez9i,,تامعليا ف رزقي
chkoun ghay7fer,,شكون غايحفر
3lmatna l7ayat,,علماتنا لحايات
lme39oul hwa koulchi,,لمعقول هوا كولشي
wliti chrik m3ana,,وليتي شريك معانا
diri l7lib f soupira,,ديري لحليب ف سوپيرا
hak tmer bach t7elli,,هاك تمر باش تحلّي
hadchi zwin,,هادشي زوين
lah ykamal bikhir,,الله يكامال بيخير
nje7na f lmechrou3,,نجحنا ف لمشروع
li bgha ywsel lchi haja ydir fiha 3e9lou,,لي بغا يوسل لشي حاجة يدير فيها عقلو
nti li kadawri l7ara,,نتي لي كاداوري لحارا
ghanemchi l l7emmam,,غانمشي ل لحمّام
hadik rah nessaba,,هاديك راه نسّابا
houma li kaykhelsou 3liha,,هوما لي كايخلسو عليها
ghandir m3ak lmezyan,,غاندير معاك لمزيان
rah koulchi wajed,,راه كولشي واجد
hana salit lik,,هانا ساليت ليك
