darija,eng,darija_ar
rah t9der xi nher nji lourzazat,,راه تقدر شي نهر نجي لورزازات
ntla9a m3ak z3ma nn dzl,,نتلاقا معاك زعما الن دزل
nn ghir smhliya wlh mabghitch,,الن غير سمهلييا وله مابغيتش
3tina b3da gha nmra afatima,,عتينا بعدا غا نمرا أفاتيما
bghit ndwi app mra mra,,بغيت ندوي أپّ مرا مرا
nt3rfo 3lik,,نتعرفو عليك
rah maymknch liya njawbk,,راه مايمكنش لييا نجاوبك
dkxi 3lx bghit nmrtk,,دكشي علش بغيت نمرتك
ghada ndwi m3ak,,غادا ندوي معاك
hit db knsoni,,هيت دب كنسوني
nmra mkhadamax,,نمرا مخاداماش
bghit nt3rf 3lik,,بغيت نتعرف عليك
ila bghiti mn khatrak,,إلا بغيتي من خاتراك
xfti nti drti m3aya lkhybb,,شفتي نتي درتي معايا لخيبّ
3titini nmra mxi dylkk,,عتيتيني نمرا مشي ديلكّ
kifax machi dyali si dyali wlh,,كيفاش ماشي ديالي سي ديالي وله
rah hadik fiha ghir wathsapp,,راه هاديك فيها غير واتهساپّ
ah wach jawbk wahd dri,,أه واش جاوبك واهد دري
ahna khdina nmrtak,,أهنا خدينا نمرتاك
ghir bx ndwiw m3ak,,غير بش ندويو معاك
frasak knt bit nsoni,,فراساك كنت بيت نسوني
3la dk dri ngolih smah liya,,علا دك دري نڭوليه سماه لييا
rah número ghalat,,راه نúمرو غالات
mab9itix bghiti tdwi m3aya,,مابقيتيش بغيتي تدوي معايا
imta wsalti,,إمتا وسالتي
wsalt m3a 6 sbah,,وسالت معا 6 سباه
ljaw mbarad wmdabab,,لجاو مباراد ومداباب
iwa lah yjib xta,,إوا الله يجيب شتا
ya rabi amine,,يا رابي أمين
zwina tbarkallah,,زوينا تباركالّاه
wallah ila ghir m3a lwa9t,,والّاه إلا غير معا لواقت
ghir m3a lwa9t,,غير معا لواقت
kan 3andna l3ars dak,,كان عاندنا لعارس داك
rah maghadi ana,,راه ماغادي أنا
wach bghitha droka,,واش بغيتها دروكا
aslan hta hna dhk m3ak,,أسلان هتا هنا دهك معاك
ghir oghniya,,غير أُغنييا
rah wa9ila hadok li,,راه واقيلا هادوك لي
kay3rgo mzn lin,,كايعرڭو مزن لين
kont galsa hda dok l9was,,كونت ڭالسا هدا دوك لقواس
onta tban li m3a l9adiri,,أُنتا تبان لي معا لقاديري
dak chi kaymchi,,داك شي كايمشي
wach kayn chi,,واش كاين شي
hadak kanmchi nchri,,هاداك كانمشي نشري
okaygol 3inik zinin,,أُكايڭول عينيك زينين
yih ya aym l9raya,,ييه يا أيم لقرايا
ayam maktnsa,,أيام ماكتنسا
lina ostad dayl lfisiq,,لينا أُستاد دايل لفيسيق
39alt 3la riha,,عقالت علا ريها
walah ana mab9it 3a9la 3liha,,والاه أنا مابقيت عاقلا عليها
n3so mhd lhl brd,,نعسو مهد لهل برد
rah walina za3ma hta hna ghlad,,راه والينا زاعما هتا هنا غلاد
ila ghda inchallah,,إلا غدا إنشالّاه
lconx t9ila 3andi,,لكونش تقيلا عاندي
mara okhra,,مارا أُخرا
awdi smah li wallah,,أودي سماه لي والّاه
rah m3a kolchi machi ghir m3ak nta,,راه معا كولشي ماشي غير معاك نتا
had chi mhark db,,هاد شي مهارك دب
wach had lma li,,واش هاد لما لي
wala ma3rft ach had l3jabtbdal,,والا ماعرفت أش هاد لعجابتبدال
ghir tghdit wtkit,,غير تغديت وتكيت
b9it chwaya chadni lwja3,,بقيت شوايا شادني لوجاع
wakha hta tama kayn,,واخا هتا تاما كاين
sifat liya dik taswira,,سيفات لييا ديك تاسويرا
l3z khoya,,لعز خويا
hadi taniya,,هادي تانييا
fin drari,,فين دراري
nji l3ndk db,,نجي لعندك دب
ylh nl9ak hda kmqsira wla hd sbitar,,يله نلقاك هدا كمقسيرا ولا هد سبيتار
fin lhbib lbss 3lik,,فين لهبيب لبسّ عليك
swlt 3likgalt liya jiti m3aha,,سولت عليكڭالت لييا جيتي معاها
mzn lah ysser l2omor.,,مزن الله يسّر لأمور.
oui c qui b3da,,وي ك قوي بعدا
labas lhamdolah w nta hani omrk mzn,,لاباس لهامدولاه و نتا هاني أُمرك مزن
iwa cv fin hd laghbor,,إوا كڤ فين هد لاغبور
riir dniya awdi a walid,,ريّر دنييا أودي أ واليد
hiya jiti jihtna,,هييا جيتي جيهتنا
mzn a sidi mrhba bik,,مزن أ سيدي مرهبا بيك
ach radir lmotor wla lkri?,,أش رادير لموتور ولا لكري?
wghadi nakri ana,,وغادي ناكري أنا
iwa b9a tmchi w tji,,إوا بقا تمشي و تجي
mzn hssn mn lkri w tzid lmotor,,مزن هسّن من لكري و تزيد لموتور
ana lmotor nb9a nmxi ghir lmadrasa l tamgroute,,أنا لموتور نبقا نمشي غير لمادراسا ل تامڭروت
ama dik sa3a mchat.,,أما ديك ساعا مشات.
lmhm ana 3ndi motor,,لمهم أنا عندي موتور
dyl depannage wsaf,,ديل دپانّاڭ وساف
db lay7oo 3nd sexkliss,,دب لايحو عند سشكليسّ
knxof xkon ydini lgheda ltma,,كنشوف شكون يديني لغدا لتما
l9iti lkra hna wla mazal ??,,لقيتي لكرا هنا ولا مازال ??
wlft chwiya,,ولفت شوييا
ana rir liom li mchit,,أنا رير ليوم لي مشيت
tamgrote awiili 3la ina blassa,,تامڭروت أويّلي علا إنا بلاسّا
mchiti l darkom,,مشيتي ل داركوم
s3datkom nta b3da 9rab dghiya kathrbo,,سعداتكوم نتا بعدا قراب دغييا كاتهربو
ana b3ida w kn3gaz m3a dok taxiyat,,أنا بعيدا و كنعڭاز معا دوك تاشييات
w asln 3ndi ghda sb,,و أسلن عندي غدا سب
nher ykon 3ndi sbah,,نهر يكون عندي سباه
wkha had semaine mafiha walo,,وخا هاد سماين مافيها والو
z3ma kon drto rir sbah,,زعما كون درتو رير سباه
rah dkxi li khass ykon,,راه دكشي لي خاسّ يكون
w chno rtbdaw t9wim z3ma,,و شنو رتبداو تقويم زعما
lmhm li drt ana ndiro,,لمهم لي درت أنا نديرو
hna galina lmodir had l2osbo3 kol,,هنا ڭالينا لمودير هاد لأسبوع كول
madiro fih walo,,ماديرو فيه والو
lmhm ahna ndiro lihom ghir xi tamarin wasaf,,لمهم أهنا نديرو ليهوم غير شي تامارين واساف
ms hna rah machi bhalkom,,مس هنا راه ماشي بهالكوم
kola mostawa 3ndo ostad,,كولا موستاوا عندو أُستاد
wx dkhalti lbarah,,وش دخالتي لباراه
wlmhm ans rh majay,,ولمهم أنس ره ماجاي
iwa soni 3liya,,إوا سوني علييا
wlmhm mataghber,,ولمهم ماتاغبر
samhi liya las7ab,,سامهي لييا لاسحاب
9diti lna lghard,,قديتي لنا لغارد
wnsittina alahbib,,ونسيتّينا ألاهبيب
wrah sawalt fik lahbiba,,وراه ساوالت فيك لاهبيبا
rah daz tobis,,راه داز توبيس
wa ghi aji nta db,,وا غي أجي نتا دب
wrh l9awh mayit,,وره لقاوه ماييت
iwa bnadam wla s3ib,,إوا بنادام ولا سعيب
sa3ada hiya laflous,,ساعادا هييا لافلوس
tabi3a zina bzaff,,تابيعا زينا بزافّ
mxiti safrt bx nartah,,مشيتي سافرت بش نارتاه
iwa tri9 salama,,إوا تريق سالاما
rah ghadi ntwhxak,,راه غادي نتوهشاك
ila jiti sawal,,إلا جيتي ساوال
wrah tv max3ola,,وراه تڤ ماشعولا
kon gha jiti wxof,,كون غا جيتي وشوف
rah kayn lmihrajan,,راه كاين لميهراجان
dar dkxi libgha,,دار دكشي ليبغا
iwa khlaih ydor,,إوا خلايه يدور
rah txahx lwalida dyalo,,راه تشاهش لواليدا ديالو
rah bah mxa lhaj,,راه باه مشا لهاج
rah maymkan asat,,راه مايمكان أسات
iwa kon gha mxa l'italia,,إوا كون غا مشا ل'يتاليا
xra liha dar,,شرا ليها دار
xra liha tajin,,شرا ليها تاجين
ba3 lwart dyali,,باع لوارت ديالي
xra lmo tomobile,,شرا لمو توموبيل
ba3 telefon bx txri,,باع تلفون بش تشري
rah kayn f lframacie,,راه كاين ف لفراماسي
iwa lah ykon m3kom,,إوا الله يكون معكوم
ma3andich m3a la3ya9a,,ماعانديش معا لاعياقا
kaysosok bhal tmar,,كايسوسوك بهال تمار
rjal kata3raf rjal ayih,,رجال كاتاعراف رجال أييه
stilo o war9a ra2s mali,,ستيلو أُ وارقا راءس مالي
na7tarmak n9adrak,,ناحتارماك نقادراك
ana b7al tawado3,,أنا بحال تاوادوع
7abina rjal oma3andnach walo,,حابينا رجال أُماعاندناش والو
3tinak 9ima 7sabnak zwina,,عتيناك قيما حسابناك زوينا
wttla3ti monika,,وتّلاعتي مونيكا
tfoo ga3 l3abada,,تفو ڭاع لعابادا
lagani m3a xmayta,,لاڭاني معا شمايتا
f khatar l3axran,,ف خاتار لعاشران
jit n9i lik wadnik man lawsa5 o mikrob,,جيت نقي ليك وادنيك مان لاوساخ أُ ميكروب
ila 7ayawan alif saf,,إلا حاياوان أليف ساف
hada bidon i3ada makanfara9 bin,,هادا بيدون إعادا ماكانفاراق بين
3raft rjal limakatastahal walo,,عرافت رجال ليماكاتاستاهال والو
rah xra whd lahmar,,راه شرا وهد لاهمار
ana khadama f la banqa,,أنا خاداما ف لا بانقا
yalah ghankamal 3amayn onass,,يالاه غانكامال عاماين أُناسّ
makhalaw fin dawni khdamt,,ماخالاو فين داوني خدامت
nas lhmdl 3amar chi 7ad matchaka,,ناس لهمدل عامار شي حاد ماتشاكا
wala 9alha fiya khayba,,والا قالها فييا خايبا
safi kanakhdam 3adi,,سافي كاناخدام عادي
kandir fou9 jahd ta wala,,كاندير فوق جاهد تا والا
t 3andi mouchkil m3a lmodir,,ت عاندي موشكيل معا لمودير
basbab wa7ad zabon,,باسباب واحاد زابون
3ad jat,,عاد جات
kan katamchi t9oulhalou,,كان كاتامشي تقولهالو
wakha machi lghalat diali,,واخا ماشي لغالات ديالي
kayghouwat 3liya ana,,كايغووات علييا أنا
wakha lghalat dialha,,واخا لغالات ديالها
hiya makayahdarch m3aha,,هييا ماكاياهدارش معاها
7it mrat sahbou,,حيت مرات ساهبو
ana kayghouwat 3liya,,أنا كايغووات علييا
9oudam nass mn9blha,,قودام ناسّ منقبلها
db mab9itch 9ada,,دب مابقيتش قادا
kayhadadni za3ma,,كايهادادني زاعما
y3ayat l modir kbir,,يعايات ل مودير كبير
bach ybadalni mnhna,,باش يبادالني منهنا
m3ah w lmouchkila sghira,,معاه و لموشكيلا سغيرا
3la wa7ad siyda bsita,,علا واحاد سييدا بسيتا
w wa7da dimissionat,,و واحدا ديميسّيونات
w ana db bghit namchi,,و أنا دب بغيت نامشي
n9oulih chnou kayan,,نقوليه شنو كايان
khaft mayasma3lich,,خافت ماياسماعليش
yasma3lou houwa,,ياسماعلو هووا
ydirouli chi blan,,يديرولي شي بلان
9oulouli chnou ndir,,قولولي شنو ندير
ra tlaft w mab9itch kanat7amal.,,را تلافت و مابقيتش كاناتحامال.
b9iti fiya wa79 molana .,,بقيتي فييا واحق مولانا .
d3ih lah f had l3wacher,,دعيه الله ف هاد لعواشر
ou katri m 7asbia lah wani3ma lwakil.,,و كاتري م حاسبيا الله وانيعما لواكيل.
sajli hdrto ou diriha ta7t mnek,,ساجلي هدرتو و ديريها تاحت منك
o malek khayfa,,أُ مالك خايفا
malo ach ykon ga3 f molk lah?,,مالو أش يكون ڭاع ف مولك لاه?
li ma3ndo sidou 3ndo lalah,,لي ماعندو سيدو عندو لالاه
hdri 3la 79k,,هدري علا حقك
wila masm3kkch kayn ma fo9 mnou,,ويلا ماسمعكّش كاين ما فوق منو
lah ydirlk chi tawil .,,الله يديرلك شي تاويل .
khti malak kat3abdi lkhadma,,ختي مالاك كاتعابدي لخادما
rah 3ta laah fin tkhadmi,,راه عتا لاه فين تخادمي
ila kenti 9arya,,إلا كنتي قاريا
bnadam ib9a b karamto,,بنادام إبقا ب كارامتو
ana ighawat 3liya bla sabab,,أنا إغاوات علييا بلا ساباب
nadarab m3ak,,ناداراب معاك
fima bghat tawsel tawsel,,فيما بغات تاوسل تاوسل
o laah ihdi chi naas,,أُ لاه إهدي شي ناس
kishabo rashom kifar9o rza9 3la bnadam,,كيسهابو راسهوم كيفارقو رزاق علا بنادام
nta baakalak wala hbil.,,نتا باكالاك والا هبيل.
khdam wala modrib,,خدام والا مودريب
malk aala haltak.,,مالك الا هالتاك.
lbass aalik wala hazak,,لباسّ اليك والا هازاك
fin ghadi bla bya.,,فين غادي بلا بيا.
kighadi maa lkhadma.,,كيغادي ما لخادما.
ktart lbachar kataassab,,كتارت لباشار كاتاسّاب
katro nass klilin nya.,,كاترو ناسّ كليلين نيا.
bsbar kolchi ydoz.,,بسبار كولشي يدوز.
khoya lah istrha maak.,,خويا الله إسترها ماك.
matbkach tkatar hadra maa manwala,,ماتبكاش تكاتار هادرا ما مانوالا
ngoulha lik mn daba matdesriiiiihch,,نڭولها ليك من دابا ماتدسريّيّيهش
o lmt3el9a f mn ghir rebbi ghir ti7,,أُ لمتعلقا ف من غير ربّي غير تيح
kif 9alo lkhout mli ighawt 3lik,,كيف قالو لخوت ملي إغاوت عليك
sejlih o diri bih réclamation,,سجليه أُ ديري بيه رéكلاماتيون
mat3etlohch o ghawti 3lih 7ta nti.,,ماتعتلوهش أُ غاوتي عليه حتا نتي.
ila kherrejti fih 3inik,,إلا خرّجتي فيه عينيك
ghadi irje3 lour,,غادي إرجع لور
rah ghadi ythadan.,,راه غادي يتهادان.
wati derbi lmo a7san fdiha fl3alam,,واتي دربي لمو أحسان فديها فلعالام
osiri ljed lkelb bouh l siège,,أُسيري لجد لكلب بوه ل سيèڭ
ochki bih o ila madaro m3ak walou,,أُشكي بيه أُ إلا مادارو معاك والو
7awli tsejlih ikoun 3endek dalil,,حاولي تسجليه إكون عندك داليل
telefounek dimen 7dak ofed7ih,,تلفونك ديمن حداك أُفدحيه
ayweli taleb menek hir slak .,,أيولي تالب منك هير سلاك .
fach kansme3 f7al hadchi kant3eseb,,فاش كانسمع فحال هادشي كانتعسب
choufi fla banqae,,شوفي فلا بانقا
diiimen diri wa7ed l7aja fdmaghek,,ديّيمن ديري واحد لحاجا فدماغك
kebriha tsghar,,كبريها تسغار
diri khedmtek kifma hiya oli hder,,ديري خدمتك كيفما هييا أُلي هدر
m3ak 3tih khou jwabo,,معاك عتيه خو جوابو
o9erbliha m3a bouh,,أُقربليها معا بوه
bghit tmxi lso9,,بغيت تمشي لسوق
wx bghiti tamchi ?,,وش بغيتي تامشي ?
mchiti ltma wla la!,,مشيتي لتما ولا لا!
tirant mbghit nmxi lih,,تيرانت مبغيت نمشي ليه
wgol gha bghiti tamchi,,وڭول غا بغيتي تامشي
ila mchiti ga3 3aker liya,,إلا مشيتي ڭاع عاكر لييا
wx ila mxaw ghtb9a nta,,وش إلا مشاو غتبقا نتا
bghiti tl3b lyoma,,بغيتي تلعب ليوما
wx nta la3ab lyoma,,وش نتا لاعاب ليوما
wgha kon hani mala3ab,,وغا كون هاني مالاعاب
la3b lbasal hada.,,لاعب لباسال هادا.
wx l3ba madrid lyoma ?,,وش لعبا مادريد ليوما ?
yalah jit mn eand sahbty,,يالاه جيت من إاند ساهبتي
ch7al jabty fdora lawla,,شحال جابتي فدورا لاولا
sedatak thnity,,سداتاك تهنيتي
lah i3fo elik ashbi,,الله إعفو إليك أسهبي
yalah jit mn eand tbib,,يالاه جيت من إاند تبيب
imta endak mti7an dyal lmat,,إمتا إنداك متيحان ديال لمات
