darija,eng,darija_ar
had sir binatna,,هاد سير بيناتنا
fiya lmout dyal jou3,,فييا لموت ديال جوع
tilifoun 3amar,,تيليفون عامار
man niytk kathdri,,مان نييتك كاتهدري
choufi had lpijama khytiha,,شوفي هاد لپيجاما خيتيها
b7ala chayfah man 9bal,,بحالا شايفاه مان قبال
koulchi moumkin,,كولشي مومكين
3ndak lkarch,,عنداك لكارش
katkrhini tal had darja,,كاتكرهيني تال هاد دارجا
makdabtich f hadi,,ماكدابتيش ف هادي
iwa chnou fiha nji ntghada 3andak ounarja3,,إوا شنو فيها نجي نتغادا عانداك ونارجاع
mab9itich sifti nmartak,,مابقيتيش سيفتي نمارتاك
mab9itich kat7ali,,مابقيتيش كاتحالي
3tazalt man tawasoul b lbachariya,,عتازالت مان تاواسول ب لباشارييا
ayah alyam,,أياه أليام
mab9ach fiya istahal,,مابقاش فييا إستاهال
amandra bditi lkhadma ola mazal,,أماندرا بديتي لخادما أُلا مازال
machi sou9ak fiya,,ماشي سوقاك فييا
kat3amli bnadm b7al l7achara,,كاتعاملي بنادم بحال لحاشارا
kan3tadr mra khra,,كانعتادر مرا خرا
a7san 7aja ndirha,,أحسان حاجا نديرها
nktab ou nsali,,نكتاب و نسالي
3lach tl9ti?,,علاش تلقتي?
rjli mchat,,رجلي مشات
tybi chi7aja,,تيبي شيحاجا
matb9aych wa9fa,,ماتبقايش واقفا
nti machi difa,,نتي ماشي ديفا
aji tghday m3ana,,أجي تغداي معانا
katchbhi lwahd deri,,كاتشبهي لواهد دري
3adi koulchi kayghlat,,عادي كولشي كايغلات
lmohim ikoun seraf,,لموهيم إكون سراف
zwina fwjhak nti,,زوينا فوجهاك نتي
matsn3ich gdamou,,ماتسنعيش ڭدامو
koun rajl,,كون راجل
soum3a hiya koulchi,,سومعا هييا كولشي
7awli tfhmiha,,حاولي تفهميها
khedama nhark kaml,,خداما نهارك كامل
sm3i mnou,,سمعي منو
mat7lmich 3lih,,ماتحلميش عليه
mab9itich 3a9la 3lih,,مابقيتيش عاقلا عليه
ngoul lmama tyab lik,,نڭول لماما تياب ليك
mharsa mn idiha,,مهارسا من إديها
maghadich tsam7 fih,,ماغاديش تسامح فيه
ma3rftch 7ta isoni 3liya lmoudir,,ماعرفتش حتا إسوني علييا لمودير
an9jak ila maglstich,,أنقجاك إلا ماڭلستيش
khraj man hna khoya,,خراج مان هنا خويا
trikat lmou3wa9in,,تريكات لموعواقين
man l27san idwzou,,مان لءحسان إدوزو
yalah jri m3ana,,يالاه جري معانا
had lkhadma tl3at liya frasi,,هاد لخادما تلعات لييا فراسي
ma3lich nghamrou,,ماعليش نغامرو
katshay bezaf,,كاتسهاي بزاف
takli srdin,,تاكلي سردين
chnou bgha dak lb3louk,,شنو بغا داك لبعلوك
ghir d7ki malk,,غير دحكي مالك
daba tkoun bikhir,,دابا تكون بيخير
tb3ih fin mcha,,تبعيه فين مشا
mab9ach lkhbaz,,مابقاش لخباز
lmkhbaza 9riba,,لمخبازا قريبا
ndirou tajin 7san,,نديرو تاجين حسان
ghir b9ay t7lmi,,غير بقاي تحلمي
mafiha walo aji mer7ba bik,,مافيها والو أجي مرحبا بيك
bghaw ity7ouni,,بغاو إتيحوني
s3iba 3likoum,,سعيبا عليكوم
dir 3la 9ad niytak,,دير علا قاد نييتاك
matkounich b7alhoum,,ماتكونيش بحالهوم
koula wa7d 7our frasou,,كولا واحد حور فراسو
malk kat3wji fmak,,مالك كاتعوجي فماك
madayzach liya,,مادايزاش لييا
nti skhiya bezaf,,نتي سخييا بزاف
bs7a srwal jedid,,بسحا سروال جديد
finkoum alkhout,,فينكوم ألخوت
nari katkhl3i,,ناري كاتخلعي
nbghi ghzali,,نبغي غزالي
imta ghadi tmchiw,,إمتا غادي تمشيو
anrkab ftaxi nji,,أنركاب فتاشي نجي
nas sa3a nkoun tma,,ناس ساعا نكون تما
mal hbibi malou,,مال هبيبي مالو
glo liya chnou wa9a3,,ڭلو لييا شنو واقاع
lbar7 daz zwin,,لبارح داز زوين
makatswlich fiya,,ماكاتسوليش فييا
dy3tini f7yati,,ديعتيني فحياتي
tghyar 7alk,,تغيار حالك
n3ichou flhana,,نعيشو فلهانا
ghir siri b7alk,,غير سيري بحالك
kan dima fiya iswal,,كان ديما فييا إسوال
kydourou lyam,,كيدورو ليام
ndirou l7fla,,نديرو لحفلا
lkelab mourak,,لكلاب موراك
nti man sba7 tswri,,نتي مان سباح تسوري
jbti liya doukha,,جبتي لييا دوخا
majawch m3ak,,ماجاوش معاك
df3i l9dam,,دفعي لقدام
