darija,eng,darija_ar
3awed ach gelti,,عاود أش ڭلتي
b9at fiya meskina,,بقات فييا مسكينا
gelt liha hada weldk,,ڭلت ليها هادا ولدك
achnou gelti liha 3awtani,,أشنو ڭلتي ليها عاوتاني
safi ghir dakchi li gelt liha,,سافي غير داكشي لي ڭلت ليها
hahya 9edamk sewliha,,هاهيا قدامك سوليها
ana man9st 3lik mazedt,,أنا مانقست عليك مازدت
3arfini mrida ou sadin 3liya,,عارفيني مريدا و سادين علييا
wach bghito thm9ouni?,,واش بغيتو تهمقوني?
ach nghitina ndiro lik akhti?,,أش نغيتينا نديرو ليك أختي?
rak chefti kifach khrjnak man dar,,راك شفتي كيفاش خرجناك مان دار
kibghitina n3awedo ndkhlouk heda nas,,كيبغيتينا نعاودو ندخلوك هدا ناس
safi baraka men had lhedra daba,,سافي باراكا من هاد لهدرا دابا
machi cheghlek fiya kib9it,,ماشي شغلك فييا كيبقيت
heyd yedek 3liya,,هيد يدك علييا
ntiya kouni thechmi,,نتييا كوني تهشمي
hedri bchwia,,هدري بشويا
wach bghiti tfedhina,,واش بغيتي تفدهينا
lfdiha hya li ghadi ndir lik daba,,لفديها هيا لي غادي ندير ليك دابا
tel9i meni rah dwit m3ak,,تلقي مني راه دويت معاك
chkoun ntiya alalla?,,شكون نتييا ألالّا?
rah gelt lik siri bhalek,,راه ڭلت ليك سيري بهالك
3afak asidi khelini ghir hena hedak,,عافاك أسيدي خليني غير هنا هداك
rah ma3ndich fin nemchi,,راه ماعنديش فين نمشي
trhem 3liya lah ikhlik,,ترهم علييا الله إخليك
ana rani machi men henaya,,أنا راني ماشي من هنايا
rah lil hada,,راه ليل هادا
ach kadiri f zen9a f had lwe9t,,أش كاديري ف زنقا ف هاد لوقت
z3ma raki chada he9 lah,,زعما راكي شادا هق الله
zid rje3 lour chwia 3ad blasi,,زيد رجع لور شويا عاد بلاسي
ana ghangls heda dik chejra,,أنا غانڭلس هدا ديك شجرا
safi hebtou albnat 3la slamtkoum,,سافي هبتو ألبنات علا سلامتكوم
heta tkmli lkhedma li bditi,,هتا تكملي لخدما لي بديتي
ana ankhelsk f lkher dial simana,,أنا أنخلسك ف لخر ديال سيمانا
ana fin ghadi nmchi?,,أنا فين غادي نمشي?
khti ghir khelihoum 3endk,,ختي غير خليهوم عندك
dini nbat 3endk 3afak,,ديني نبات عندك عافاك
ana ba9a makritech,,أنا باقا ماكريتش
rani ba9a jedida f lmdina,,راني باقا جديدا ف لمدينا
haki flousk akhti ou siri,,هاكي فلوسك أختي و سيري
anbat ghir f tomobil,,أنبات غير ف توموبيل
mathrjinich akhti 3afak,,ماتهرجينيش أختي عافاك
rani gelt lik man9derch,,راني ڭلت ليك مانقدرش
rani ghir berania,,راني غير برانيا
fin ghadi nmchi ya rebi,,فين غادي نمشي يا ربي
lbaraka f rask,,لباراكا ف راسك
mamcha m3ak bad asidi,,مامشا معاك باد أسيدي
malek khayfa yakma derti chi haja?,,مالك خايفا ياكما درتي شي حاجة?
madayrach chi haja khayba,,مادايراش شي حاجة خايبا
ba bgha izwejni,,با بغا إزوجني
achno bgha idir hada?,,أشنو بغا إدير هادا?
wach hwa b39lo?,,واش هوا بعقلو?
wach makaykhafech men lah,,واش ماكايخافش من الله
