darija,eng,darija_ar
ana rh tlaft,,أنا ره تلافت
mymkn tgol liya,,ميمكن تڭول لييا
gha nta xwiya ghadi,,غا نتا شوييا غادي
lmhm bn3amo daz,,لمهم بنعامو داز
whiya 3wdat l3am,,وهييا عودات لعام
iwa kon gha santi7a,,إوا كون غا سانتيحا
shof b3id,,سهوف بعيد
nta rh kyn,,نتا ره كين
dir lkhir wnsah,,دير لخير ونساه
biti tmxhi sir,,بيتي تمشهي سير
mtb9ax tsift liya,,متبقاش تسيفت لييا
wana rh mojod,,وانا ره موجود
wnta sada3tni,,ونتا ساداعتني
appel la la la,,أپّل لا لا لا
iwa doz tgheda,,إوا دوز تغدا
rh lbarah skrti,,ره لباراه سكرتي
sir xof madir,,سير شوف مادير
wb9a nta tma,,وبقا نتا تما
iwa lah yaster,,إوا الله ياستر
ha howa jay,,ها هووا جاي
kif dima la routine,,كيف ديما لا روتين
xhal dwina,,شهال دوينا
wsir hrag,,وسير هراڭ
dir kif drarii,,دير كيف دراريّ
mxiti l casablanca,,مشيتي ل كاسابلانكا
ah howa jay ftri9,,أه هووا جاي فتريق
jit l9itoo mxa,,جيت لقيتو مشا
iwa bazzzz lik,,إوا بازّزّ ليك
zwina sbh'ak mbrok,,زوينا سبه'اك مبروك
mbrok l3id,,مبروك لعيد
iwa sa7a rah khawya,,إوا ساحا راه خاويا
hakam la zone,,هاكام لا زون
wrh ana f marjane,,وره أنا ف مارجان
difola xwiya,,ديفولا شوييا
wylh tmxhi m3ana,,ويله تمشهي معانا
jarkom kayn,,جاركوم كاين
sayara dyalk nadia,,سايارا ديالك ناديا
bsahtak wrahtak,,بساهتاك وراهتاك
iwa mxiti lhamam,,إوا مشيتي لهامام
wrah l3id gheda,,وراه لعيد غدا
mbrok la3waxer,,مبروك لاعواشر
ramadan mobrak karim,,رامادان موبراك كاريم
wgol ba3333,,وڭول باعّعّ
rah marquait 3lih 3,,راه مارقوايت عليه 3
wlmhm lmatch f l9odss,,ولمهم لماتش ف لقودسّ
iwa facebook mkhdam,,إوا فاسبوك مخدام
nti ki xi film dyl lkhli3,,نتي كي شي فيلم ديل لخليع
wa xhal sa3a,,وا شهال ساعا
lmarsa 3amra,,لمارسا عامرا
wana f la côte,,وانا ف لا كôت
wsh7al bax mxiti,,وسهحال باش مشيتي
goliha rah ja,,ڭوليها راه جا
fen cv,,فن كڤ
ach bghitin ngol lik,,أش بغيتين نڭول ليك
wyh yalah sayabt teke,,ويه يالاه سايابت تك
tele kan khasar lya,,تل كان خاسار ليا
bikhir unta,,بيخير ونتا
mabeuk leid,,مابوك ليد
chnhya tani had civi,,شنهيا تاني هاد سيڤي
hhh ewa ji casa rah bardaa,,ههه إوا جي كاسا راه باردا
hhh li ban lik,,ههه لي بان ليك
haja bayna angol lik ji merhbaa,,حاجة باينا أنڭول ليك جي مرهبا
ana maknsiftch tswri,,أنا ماكنسيفتش تسوري
hakak ila 7tithum fstory osafe maknsifthumch,,هاكاك إلا حتيتهوم فستوري أُساف ماكنسيفتهومش
hanya katwqa3,,هانيا كاتوقاع
hmdlah onta cv,,همدلاه أُنتا كڤ
lah iteik saha,,الله إتيك ساها
non khdar ashbi,,نون خدار أسهبي
hta leroq endak,,هتا لروق إنداك
fhmty db,,فهمتي دب
hta ana mdwiach lik elihum,,هتا أنا مدوياش ليك إليهوم
makin walu,,ماكين والو
lah ietik saha,,الله إتيك ساها
ja zwine,,جا زوين
oui waslu,,وي واسلو
fdarna fin ankon,,فدارنا فين أنكون
hya baghi tzwaj,,هيا باغي تزواج
ana wyak,,أنا وياك
mchity safi,,مشيتي سافي
mn endak,,من إنداك
hta ndrab mzyn o ndwik sa3to lah,,هتا ندراب مزين أُ ندويك ساعتو الله
mabreuk leid,,مابروك ليد
ewa ji casa rah bardaa,,إوا جي كاسا راه باردا
li ban lik,,لي بان ليك
hakak ila 7tithum fstory osafe,,هاكاك إلا حتيتهوم فستوري أُساف
maknsifthumch,,ماكنسيفتهومش
hhh ana wyak,,ههه أنا وياك
hta ndrab mzyn o ndwiw sa3to lah,,هتا ندراب مزين أُ ندويو ساعتو الله
mdintna zwina,,مدينتنا زوينا
bladna 3amra zin,,بلادنا عامرا زين
lmhm kon bhalo asahbi,,لمهم كون بهالو أساهبي
laba9i tgol liya ana xi,,لاباقي تڭول لييا أنا شي
wdoz awa lajnan,,ودوز أوا لاجنان
iwa hmdolah atbgoissa,,إوا همدولاه أتبڭوسّا
3ino fih,,عينو فيه
wmxiti lmo9ata3a,,ومشيتي لموقاتاعا
ax drto tma ntoma,,أش درتو تما نتوما
wmojod lkhir,,وموجود لخير
bhal ila ktxofha b3inik,,بهال إلا كتشوفها بعينيك
wrajal howa liyjibha,,وراجال هووا لييجيبها
wmxiti lbar,,ومشيتي لبار
whmdollah 9ta3t kolxi,,وهمدولّاه قتاعت كولشي
wdima sport kif dima,,وديما سپورت كيف ديما
iwa kon hani,,إوا كون هاني
wdir niya akhy,,ودير نييا أخي
mol djaj wax 7al,,مول دجاج واش حال
wa wajad liya nass,,وا واجاد لييا ناسّ
nass takhl3o bzilzal,,ناسّ تاخلعو بزيلزال
ah mxit l marrakech,,أه مشيت ل مارّاكش
mlk m7aya7 lbarah,,ملك محاياح لباراه
za3ma dok lwjoh,,زاعما دوك لوجوه
doz t9ayad whayd,,دوز تقاياد وهايد
fra3ti liya rasi,,فراعتي لييا راسي
lmhm nher tkon,,لمهم نهر تكون
wtsal bhal bhalak nass,,وتسال بهال بهالاك ناسّ
wjib liya ha9i,,وجيب لييا هاقي
wjib liya raz9i,,وجيب لييا رازقي
wjib liya m3ak,,وجيب لييا معاك
wlaflous mojoda,,ولافلوس موجودا
