darija,eng,darija_ar
li makaykhafch lah khaf meno,,لي ماكايخافش الله خاف منو
hada howa nou3 li man9eblouch,,هادا هووا نوع لي مانقبلوش
m'en lowl kan 3lik tgolha,,م'ن لوول كان عليك تڭولها
machi kikhaf lah ri ysali o ysoum,,ماشي كيخاف الله ري يسالي أُ يسوم
hadak machi m3yar,,هاداك ماشي معيار
lii fido rza9 ihbso,,ليّ فيدو رزاق إهبسو
makyn ma3an,,ماكين ماعان
hachoum 3alikoum,,هاشوم عاليكوم
yak machi men lblad,,ياك ماشي من لبلاد
koulhoum mzyanin tbarklah,,كولهوم مزيانين تباركلاه
hta ykon lma39ol waji,,هتا يكون لماعقول واجي
ila kayna chi wahda bghat tkhdm mrhba,,إلا كاينا شي واهدا بغات تخدم مرهبا
mrhba ila biti fihom bjoj 35 dh,,مرهبا إلا بيتي فيهوم بجوج 35 ده
bghit whd carta tisalatt,,بغيت وهد كارتا تيسالاتّ
wch momkin trslohli,,وش مومكين ترسلوهلي
taman ghali,,تامان غالي
taman dialou rkhis,,تامان ديالو رخيس
likhwan kaynn chi tarhib,,ليخوان كاينّ شي تارهيب
momkin ntwaslo lyom,,مومكين نتواسلو ليوم
sbah nor nas zwinin,,سباه نور ناس زوينين
chkon ando fikra fin kaytba3,,شكون أندو فيكرا فين كايتباع
chhi nasiha ala had motor,,شهي ناسيها ألا هاد موتور
li dwzo y3tina ra2yo,,لي دوزو يعتينا راإيو
magtlikch jabt rab7a ch7al hadi,,ماڭتليكش جابت رابحا شحال هادي
chno diri bih rah kayn mahsn,,شنو ديري بيه راه كاين ماهسن
ana chakhsyan kankrah had naw3,,أنا شاخسيان كانكراه هاد ناوع
mknhydhomch rah hram,,مكنهيدهومش راه هرام
ana makandirch hadchi,,أنا ماكانديرش هادشي
hjbani mgadin,,هجباني مڭادين
wahd lhaja bach t3rfha,,واهد لحاجة باش تعرفها
ana kanbghi rasi,,أنا كانبغي راسي
ana zwina,,أنا زوينا
ana kanstahak nkoun frhana,,أنا كانستاهاك نكون فرهانا
ana ghankoun hsan,,أنا غانكون هسان
no machi f magherib,,نو ماشي ف ماغريب
7ena ma3ndnach,,حنا ماعندناش
fin kayna chi5dma ftilifon,,فين كاينا شيخدما فتيليفون
lach ditihom aslan khlihom,,لاش ديتيهوم أسلان خليهوم
3ndkk l7a9 kan bnin,,عندكّ لحاق كان بنين
fih wahd lmada9 yasalam,,فيه واهد لماداق ياسالام
daba kayn ghir lma wazgharit,,دابا كاين غير لما وازغاريت
koulchi maghchouch,,كولشي ماغشوش
bghit n3raf mnach had lmochkil,,بغيت نعراف مناش هاد لموشكيل
lcontor nta3 lkilomitrage khasr,,لكونتور نتاع لكيلوميتراڭ خاسر
rani 3lmtou bdik dowira,,راني علمتو بديك دوويرا
kayab9a lasa9 fablasto,,كايابقا لاساق فابلاستو
hadchi o9a3 ghi lyom,,هادشي أُقاع غي ليوم
lmotor kan 3andi mazyan,,لموتور كان عاندي مازيان
lah yarham lwalidin,,الله يارهام لواليدين
kybanli kolchi nadm 3l zwaj,,كيبانلي كولشي نادم عل زواج
iwa insan khso 9bl mytzowj ifkr,,إوا إنسان خسو قبل ميتزووج إفكر
hwa tzwaj bnt khlto ola bnt 3mto,,هوا تزواج بنت خلتو أُلا بنت عمتو
sd9 howa mkybghihach,,سدق هووا مكيبغيهاش
mli kytzowjo kayw9a3 ihmal,,ملي كيتزووجو كايوقاع إهمال
lah yhdi b3d lomahat osafi,,الله يهدي بعد لوماهات أُسافي
ana wahd mnhoum,,أنا واهد منهوم
la bl3aks jwaj zwin bzaf,,لا بلعاكس جواج زوين بزاف
ana ktar mnk,,أنا كتار منك
ach had choha drti frask,,أش هاد شوها درتي فراسك
fina howa folar,,فينا هووا فولار
safi daba zalzal mcha,,سافي دابا زالزال مشا
khti majach zwin,,ختي ماجاش زوين
la mayamkanch wliti haltk,,لا مايامكانش وليتي هالتك
katkhl3i bhad loun,,كاتخلعي بهاد لون
khaski tbdli loun,,خاسكي تبدلي لون
