darija,eng,darija_ar
3emrek jerebti diklari bih,,عمرك جربتي ديكلاري بيه
3emrek 2ekkedti 3la chi 7aja ou sde9ti 5alet,,عمرك ءكّدتي علا شي حاجا و سدقتي خالت
3emrek jerebti d5el men had lbab,,عمرك جربتي دخل من هاد لباب
3emrek jerebti t2ejjel chi maw3id mohim,,عمرك جربتي تءجّل شي ماوعيد موهيم
3emrek jerebti twedde7 lchi wa7ed,,عمرك جربتي تودّح لشي واحد
3emrek jerebti ten9el ou 7eslouk,,عمرك جربتي تنقل و حسلوك
3emrek jerebti tfeddel weldek 3la bentek,,عمرك جربتي تفدّل ولدك علا بنتك
3emrek jerebti dir had l7araka b2idek,,عمرك جربتي دير هاد لحاراكا بإدك
3emrek jerebti te9bet chi 7aja ylou7ouha lik men cherjem,,عمرك جربتي تقبت شي حاجا يلوحوها ليك من شرجم
3emrek jerebti t7owwel lmdina 5ra,,عمرك جربتي تحووّل لمدينا خرا
3emrek jerebti tefhem madwou3 b7al hada,,عمرك جربتي تفهم مادووع بحال هادا
3emrek jerebti te5dem chi 5edma mes5a b7al hadi,,عمرك جربتي تخدم شي خدما مسخا بحال هادي
3emrek jerebti t5ader men lblad,,عمرك جربتي تخادر من لبلاد
3emrek jerebti traafe9 5ouk lmedrassa,,عمرك جربتي ترافق خوك لمدراسّا
3emrek jerebti tmowwel machari3 s5ar b7al hada,,عمرك جربتي تمووّل ماشاريع سخار بحال هادا
3emrek jerebti tjib 5eddama tjme3 lik 7wayjek,,عمرك جربتي تجيب خدّاما تجمع ليك حوايجك
3emrek jerebti tse77eu wra9i diak bac,,عمرك جربتي تسحّو وراقي دياك باك
3emrek jerebti tmchi lb7er fhad sba7,,عمرك جربتي تمشي لبحر فهاد سباح
lb7er kikoun zwin ou 5awi fsba7 bekri,,لبحر كيكون زوين و خاوي فسباح بكري
3emrek jerebti tmchi lchi dar dial lyatama ou tsedde9,,عمرك جربتي تمشي لشي دار ديال لياتاما و تسدّق
3emrek jerebti tchfer chi nhar,,عمرك جربتي تشفر شي نهار
3emrek jerebti t5esser lhadra,,عمرك جربتي تخسّر لهادرا
3emrek jerebti t5sser chi tournowa,,عمرك جربتي تخسّر شي تورنووا
3emrek jerebti te3red 3la nass makat3rrfhomch yfetrou 3ndek tramdan,,عمرك جربتي تعرد علا ناسّ ماكاتعرّفهومش يفترو عندك ترامدان
3emrek jerebti t7edded chi hadaf ou ma7a9e9tihch,,عمرك جربتي تحدّد شي هاداف و ماحاققتيهش
3emrek jerebti t7el lik rassek,,عمرك جربتي تحل ليك راسّك
3emrek jerebti ncherti l7wayj ou de5ya nechfou lik,,عمرك جربتي نشرتي لحوايج و دخيا نشفو ليك
3emrek jerebti takol lmakla l5alijiya,,عمرك جربتي تاكول لماكلا لخاليجييا
3emrek jerebti tchri had new3 dial atay,,عمرك جربتي تشري هاد نوع ديال أتاي
3emrek jerebti dawwi rassek bhad l3choub,,عمرك جربتي داوّي راسّك بهاد لعشوب
3emrek jerebti tbate2 bel3ani flmchi bach t3esseb li morak,,عمرك جربتي تباتء بلعاني فلمشي باش تعسّب لي موراك
3emrek jerebti trfed chi contra ou ndemti 3liha,,عمرك جربتي ترفد شي كونترا و ندمتي عليها
3emrek jerebti tle5ess 3la sa7bek 9ehwa,,عمرك جربتي تلخسّ علا ساحبك قهوا
3emrek jerebti tseweb had lmakina dial l3assir,,عمرك جربتي تسوب هاد لماكينا ديال لعاسّير
3emrek jerebti t3elle9 chi tablo zwin fbitrk,,عمرك جربتي تعلّق شي تابلو زوين فبيترك
3emrek jerebti tzrreb chi wa7ed fla5ar dar ksida,,عمرك جربتي تزرّب شي واحد فلاخار دار كسيدا
3emrek jerebti tsbe5 lavabo,,عمرك جربتي تسبخ لاڤابو
3emrek jerebti t7eyyed mnek had l9a3ida li tawa7ed ma7amlha fik,,عمرك جربتي تحيّد منك هاد لقاعيدا لي تاواحد ماحاملها فيك
3emrek jerebti tkalmi dak lkelb,,عمرك جربتي تكالمي داك لكلب
3emrek jerebti tkoun nta howa sabab dial chi 7tijaj,,عمرك جربتي تكون نتا هووا ساباب ديال شي حتيجاج
3emrek jerebti twaazen bin 9raytek ou lbnat,,عمرك جربتي توازن بين قرايتك و لبنات
3emrek jerebti tleb men 3end chi wa7ed lmakla,,عمرك جربتي تلب من عند شي واحد لماكلا
3emrek jerebti tbbet chi 7edd ou nedmek,,عمرك جربتي تبّت شي حدّ و ندمك
3emrek jerebti t9eddem lchi we7da ou fla5ar ndemti,,عمرك جربتي تقدّم لشي وحدا و فلاخار ندمتي
3emrek jerebti t9iss l3afya,,عمرك جربتي تقيسّ لعافيا
3emrek jerebti t3awen m3a lfou9ara,,عمرك جربتي تعاون معا لفوقارا
3emrek jerebti tdffeg l7lib 3la 7wayjek,,عمرك جربتي تدفّڭ لحليب علا حوايجك
3emrek jerebti tjerr chi 7awli bhad souhoula,,عمرك جربتي تجرّ شي حاولي بهاد سوهولا
3emrek jerebti tdir chi ressma mtab9a m3a l7a9i9a,,عمرك جربتي تدير شي رسّما متابقا معا لحاقيقا
3emrek jerebti tbyyen lchi wa7ed fla5ar tchewehti,,عمرك جربتي تبيّن لشي واحد فلاخار تشوهتي
3emrek t3ejjebti mn chi 7aja b7aloka,,عمرك تعجّبتي من شي حاجا بحالوكا
3emrek jerebti terta7 flb7er ou ykoun skat,,عمرك جربتي ترتاح فلبحر و يكون سكات
3emrek jerebti dir 3eks ach kaygoulou lik walidik,,عمرك جربتي دير عكس أش كايڭولو ليك واليديك
3emrek jerebti dabez m3a wa7ed s7i7 3lik,,عمرك جربتي دابز معا واحد سحيح عليك
3emrek jerebti tndamej fchi 9issem kolo t5elwid,,عمرك جربتي تندامج فشي قيسّم كولو تخلويد
3emrek jerebti mattafa9ch m3ah,,عمرك جربتي ماتّافاقش معاه
3emrek jerebti ttasel bigh rah 5aydwi m3ak msian,,عمرك جربتي التاسل بيغ راه خايدوي معاك مسيان
3emrek jerebti tem2nou ra mat9derch bla mat7awel,,عمرك جربتي تمءنو را ماتقدرش بلا ماتحاول
3emrek jerebti tghiyyer dik l3ada li fik,,عمرك جربتي تغييّر ديك لعادا لي فيك
3emrek jerebti fekkerti chkon katbghi kter mok oula wladek,,عمرك جربتي فكّرتي شكون كاتبغي كتر موك ولا ولادك
3emrek jerebti takol chi makla morra bezzaf,,عمرك جربتي تاكول شي ماكلا مورّا بزّاف
3emrek jerebti tmtatel l9anoun fla5ar te7ti flmachakil,,عمرك جربتي تمتاتل لقانون فلاخار تحتي فلماشاكيل
3emrek jerebti t9eleb t5rej temrin b bezzaf dial toro9,,عمرك جربتي تقلب تخرج تمرين ب بزّاف ديال توروق
3emrek jerebti 3aard chi wa7ed 3endo mansib wa3er,,عمرك جربتي عارد شي واحد عندو مانسيب واعر
3emrek jerebti tchedd chi wliyed day3 ou dih 3end walidih,,عمرك جربتي تشدّ شي ولييد دايع و ديه عند واليديه
3emrek jerebti tze3lel fla5ar sde9ti tay7 3la rassek,,عمرك جربتي تزعلل فلاخار سدقتي تايح علا راسّك
3emrek jerebti t3erref 3lih ra dreyf,,عمرك جربتي تعرّف عليه را دريف
3emrek jerebti thder m3ah rah hdertou 3lowa,,عمرك جربتي تهدر معاه راه هدرتو علووا
3emrek jerebti waajeh ga3 lmachakil bo7dek,,عمرك جربتي واجه ڭاع لماشاكيل بوحدك
3emrek jerebti t5ebi 3la mratek lmachakil,,عمرك جربتي تخبي علا مراتك لماشاكيل
3emrek jerebti tmse7 l5ra dial lkelb,,عمرك جربتي تمسح لخرا ديال لكلب
3emrek jerebti doble lflouss li kat5sserhom 3la dak lmechro3,,عمرك جربتي دوبل لفلوسّ لي كاتخسّرهوم علا داك لمشروع
3emrek jerebti t5eli solde dialek wa3er,,عمرك جربتي تخلي سولد ديالك واعر
3emrek jerebti tmchi lb7er bach tmout chahid,,عمرك جربتي تمشي لبحر باش تموت شاهيد
3emrek jerebti t5ress had new3 dial lwerd fjarda dialek,,عمرك جربتي تخرسّ هاد نوع ديال لورد فجاردا ديالك
3emrek jerebti jzem bchi 7aja anaha 5atw9e3 fla5ar maw9e3ch dkchi,,عمرك جربتي جزم بشي حاجا أناها خاتوقع فلاخار ماوقعش دكشي
3emrek jerebti tekchef 3la chi sirr kbir lchi wa7ed ou fed7ek,,عمرك جربتي تكشف علا شي سيرّ كبير لشي واحد و فدحك
3emrek jerebti te3sser 7wayjek fsehd ou 5rej menhoum l3re9,,عمرك جربتي تعسّر حوايجك فسهد و خرج منهوم لعرق
3emrek jerebti trbet chi 7awli bo7dek,,عمرك جربتي تربت شي حاولي بوحدك
3emrek jerebti t2adi chi wa7ed 7it 5erti menou,,عمرك جربتي تأدي شي واحد حيت خرتي منو
3emrek jerebti tla9a chi tbib,,عمرك جربتي تلاقا شي تبيب
3emrek jerebti tleb bezzaf dial lflouss ou fla5ar nsiti treje3hom lmoulahom,,عمرك جربتي تلب بزّاف ديال لفلوسّ و فلاخار نسيتي ترجعهوم لمولاهوم
3emrek jerebti mat3oumch fhad sehd,,عمرك جربتي ماتعومش فهاد سهد
3emrek jerebti t5eddem chi wa7ed ou chefrek,,عمرك جربتي تخدّم شي واحد و شفرك
3emrek jerebti t5ebba 3la lboliss,,عمرك جربتي تخبّا علا لبوليسّ
3emrek jerebti t5dem flbar,,عمرك جربتي تخدم فلبار
3emrek jerebti t3awen m3a nass dial sourya,,عمرك جربتي تعاون معا ناسّ ديال سوريا
3emrek jerebti tsre7 fhad l5la flil,,عمرك جربتي تسرح فهاد لخلا فليل
3emrek jerebti t3ber had tri9 ou ana katjri,,عمرك جربتي تعبر هاد تريق و أنا كاتجري
3emrek jerebti tewel tri9,,عمرك جربتي تول تريق
3emrek jerebti neddem makeltek,,عمرك جربتي ندّم ماكلتك
3emrek jerebti n9ed chi wa7ed men chi 7ari9,,عمرك جربتي نقد شي واحد من شي حاريق
3emrek jerebti treffeh 3la chi 7edd mrid,,عمرك جربتي ترفّه علا شي حدّ مريد
3emrek jerebti twe99e3 ou sde9 tawa99o3 s7i7,,عمرك جربتي توقّع و سدق تاواقّوع سحيح
3emrek jerebti tf7ess chi wa7ed 3endou had lmerd,,عمرك جربتي تفحسّ شي واحد عندو هاد لمرد
3emrek jerebti tsedder had new3 dial dissir,,عمرك جربتي تسدّر هاد نوع ديال ديسّير
3emrek jerebti tdwi bhad tari9a,,عمرك جربتي تدوي بهاد تاريقا
3emrek jerebti treje3 sotek sghir,,عمرك جربتي ترجع سوتك سغير
3emrek jerebti therres chi 9fel,,عمرك جربتي تهرّس شي قفل
3emrek jerebti t3red 3la dak 5ok li m5assem m3ah,,عمرك جربتي تعرد علا داك خوك لي مخاسّم معاه
3emrek jerebti t3oum fhad sehd,,عمرك جربتي تعوم فهاد سهد
3emrek jerebti tdeffi rassek bhad atay,,عمرك جربتي تدفّي راسّك بهاد أتاي
3emrek jerebti t3etaref bchi 7aja knti m5ebiha 3la walidik men s5rek,,عمرك جربتي تعتارف بشي حاجا كنتي مخبيها علا واليديك من سخرك
3emrek jerebti tmmer 3liya bhad tari9a,,عمرك جربتي تمّر علييا بهاد تاريقا
3emrek jerebti tselle9 chi chejra 5atsde9 mherres ila te7ti men lfo9,,عمرك جربتي تسلّق شي شجرا خاتسدق مهرّس إلا تحتي من لفوق
3emrek jerebti t5ssel snanek bdentifrice dial lfa5er,,عمرك جربتي تخسّل سنانك بدنتيفريس ديال لفاخر
3emrek jerebti tentej b7al had new3 dial limoun,,عمرك جربتي تنتج بحال هاد نوع ديال ليمون
3emrek jerebti te5de3ou,,عمرك جربتي تخدعو
3emrek jerebti tbher chi 7edd ou manje7tich,,عمرك جربتي تبهر شي حدّ و مانجحتيش
3emrek jerebti teye7 weznek chwiya,,عمرك جربتي تيح وزنك شوييا
3emrek jerebti tfrek b7al had new3 dial lksawi,,عمرك جربتي تفرك بحال هاد نوع ديال لكساوي
3emrek jerebti wkkel lkelb dak lkacher,,عمرك جربتي وكّل لكلب داك لكاشر
3emrek jerebti dreb dewra fhad denya flil,,عمرك جربتي درب دورا فهاد دنيا فليل
3emrek jerebti twezze3 lmakla 3la fou9ara,,عمرك جربتي توزّع لماكلا علا فوقارا
3emrek jerebti tme3ni 3la chi wa7ed ou tle3ti lih dem,,عمرك جربتي تمعني علا شي واحد و تلعتي ليه دم
3emrek jerebti t5elles factouratek m3etel bezzaf,,عمرك جربتي تخلّس فاكتوراتك معتل بزّاف
3emrek jerebti tle3 men ljanoub lchamal dial lblad fchher wa7ed,,عمرك جربتي تلع من لجانوب لشامال ديال لبلاد فشهر واحد
3emrek jerebti dir regime,,عمرك جربتي دير رڭيم
3emrek jerebti twe99ef dkchi li kadir,,عمرك جربتي توقّف دكشي لي كادير
3emrek jerebti tchekkel chi fer9a wa3ra dial kora ou tkon nta ra2is dialha,,عمرك جربتي تشكّل شي فرقا واعرا ديال كورا و تكون نتا راإس ديالها
3emrek jerebti tz3ej drari s5ar kima kidiro lina.,,عمرك جربتي تزعج دراري سخار كيما كيديرو لينا.
3emrek jerebti tsbe9 chi jray tala5ar,,عمرك جربتي تسبق شي جراي تالاخار
3emrek jerebti t9ddem lchi wa7ed 5ayba fzwaj,,عمرك جربتي تقدّم لشي واحد خايبا فزواج
3emrek jerebti tkerres 9ima lchi wa7d makatstahelch,,عمرك جربتي تكرّس قيما لشي واحد ماكاتستاهلش
3emrek jerebti tsatfezzni ana ra mam3yach de7k,,عمرك جربتي تساتفزّني أنا را مامعياش دحك
3emrek jerebti tem2eni 3la chi 7aja khlini 3lik,,عمرك جربتي تمءني علا شي حاجا خليني عليك
3emrek jerebti t2emmel meni chi7aja herbana ana 3la 9eddi,,عمرك جربتي تءمّل مني شيحاجا هربانا أنا علا قدّي
3emrek jerebti t7edder derss ktrer men l9yass latji l9ism ou tn3ess,,عمرك جربتي تحدّر درسّ كترر من لقياسّ لاتجي لقيسم و تنعسّ
3emrek jerebti tfa3el m3a ljohor bhad tari9a,,عمرك جربتي تفاعل معا لجوهور بهاد تاريقا
3emrek jerebti tebtaker chi 7aja tnfe3 bladek,,عمرك جربتي تبتاكر شي حاجا تنفع بلادك
3emrek jerebti t7kem chi group dial ultras,,عمرك جربتي تحكم شي ڭروپ ديال ولتراس
3emrek jerebti tbedel dinek,,عمرك جربتي تبدل دينك
3emrek jerebti t3ezzi chi 7edd knti 9ate3 m3ah,,عمرك جربتي تعزّي شي حدّ كنتي قاتع معاه
3emrek jerebti tn9ess fweznek ou nje7ti,,عمرك جربتي تنقسّ فوزنك و نجحتي
3emrek jerebti dowweb dik che7ma ou takelha,,عمرك جربتي دووّب ديك شحما و تاكلها
3emrek jerebti tzdid skar bezzaf fkass wa7ed,,عمرك جربتي تزديد سكار بزّاف فكاسّ واحد
