darija,eng,darija_ar
jib liya lmotor sarbi,,جيب لييا لموتور ساربي
wjri rah 9rib ybdaw,,وجري راه قريب يبداو
rah tomobila kahla,,راه توموبيلا كاهلا
rah tomobila hamra,,راه توموبيلا هامرا
rah tomobila zar9a,,راه توموبيلا زارقا
rah tomobila bayda,,راه توموبيلا بايدا
rah tomobila griya,,راه توموبيلا ڭرييا
wdoz jib liya tomobila,,ودوز جيب لييا توموبيلا
tomobilto zwina bzaff,,توموبيلتو زوينا بزافّ
rah tomobila jdida,,راه توموبيلا جديدا
rah tomobila nadya,,راه توموبيلا ناديا
wkhalas m3ak sarbay,,وخالاس معاك سارباي
wkhalas mon lhanot,,وخالاس مون لهانوت
wkhalas lkhadar m3k,,وخالاس لخادار معك
wkhalas mol tajine,,وخالاس مول تاجين
wx xfti tajine ki ldid,,وش شفتي تاجين كي لديد
jat dik lgamila zwina,,جات ديك لڭاميلا زوينا
wjib m3ak lkhobz,,وجيب معاك لخوبز
wjib m3k lbidd,,وجيب معك لبيدّ
wjib m3ak lfarmaj,,وجيب معاك لفارماج
wjib m3k lmonada,,وجيب معك لمونادا
wxrbti monada coca,,وشربتي مونادا كوكا
wxrbti monada fanta,,وشربتي مونادا فانتا
wxrbti monada pepsi,,وشربتي مونادا پپسي
ktab whd laktab,,كتاب وهد لاكتاب
wfar9o lbzaf dyl lfosol,,وفارقو لبزاف ديل لفوسول
had lfosol maxi mwdo3 whd,,هاد لفوسول ماشي مودوع وهد
dir lwajib dylk,,دير لواجيب ديلك
l9it tari9a dyl tafkir,,لقيت تاريقا ديل تافكير
knxakro nass li hadrat,,كنشاكرو ناسّ لي هادرات
lmosta9bal howa ghywrikom,,لموستاقبال هووا غيوريكوم
9rit bzaf dyl lkotob,,قريت بزاف ديل لكوتوب
9rit bzaff dyl riwauat,,قريت بزافّ ديل ريووات
9rit bzaff dyal lma9alat,,قريت بزافّ ديال لماقالات
9rit bzaf dyal ljara2id,,قريت بزاف ديال لجاراإد
9rit xwiya dyal lma9alat.,,قريت شوييا ديال لماقالات.
kyktbo bhal nass l9dam,,كيكتبو بهال ناسّ لقدام
aghlabiya makatfham,,أغلابييا ماكاتفهام
aghlabiya kyfham,,أغلابييا كيفهام
aghlabiya saktat,,أغلابييا ساكتات
aghlabiya dwat 3la ha9ha,,أغلابييا دوات علا هاقها
aghlabiya ghaybat lbarah,,أغلابييا غايبات لباراه
aghlabiya hadro lyoma,,أغلابييا هادرو ليوما
rah ky3rfhom mn xhal hada,,راه كيعرفهوم من شهال هادا
rah saytrat 3la l9ont,,راه سايترات علا لقونت
rah ktsthaz2o biha,,راه كتستهازأ بيها
ktsthaz2o bih,,كتستهازأ بيه
ana hna bx ndafa3 3lik,,أنا هنا بش ندافاع عليك
ana hna bx ndafa3 3likom,,أنا هنا بش ندافاع عليكوم
ana hna bx na9ra,,أنا هنا بش ناقرا
ana mxit lbarah bhali,,أنا مشيت لباراه بهالي
hit dik blasa maxi dyali,,هيت ديك بلاسا ماشي ديالي
lwalid tasal biya,,لواليد تاسال بييا
lwalida taslat biya,,لواليدا تاسلات بييا
khti lbarah jat mn safer,,ختي لباراه جات من سافر
kntsanaw nata2ij,,كنتساناو ناتاإج
ktsana nata2ij,,كتسانا ناتاإج
kaytsana nata2ij,,كايتسانا ناتاإج
rah 3wd l3am,,راه عود لعام
rah s9at maskin,,راه سقات ماسكين
rah sa9tat 3wtani,,راه ساقتات عوتاني
