darija,eng,darija_ar
man lglba li 3ychtini fih,,مان لڭلبا لي عيشتيني فيه
3acht m3ak lkhayba ou zwina,,عاشت معاك لخايبا و زوينا
mli drti lflous nkrtini,,ملي درتي لفلوس نكرتيني
b7alk b7al mamak,,بحالك بحال ماماك
katchabhou fljarim,,كاتشابهو فلجاريم
tl3ti mskhout,,تلعتي مسخوت
salina man had lmesra7iya,,سالينا مان هاد لمسراحييا
koulchi tfrach,,كولشي تفراش
mab9a maytkhba mazal,,مابقا مايتخبا مازال
bghit nb9a bou7di,,بغيت نبقا بوحدي
glt lkhouya isftha liya,,ڭلت لخويا إسفتها لييا
sa3a 7ta howa tar lih lfriyakh,,ساعا حتا هووا تار ليه لفريياخ
b9a tab3 liya dik lmourahi9a,,بقا تابع لييا ديك لموراهيقا
ghadi tkhraj 3lik,,غادي تخراج عليك
f3aylha dyal l3afarit,,فعايلها ديال لعافاريت
lah ihdik 3la ta3a,,الله إهديك علا تاعا
chouf lik chi bnt nas,,شوف ليك شي بنت ناس
tzwaj biha dir 3aila,,تزواج بيها دير عايلا
ou tfra9 3la chmayt,,و تفراق علا شمايت
ghir kayd7kou 3lik,,غير كايدحكو عليك
ou taychfrouk,,و تايشفروك
chnou howa jwabk daba,,شنو هووا جوابك دابا
7aliyan merta7a bou7di,,حالييان مرتاحا بوحدي
makayn li ibrztni had lyamat,,ماكاين لي إبرزتني هاد ليامات
chdatni wa7d dersa,,شداتني واحد درسا
man3awdch lik,,مانعاودش ليك
bant khalti tkhtbat,,بانت خالتي تختبات
3ndak tgoulha lsa7bha l9dim,,عنداك تڭولها لساحبها لقديم
yak tfar9at ma3ah ou 3lach nkhbiw,,ياك تفارقات ماعاه و علاش نخبيو
khaft la ikhsar liha koulchi,,خافت لا إخسار ليها كولشي
ou di3 lkhouya li derna,,و ديع لخويا لي درنا
lya drtou hadechi ?,,ليا درتو هادشي ?
taf9na ana wyaha mli makontich,,تافقنا أنا وياها ملي ماكونتيش
ou 3lach matsnitounich 7ta nji ou nchark,,و علاش ماتسنيتونيش حتا نجي و نشارك
safi baraka man lhadra ou sm3ni,,سافي باراكا مان لهادرا و سمعني
ou nrad ayi 7aja tgal lik,,و نراد أيي حاجا تڭال ليك
wakha ikoun khatar 3la 7yatk,,واخا إكون خاتار علا حياتك
tkhatr 3la wdi ana,,تخاتر علا ودي أنا
ana li ghandam lik,,أنا لي غاندام ليك
makyhamch wax nta mo3a9,,ماكيهامش واش نتا موعاق
li kayham bli ana bghitk man 9lbi,,لي كايهام بلي أنا بغيتك مان قلبي
9bal 3ini tchoufak,,قبال عيني تشوفاك
ti9 fiya mabghit la flous la walou,,تيق فييا مابغيت لا فلوس لا والو
bghitk nta tkoun rajli,,بغيتك نتا تكون راجلي
ou babat wladi li ghadi ijiw ldnya,,و بابات ولادي لي غادي إجيو لدنيا
kan7ma9 3lik zin dyali,,كانحماق عليك زين ديالي
lah idwmha m7ba binatkoum,,الله إدومها محبا بيناتكوم
bdouriya sali7a incha2alah,,بدورييا ساليحا إنشاألاه
ngoulou amin,,نڭولو أمين
yalah tbla moujouda,,يالاه تبلا موجودا
kanchofha khawya,,كانشوفها خاويا
hada howa zhrak,,هادا هووا زهراك
ma3ndak matbdli,,ماعنداك ماتبدلي
chaft lmout f3inik,,شافت لموت فعينيك
ghadi nhdar,,غادي نهدار
3la wa7d linsana,,علا واحد لينسانا
wakha nb9a nchkar fiha,,واخا نبقا نشكار فيها
ou nkhdam 3la wdha,,و نخدام علا ودها
maghanwsal lhta chwiya,,ماغانوسال لهتا شوييا
man dakchi li 3tat liya,,مان داكشي لي عتات لييا
hzatni ts3 chhour fkrchha,,هزاتني تسع شهور فكرشها
wldatni ou kbratni ou 3lmatni,,ولداتني و كبراتني و علماتني
nsbar nkaf7 n3ti li 3ndi,,نسبار نكافح نعتي لي عندي
n3awn li mab7alouch,,نعاون لي مابحالوش
ch7al man mera 9l9tha,,شحال مان مرا قلقتها
ou ghwtat drbatni,,و غوتات درباتني
nstahl ktar,,نستاهل كتار
sm7ili yemma,,سمحيلي يمّا
man koul 9lbi,,مان كول قلبي
n3tik 3iniya tchoufi,,نعتيك عينييا تشوفي
ch7al ana kanbghik,,شحال أنا كانبغيك
ou bli nti hiya,,و بلي نتي هييا
chm3a li mdwya 7yati,,شمعا لي مدويا حياتي
man9darch n3ich bla bik,,مانقدارش نعيش بلا بيك
kanban man bra barda,,كانبان مان برا باردا
oulakin man ldakhal,,ولاكين مان لداخال
tfla sghira 7nina bari2a,,تفلا سغيرا حنينا باريأ
ma39altch 3la toufoula dyali,,ماعقالتش علا توفولا ديالي
wach l3abt,,واش لعابت
wach ta7t tjra7t,,واش تاحت تجراحت
ou nti dawi liya jrou7i,,و نتي داوي لييا جروحي
baba l3ziz,,بابا لعزيز
sanad dyali,,ساناد ديالي
a7san 2ab fl3alam,,أحسان أب فلعالام
lah ikhalik liya,,الله إخاليك لييا
witwal f3mrak,,ويتوال فعمراك
kantmna i3ytou liya,,كانتمنا إعيتو لييا
malin lkhdma,,مالين لخدما
n3awnk wakha ghir chwiya,,نعاونك واخا غير شوييا
wakha man9darch,,واخا مانقدارش
dkchi li drti liya,,دكشي لي درتي لييا
kbrtini 9ritini jbti liya mankoul,,كبرتيني قريتيني جبتي لييا مانكول
sma7 li ila ghlat f79ak,,سماح لي إلا غلات فحقاك
wakha nb9a nchkar fik,,واخا نبقا نشكار فيك
lil ou nhar kntmna,,ليل و نهار كنتمنا
iwslak 7oubi lik,,إوسلاك حوبي ليك
lah itwal f3mrkoum,,الله إتوال فعمركوم
ou i3tikoum sa7a ou ayi haja tmnawha,,و إعتيكوم ساحا و أيي حاجة تمناوها
kanbghikoum walidiya,,كانبغيكوم واليدييا
kanftakhar bikoum,,كانفتاخار بيكوم
khouti 7yati,,خوتي حياتي
fr7na bkina m3a b3dna,,فرحنا بكينا معا بعدنا
l3bna tkhasmna tsal7na,,لعبنا تخاسمنا تسالحنا
kantmna tnj7ou f7yatkoum,,كانتمنا تنجحو فحياتكوم
li 9rab mnkoum goloulih,,لي قراب منكوم ڭولوليه
ha khtkoum sghira daf3 3likoum,,ها ختكوم سغيرا دافع عليكوم
kand7ak yakou,,كاندحاك ياكو
ma3lich 2zma ou ghadi tfout tan7bkoum ana,,ماعليش ءزما و غادي تفوت تانحبكوم أنا
l7oulm dyali ndor l3alam,,لحولم ديالي ندور لعالام
ou ntzwaj bchi korae,,و نتزواج بشي كورا
nbdlou soulala,,نبدلو سولالا
nab9aw 7na ghir flmghrib,,نابقاو حنا غير فلمغريب
khliwna nkhrjou 3la bra,,خليونا نخرجو علا برا
mabaghach isali hada,,ماباغاش إسالي هادا
srbiw rah t3tlna,,سربيو راه تعتلنا
n7tou nihaya lhad l9isa,,نحتو نيهايا لهاد لقيسا
kount kant3rad ltanamour,,كونت كانتعراد لتانامور
mli kount sghira ma3arfa walou,,ملي كونت سغيرا ماعارفا والو
kaytjm3ou 3liya derari ou kaydrbouni,,كايتجمعو علييا دراري و كايدربوني
3lach ana bdabt,,علاش أنا بدابت
chouf chi khdama khra,,شوف شي خداما خرا
mamktoubach fwajhi,,مامكتوباش فواجهي
baghat takoul,,باغات تاكول
kayna gha lm39ouda,,كاينا غا لمعقودا
ndirouh chlada dyal maticha,,نديروه شلادا ديال ماتيشا
chnou kay3jbak fdakchi,,شنو كايعجباك فداكشي
khsna ndirou ri7la,,خسنا نديرو ريحلا
fin blasa bghitou,,فين بلاسا بغيتو
ana b3da bghit lb7ar,,أنا بعدا بغيت لبحار
z3ma chi medina b7al rbat,,زعما شي مدينا بحال ربات
rah ghalya lma3icha tma,,راه غاليا لماعيشا تما
nab9aw ghir swlna,,نابقاو غير سولنا
yalah tmchiw man ghda,,يالاه تمشيو مان غدا
jm3ou 7wayjkoum,,جمعو حوايجكوم
koulchi 3la 7sab charika,,كولشي علا حساب شاريكا
ghadi imchi m3ana lmoudir,,غادي إمشي معانا لمودير
ah ghadi imchli,,أه غادي إمشلي
aslan howa mol lfikra,,أسلان هووا مول لفيكرا
dart li3ndi lmskhota ou ghmzat liya,,دارت ليعندي لمسخوتا و غمزات لييا
ach kay3ni a3lam jay 3la 9bli,,أش كايعني أعلام جاي علا قبلي
2trou fik l2flam,,ءترو فيك لءفلام
bsa7 jay 3la 9blak,,بساح جاي علا قبلاك
ghadi itlab mnk zwaj,,غادي إتلاب منك زواج
uwa kntmna,,ووا كنتمنا
ikoun khir inchallah,,إكون خير إنشالّاه
nrdou ltri9 lmousta9im,,نردو لتريق لموستاقيم
