darija,eng,darija_ar
ched hadi,,شد هادي
knhs brasi frhan,,كنهس براسي فرهان
kn3rf wahd syed,,كنعرف واهد سيد
hada lkhata2 dyali,,هادا لخاتاء ديالي
ghdai nchrah lihom kolchi,,غداي نشراه ليهوم كولشي
khask trini,,خاسك تريني
chkon l9abl hna?,,شكون لقابل هنا?
khask thamal lms2olya,,خاسك تهامال لمسأليا
maghadi fin had sa3a,,ماغادي فين هاد ساعا
fthti liya chahiya,,فتهتي لييا شاهييا
riha zwina hadi,,ريها زوينا هادي
zid l3trya,,زيد لعتريا
lbs mzyan,,لبس مزيان
bghit nmchi ljbal,,بغيت نمشي لجبال
kayn chi auberj tama?,,كاين شي وبرج تاما?
bchhal nhar?,,بشهال نهار?
had dwa ghali,,هاد دوا غالي
maghadich tl9ah hna,,ماغاديش تلقاه هنا
khask tbdal lblasa,,خاسك تبدال لبلاسا
thawal mn tama chhal hada,,تهاوال من تاما شهال هادا
3lach mcha tama?,,علاش مشا تاما?
knkteb wah l9isa,,كنكتب واه لقيسا
khas nhafdo 3la lbi2a,,خاس نهافدو علا لبيأ
matrmich zbel hna,,ماترميش زبل هنا
khali blastk n9ya,,خالي بلاستك نقيا
mafihch droj,,مافيهش دروج
wach rja3ti?,,واش رجاعتي?
3ziz 3liya l3asri,,عزيز علييا لعاسري
3ziz 3lkya ta9lidi,,عزيز علكيا تاقليدي
lblasa fin katskn,,لبلاسا فين كاتسكن
wa8ila khasni nmchi,,واهيلا خاسني نمشي
9tarh 3liya chi haja?,,قتاره علييا شي حاجة?
had lbit skhon,,هاد لبيت سخون
fin kayn doch?,,فين كاين دوش?
matkrfas rask,,ماتكرفاس راسك
bla matbrzt rask,,بلا ماتبرزت راسك
mathderch m3aya daba,,ماتهدرش معايا دابا
chkon tal3 l3a droj,,شكون تالع لعا دروج
maknt kantkhayal hadchi ghadi yw9a3,,ماكنت كانتخايال هادشي غادي يوقاع
kaths blghira,,كاتهس بلغيرا
fin baghi tmchi?,,فين باغي تمشي?
momkin nakhd sdak dyalk?,,مومكين ناخد سداك ديالك?
hawal m3a trik?,,هاوال معا تريك?
wach baghi daba?,,واش باغي دابا?
nkamlo?,,نكاملو?
chokran 3la lmjhod dyalk,,شوكران علا لمجهود ديالك
khasna n9olo lmkhatir,,خاسنا نقولو لمخاتير
jma3 liya lhsab,,جماع لييا لهساب
chhal 3ndi ftotal?,,شهال عندي فتوتال?
yalah nchrbo chi haja,,يالاه نشربو شي حاجة
kan frhan bzaf,,كان فرهان بزاف
achno lholm dyalk?,,أشنو لهولم ديالك?
ach baghi tkon flmosta9bl?,,أش باغي تكون فلموستاقبل?
twahacht had lblasa,,تواهاشت هاد لبلاسا
twahcht tajin,,تواهشت تاجين
wash 3ndk facebook?,,واسه عندك فاسبوك?
wach 3ndk whatsap?,,واش عندك وهاتساپ?
3ndak chi wlad?,,عنداك شي ولاد?
maymkn tghayer,,مايمكن تغاير
wash 3ndk experience?,,واسه عندك إشپرينس?
saraha mafhamtch mz1,,ساراها مافهامتش مز1
fach ntla9aw n9olik,,فاش نتلاقاو نقوليك
bla matfakrni,,بلا ماتفاكرني
wach mt2akad nafs tomobil?,,واش متأكاد نافس توموبيل?
mab9it 9ader nthamal,,مابقيت قادر نتهامال
ghadi nchi lbanka,,غادي نشي لبانكا
wash lbanka katkon fatha lyoma?,,واسه لبانكا كاتكون فاتها ليوما?
maradich 3la hadchi,,ماراديش علا هادشي
hadi hiya lwasiya dyali,,هادي هييا لواسييا ديالي
khasdk tchhed m3ana,,خاسدك تشهد معانا
hadchi sahl bzaf,,هادشي ساهل بزاف
hadchi s3ib bzaf,,هادشي سعيب بزاف
mzyan n3rfo hadchi,,مزيان نعرفو هادشي
fker mzyan wxrad 3liya,,فكر مزيان وشراد علييا
chhal dyal lmassarif,,شهال ديال لماسّاريف
kna mzawjin,,كنا مزاوجين
knhs blwahda,,كنهس بلواهدا
tasl btbib dyali,,تاسل بتبيب ديالي
mat lyoma,,مات ليوما
3ad fa9t,,عاد فاقت
anmchi lassal,,أنمشي لاسّال
knt kantsnak mn sbah,,كنت كانتسناك من سباه
3ndk ladrisa?,,عندك لادريسا?
ti9 biya,,تيق بييا
ach had lblasa?,,أش هاد لبلاسا?
khask tkon sarih,,خاسك تكون ساريه
anbda mn jdid,,أنبدا من جديد
khdam fwah resto,,خدام فواه رستو
khasak lflous,,خاساك لفلوس
kanwa3dk,,كانواعدك
tasl bina,,تاسل بينا
tasl bina ila htajti chi m3loma,,تاسل بينا إلا هتاجتي شي معلوما
ykon khir,,يكون خير
momkin tfakarni ghda,,مومكين تفاكارني غدا
hawal tkhayel,,هاوال تخايل
momkin tfaraj fih mara okhra,,مومكين تفاراج فيه مارا أُخرا
matksirech bzaf,,ماتكسيرش بزاف
t9al chwiya,,تقال شوييا
zid chwiya fsor3a,,زيد شوييا فسورعا
fin ja lhla9?,,فين جا لهلاق?
bghit chi haja tkon jdida,,بغيت شي حاجة تكون جديدا
3lach matasl bih?,,علاش ماتاسل بيه?
hawal tlbs chi haja zwina,,هاوال تلبس شي حاجة زوينا
hez m3ak lbzttam,,هز معاك لبزتّام
bghit nsift chi flous,,بغيت نسيفت شي فلوس
katab sghir fl3omr,,كاتاب سغير فلعومر
katban kbir fl3omr,,كاتبان كبير فلعومر
matgolch liya ach ndir,,ماتڭولش لييا أش ندير
anrhal lblasa okhra,,أنرهال لبلاسا أُخرا
malk mtradad?,,مالك متراداد?
tsnani hani jay,,تسناني هاني جاي
mazal mal9ina walo,,مازال مالقينا والو
wach mt2akad?,,واش متأكاد?
hadchi li mabghit yw9a3,,هادشي لي مابغيت يوقاع
hawal t9alab,,هاوال تقالاب
hadchi manti9i,,هادشي مانتيقي
machi manti9i,,ماشي مانتيقي
9ol liya lha9i9a,,قول لييا لهاقيقا
thra9,,تهراق
matkhalih ythra9 bzaf,,ماتخاليه يتهراق بزاف
khalih fo9 lboya,,خاليه فوق لبويا
hato ftalaja ybred,,هاتو فتالاجا يبرد
ftah lbab ydkhal lhwa,,فتاه لباب يدخال لهوا
matghamr bkolchi,,ماتغامر بكولشي
mat3rad rask lkhatar,,ماتعراد راسك لخاتار
tsanat liya,,تسانات لييا
mnin jiti nta?,,منين جيتي نتا?
khbi hadi 3ndk,,خبي هادي عندك
kan9tarh nmcho lcinema,,كانقتاره نمشو لسينما
chi haja wa93a,,شي حاجة واقعا
achno hadchi?,,أشنو هادشي?
mathawal dirha,,ماتهاوال ديرها
ma3ndach lw9t,,ماعنداش لوقت
rah ghir katkhrba9,,راه غير كاتخرباق
la hadchi bzaf,,لا هادشي بزاف
matfot lhodod,,ماتفوت لهودود
htarmni nhtarmk,,هتارمني نهتارمك
hayed mn tri9,,هايد من تريق
chkon kayda9 lbab?,,شكون كايداق لباب?
ghayer litijah,,غاير ليتيجاه
hadchi machi sodfa,,هادشي ماشي سودفا
tba3 m3aya,,تباع معايا
hawal tntabh m3aya,,هاوال تنتابه معايا
tla9ina lbarh,,تلاقينا لباره
antla9aw ghda,,أنتلاقاو غدا
jib lma mn lkozina,,جيب لما من لكوزينا
hani jay mn wrak,,هاني جاي من وراك
f9dt saytara,,فقدت سايتارا
kathlam bzaf,,كاتهلام بزاف
kon wa9i3i chwiya,,كون واقيعي شوييا
matb9ach tkhmam,,ماتبقاش تخمام
sift liya lflous dyali,,سيفت لييا لفلوس ديالي
achno lmochkila li 3ndk?,,أشنو لموشكيلا لي عندك?
ghadi nsahb,,غادي نساهب
matstslm,,ماتستسلم
matb9ach tkdeb 3la rask,,ماتبقاش تكدب علا راسك
rad lbal lrask,,راد لبال لراسك
ghsal lhwayj,,غسال لحوايج
achno hiya lomniya dyalk,,أشنو هييا لومنييا ديالك
h9a9at lhadaf dyali,,هقاقات لهاداف ديالي
achno lhadaf dyalk flhayat?,,أشنو لهاداف ديالك فلهايات?
malk makatsanat?,,مالك ماكاتسانات?
3ndi match lyoma,,عندي ماتش ليوما
m3a mn la3bin?,,معا من لاعبين?
zid lfakhr chwiya,,زيد لفاخر شوييا
ch3al nar,,شعال نار
hawal tchwi lham mzyan,,هاوال تشوي لهام مزيان
jma3 lhtab,,جماع لهتاب
ghadi nbni wahd dar,,غادي نبني واهد دار
bghit nkri chi partma,,بغيت نكري شي پارتما
makan 3ndi khyar,,ماكان عندي خيار
3ndk zher,,عندك زهر
hadchi ghir icha3a,,هادشي غير إشاعا
nsahni bchi haja,,نساهني بشي حاجة
3tini chi nasiha,,عتيني شي ناسيها
ma3mri chft hadchi,,ماعمري شفت هادشي
3tini chi tafsir,,عتيني شي تافسير
hadi ghir ostora,,هادي غير أُستورا
9rbna nwaslo,,قربنا نواسلو
had lblasa m2amna,,هاد لبلاسا مأمنا
hadchi fo9 ta9ti,,هادشي فوق تاقتي
tharak mzyan,,تهاراك مزيان
fin mharak?,,فين مهاراك?
ba9i hay,,باقي هاي
khasna nghlbohm,,خاسنا نغلبوهم
kser hadi,,كسر هادي
matwa9t hadchi,,ماتواقت هادشي
maghadich yw9a3 hadchi mra okhra,,ماغاديش يوقاع هادشي مرا أُخرا
anhtajk,,أنهتاجك
chhal fsa3aa?,,شهال فساعا?
chhal dyal lwa9t khasak?,,شهال ديال لواقت خاساك?
imta tsali liya lkhdma?,,إمتا تسالي لييا لخدما?
hani jay ftri9,,هاني جاي فتريق
hahna jayin ftri9,,هاهنا جايين فتريق
ylah nbdaw daba,,يلاه نبداو دابا
lmakina khdama,,لماكينا خداما
lmakina khsrat,,لماكينا خسرات
makhdamach,,ماخداماش
hani flapisin,,هاني فلاپيسين
kn3om flbher,,كنعوم فلبهر
momkin ndkhal?,,مومكين ندخال?
momkin nkhraj?,,مومكين نخراج?
hna fin kanskn,,هنا فين كانسكن
dbr rask,,دبر راسك
mazal machba3t,,مازال ماشباعت
3ndak thar9k,,عنداك تهارقك
charaf liya,,شاراف لييا
tcharaft bma3riftk,,تشارافت بماعريفتك
momkin nt3araf 3lik?,,مومكين نتعاراف عليك?
thala fiha,,تهالا فيها
katbi3 riha?,,كاتبيع ريها?
bchhal riha?,,بشهال ريها?
hayed mn hna,,هايد من هنا
blati chwiya,,بلاتي شوييا
kan9lb 3la khdma,,كانقلب علا خدما
ach kadir hna?,,أش كادير هنا?
dir chi haja tnaf3k,,دير شي حاجة تنافعك
matb9ach dye3 lw9t dyalk,,ماتبقاش ديع لوقت ديالك
makantlabch bzaf,,ماكانتلابش بزاف
bghit chwiya fyal tfah,,بغيت شوييا فيال تفاه
3tini chwiya dyal lmalha,,عتيني شوييا ديال لمالها
ach kayjik hada?,,أش كايجيك هادا?
hada nsibi,,هادا نسيبي
wach hadi mratk?,,واش هادي مراتك?
ba9i mamzawaj,,باقي مامزاواج
gls flkrsi,,ڭلس فلكرسي
gol liya ach w9a3,,ڭول لييا أش وقاع
maw93 walo,,ماوقع والو
malo m9ala9?,,مالو مقالاق?
kayban mrid,,كايبان مريد
khaso ymchi ltbib,,خاسو يمشي لتبيب
3ta9ni,,عتاقني
wach ylah bda lfil?,,واش يلاه بدا لفيل?
achman takhasos dayer?,,أشمان تاخاسوس داير?
wach nta b3id 3la dar?,,واش نتا بعيد علا دار?
ji tfter m3aya,,جي تفتر معايا
hadchi hall,,هادشي هالّ
hadchi hram,,هادشي هرام
wach hadchi hall?,,واش هادشي هالّ?
wach hadchi hram?,,واش هادشي هرام?
3tini chi mital,,عتيني شي ميتال
blati n3tik chi mital,,بلاتي نعتيك شي ميتال
momkin tchrah aktar?,,مومكين تشراه أكتار?
tsanat liya mzyan ach ghadi n9olik,,تسانات لييا مزيان أش غادي نقوليك
hadchi mkarafas,,هادشي مكارافاس
bghit chi haja moriha,,بغيت شي حاجة موريها
jib liya hlib blwiza,,جيب لييا هليب بلويزا
tla9 liya lwifi,,تلاق لييا لويفي
3tini lcode dyalk,,عتيني لكود ديالك
dakhal lm3lomat chakhsiya,,داخال لمعلومات شاخسييا
khasna n9ado chi haja,,خاسنا نقادو شي حاجة
ach ghadi dir bhadchi?,,أش غادي دير بهادشي?
ahsan haja hiya raht lbal,,أهسان حاجة هييا راهت لبال
3inya kayghamdo,,عينيا كايغامدو
3inya kaydam3o,,عينيا كايدامعو
3ndk t9tira?,,عندك تقتيرا?
dakchi kan3arfo,,داكشي كانعارفو
mskhsakh lyoma,,مسخساخ ليوما
n9der n9olik,,نقدر نقوليك
kandan hadchi shih,,كاندان هادشي سهيه
had domin 3yan,,هاد دومين عيان
khasak tbdal lkhdma,,خاساك تبدال لخدما
achno katsna3?,,أشنو كاتسناع?
achno kat9ad?,,أشنو كاتقاد?
kn9ad wahd lo3ba,,كنقاد واهد لوعبا
achno jabti?,,أشنو جابتي?
hadch fih ghir sda3,,هادش فيه غير سداع
kat3raf chi gichi 9riba?,,كاتعراف شي ڭيشي قريبا?
bghit ntiri chi flous,,بغيت نتيري شي فلوس
lyom kaykon so9 hna,,ليوم كايكون سوق هنا
lkhodra ghalya lyoma,,لخودرا غاليا ليوما
fin momkin nchri disir?,,فين مومكين نشري ديسير?
bghit ndfa3 cv dyali,,بغيت ندفاع كڤ ديالي
mchit lbzaf dyal lblays,,مشيت لبزاف ديال لبلايس
bghit nkhdam fchi charika,,بغيت نخدام فشي شاريكا
had charika mzyana,,هاد شاريكا مزيانا
mati9 fihom,,ماتيق فيهوم
hdi rask m3ahom,,هدي راسك معاهوم
bghiti tchri?,,بغيتي تشري?
bghiti tbi3?,,بغيتي تبيع?
khasni chi sl3a,,خاسني شي سلعا
bghit nt9da chi sl3a,,بغيت نتقدا شي سلعا
bghit nstatmer,,بغيت نستاتمر
kayna chi atay,,كاينا شي أتاي
sir 9ad liya chwiyat l9ahwa,,سير قاد لييا شوييات لقاهوا
3ndk lhamd?,,عندك لهامد?
fiya dokha,,فييا دوخا
kanhs blberd,,كانهس بلبرد
kanhas bsahd,,كانهاس بساهد
droka nji 3ndk,,دروكا نجي عندك
mdabzin,,مدابزين
hadchi momil,,هادشي موميل
blati nfasal lik,,بلاتي نفاسال ليك
bghit nkhayat had jlaba,,بغيت نخايات هاد جلابا
fin kayn lkhayat,,فين كاين لخايات
3ndk chi tahlil?,,عندك شي تاهليل?
3ndk chi dalil?,,عندك شي داليل?
