darija,eng,darija_ar
nsab 3la ra2is,,نساب علا راإس
nsab 3la nas,,نساب علا ناس
nsab 3la 3oram,,نساب علا عورام
3oram ta3 dyor,,عورام تاع ديور
3oram ta3 lhwayj,,عورام تاع لحوايج
3oram ta3 x4al,,عورام تاع ش4ال
3andi maydar,,عاندي مايدار
3andi dar,,عاندي دار
3andi firma,,عاندي فيرما
3andi tomobil,,عاندي توموبيل
3andi nti,,عاندي نتي
3andi 5dma wa3ra,,عاندي خدما واعرا
3andi pc,,عاندي پك
3andi fri4o,,عاندي فري4و
3andi lwra9,,عاندي لوراق
3andi rendivo,,عاندي رنديڤو
hlab lb4rat,,هلاب لب4رات
4ani liya,,4اني لييا
sma3ti o4niti,,سماعتي أُ4نيتي
4ol xi o4nia,,4ول شي أُ4نيا
4alik sah,,4اليك ساه
4alik lha9i9a,,4اليك لهاقيقا
4alik sokti,,4اليك سوكتي
ax 4al,,أش 4ال
ax 4alti,,أش 4التي
ax 4alo lik,,أش 4الو ليك
4al lik sir,,4ال ليك سير
4al likxrob,,4ال ليكشروب
4alik kol,,4اليك كول
t9ada sal3a,,تقادا سالعا
jib sokar,,جيب سوكار
jib jafil,,جيب جافيل
jib lmalha,,جيب لمالها
jib zikas,,جيب زيكاس
jib sanikarwa,,جيب سانيكاروا
jib l9ozbar,,جيب لقوزبار
jib ma3dnos,,جيب ماعدنوس
jib l9arfa,,جيب لقارفا
jib 3asiri,,جيب عاسيري
jib danon,,جيب دانون
jib l5obz,,جيب لخوبز
jib lma3dnos,,جيب لماعدنوس
jib dla3,,جيب دلاع
jib disir,,جيب ديسير
jib l5odra,,جيب لخودرا
jib bimbo,,جيب بيمبو
jib lbasla,,جيب لباسلا
jib safa,,جيب سافا
jib l3nab,,جيب لعناب
jib l5o5,,جيب لخوخ
odik sa3a yban,,أُديك ساعا يبان
lblan hadi,,لبلان هادي
ana bghit nxriw,,أنا بغيت نشريو
3la 9ad jibna,,علا قاد جيبنا
lax tadayo3,,لاش تادايوع
mhm ghi ywslo 3la 5ir,,مهم غي يوسلو علا خير
z3ma ana wyk,,زعما أنا ويك
ghi lhlof 3la 5oh,,غي لهلوف علا خوه
bxhal,,بشهال
tal3o 3lik,,تالعو عليك
lholi dyalna,,لهولي ديالنا
hna sghiwr,,هنا سغيور
rani gatlik,,راني ڭاتليك
fkrini,,فكريني
ach njib,,أش نجيب
ax naklo,,أش ناكلو
ax nxrob,,أش نشروب
ax nsayar,,أش نسايار
ax nsma3,,أش نسماع
ax n4ol,,أش ن4ول
ax lbas,,أش لباس
ax n3tik,,أش نعتيك
li kan,,لي كان
lah yj3l lbaraka,,الله يجعل لباراكا
jib dok trikowat,,جيب دوك تريكووات
li xriti,,لي شريتي
li kriti,,لي كريتي
li ba3ti,,لي باعتي
