darija,eng,darija_ar
bnadam tma zrag,,بنادام تما زراڭ
aji choufna chi match,,أجي شوفنا شي ماتش
wmkrht lik nl3bo xi match,,ومكرهت ليك نلعبو شي ماتش
3lach ach 3ndak.,,علاش أش عنداك.
wlh ila dazt top,,وله إلا دازت توپ
fax fakartini b3da,,فاش فاكارتيني بعدا
ah ana gha 9bal matji 3lmni,,أه أنا غا قبال ماتجي علمني
bax nwasi bnadam,,باش نواسي بنادام
idir bahsabk bax matji,,إدير باهسابك باش ماتجي
o matam9ah fhamtini,,أُ ماتامقاه فهامتيني
ana nswl lik bachhal,,أنا نسول ليك باشهال
ongolik ax kayan bro safi,,أُنڭوليك أش كايان برو سافي
safi fax namchi,,سافي فاش نامشي
nswl lik 3l prix,,نسول ليك عل پريش
3la molana thala li frask bro,,علا مولانا تهالا لي فراسك برو
nhar kbir hada fax chafnak,,نهار كبير هادا فاش شافناك
haka l9ito ma3rt,,هاكا لقيتو ماعرت
lah ibarqk fik bro,,الله إبارقك فيك برو
wlh ila cv hmd lah had sa3a,,وله إلا كڤ همد الله هاد ساعا
walo bro gha dar thala frask,,والو برو غا دار تهالا فراسك
salam ca va kolchi mz1,,سالام كا ڤا كولشي مز1
wslti tiran,,وسلتي تيران
afin a walid ca va kolchi mzyan,,أفين أ واليد كا ڤا كولشي مزيان
sonit 3lik 9bila,,سونيت عليك قبيلا
bghit nswlk 3la lwra9 dyal limtihan,,بغيت نسولك علا لوراق ديال ليمتيهان
safi rah jawbni mo3ad,,سافي راه جاوبني موعاد
mrc,,مرك
salam si walid ca va kolchi mzyan,,سالام سي واليد كا ڤا كولشي مزيان
kidayr m3a chi brd,,كيداير معا شي برد
hiya casa ncha3lah wla,,هييا كاسا نشاعلاه ولا
salam si walid ca va lhmdolilah,,سالام سي واليد كا ڤا لهمدوليلاه
kidayr nta labas 3lik,,كيداير نتا لاباس عليك
rtahiti chwiya,,رتاهيتي شوييا
a mbrok rapel hhh,,أ مبروك راپل ههه
lah yhfdk ihta nta mbrok,,الله يهفدك إهتا نتا مبروك
lah ibark fik 39ba lchi rapel ktr mn hada,,الله إبارك فيك عقبا لشي راپل كتر من هادا
bano chi nhar,,بانو شي نهار
kidayrin m3a chi khdma o kidayrin drari,,كيدايرين معا شي خدما أُ كيدايرين دراري
salam walid ca va kolchi mzyan,,سالام واليد كا ڤا كولشي مزيان
soniti 3liya 9bila khlit tilifon f dar,,سونيتي علييا قبيلا خليت تيليفون ف دار
m3a kano 3ndna tadarib dyal lfityan,,معا كانو عندنا تاداريب ديال لفيتيان
o moraha ijtima3 yalah dkhlt l dar,,أُ موراها إجتيماع يالاه دخلت ل دار
kidayrin malin dar,,كيدايرين مالين دار
walo rir m3a lw9t osafi,,والو رير معا لوقت أُسافي
makayn rir n3as o lkarta hh,,ماكاين رير نعاس أُ لكارتا هه
fin chadha nta hiya zagora wla,,فين شادها نتا هييا زاڭورا ولا
awdi mlina wakha hakak h,,أودي ملينا واخا هاكاك ه
ta n3as chb3nah safi,,تا نعاس شبعناه سافي
mzyan asidi ahsn ma drti,,مزيان أسيدي أهسن ما درتي
hna walo makayn la ryada la walo,,هنا والو ماكاين لا ريادا لا والو
kayn chi t3lim 3an bo3d wla walo,,كاين شي تعليم عان بوعد ولا والو
walo mkywsal talamid,,والو مكيوسال تالاميد
slak osafi,,سلاك أُسافي
awdi t3lim 3an bo3d s3ib f bhal had lmanati9,,أودي تعليم عان بوعد سعيب ف بهال هاد لماناتيق
chi khbar 3la drari,,شي خبار علا دراري
knsoni 3lihom mra mra,,كنسوني عليهوم مرا مرا
iwa mzyan slm 3lihom,,إوا مزيان سلم عليهوم
kidayra l9adiya 3ndkom tma f zagor kan chwiya d zyar wla l9adiya mrkhiya,,كيدايرا لقادييا عندكوم تما ف زاڭور كان شوييا د زيار ولا لقادييا مرخييا
walkin nass dakhlin,,والكين ناسّ داخلين
lmhm wa3yin nass xwiya,,لمهم واعيين ناسّ شوييا
iwa mzyan,,إوا مزيان
lah idir chi tawil dual lkhir osafi,,الله إدير شي تاويل دوال لخير أُسافي
thla f rask ta nta,,تهلا ف راسك تا نتا
wahya 3yeti yak,,واهيا عيتي ياك
oui t9asahti dek sa3 fen tahti,,وي تقاساهتي دك ساع فن تاهتي
yak ma3tatak sda3,,ياك ماعتاتاك سداع
wartah m3a rask,,وارتاه معا راسك
