darija,eng,darija_ar
ban liya wahed rajl,,بان لييا واهد راجل
kan lays9i temak,,كان لايسقي تماك
had kaynoin wldo,,هاد كاينون ولدو
ochi begrat kayr3aw,,أُشي بڭرات كايرعاو
glna lih salam,,ڭلنا ليه سالام
otlbna meno lma,,أُتلبنا منو لما
galina siro lbir o3mro,,ڭالينا سيرو لبير أُعمرو
dak lbido diyal joj itro,,داك لبيدو دييال جوج إترو
tah lina ftrik,,تاه لينا فتريك
3mrna gher wahed,,عمرنا غر واهد
ochrba mzyan,,أُشربا مزيان
galina haydo libghito,,ڭالينا هايدو ليبغيتو
kalna lkrmoss,,كالنا لكرموسّ
l3neb kan khder,,لعنب كان خدر
dakchi lakhor mazal khder,,داكشي لاخور مازال خدر
lkhodra kant mojoda 3ando,,لخودرا كانت موجودا عاندو
mrato chftna otkhbat,,مراتو شفتنا أُتخبات
haydna na3na bach ndiro atay,,هايدنا ناعنا باش نديرو أتاي
soufian hayd flayo,,سوفيان هايد فلايو
howa kan ghadi otaykmi,,هووا كان غادي أُتايكمي
moustafa kan kayhdr ftéléphone,,موستافا كان كايهدر فتéلéپهون
ana kan dayr lkit kansm3 lfalsafa,,أنا كان داير لكيت كانسمع لفالسافا
mli khrja men 3and sayad,,ملي خرجا من عاند ساياد
kola wahed haz sako,,كولا واهد هاز ساكو
mera mera kantsaraho,,مرا مرا كانتساراهو
wlna had trik mdy9a,,ولنا هاد تريك مديقا
bdina wahed tab3 lakhor,,بدينا واهد تابع لاخور
hta nzlna had lwad,,هتا نزلنا هاد لواد
mli wslna had lma,,ملي وسلنا هاد لما
haydna t9acher osrawel,,هايدنا تقاشر أُسراول
lbsna chortat,,لبسنا شورتات
bach manfzgoch,,باش مانفزڭوش
tchadina blidin,,تشادينا بليدين
bach maydinach lma,,باش مايديناش لما
hit mjhad bzaf,,هيت مجهاد بزاف
gher dzlag mchiti,,غر دزلاڭ مشيتي
hnna 9at3in okandhko,,هنّا قاتعين أُكاندهكو
ya rebbi salama,,يا ربّي سالاما
