darija,eng,darija_ar
ana fdar fink nti?,,أنا فدار فينك نتي?
bagha nsafr 9nat,,باغا نسافر قنات
mchaw bjouj l9hwa,,مشاو بجوج لقهوا
mam39dach nta li m39ad,,مامعقداش نتا لي معقاد
machi so9i chriha liya,,ماشي سوقي شريها لييا
makaynach chi whda li t9arni biha,,ماكايناش شي وهدا لي تقارني بيها
kayn 3ndi,,كاين عندي
khety tchfar liha tliphon,,ختي تشفار ليها تليپهون
dkhol so9 rask,,دخول سوق راسك
hadi ou touba ma3mrni nsa,,هادي و توبا ماعمرني نسا
nsit dftari fdar,,نسيت دفتاري فدار
9arya had l3chiya?,,قاريا هاد لعشييا?
ma3lich kolna kanghltou,,ماعليش كولنا كانغلتو
mayhamch ch7al,,مايهامش شحال
aji l3ndo fl3chiya,,أجي لعندو فلعشييا
kayn khoya fdar,,كاين خويا فدار
hta ana twahchtak,,هتا أنا تواهشتاك
soni nhadro apil,,سوني نهادرو أپيل
hiya nsiti kolchi dghya,,هييا نسيتي كولشي دغيا
tri9 twila bezaf,,تريق تويلا بزاف
kont kan9ra l9isa,,كونت كانقرا لقيسا
9rit lmesra7iya dyal sa3ada,,قريت لمسراحييا ديال ساعادا
wa3ra bezaf 9erayha,,واعرا بزاف قرايها
mohim tfhmiha,,موهيم تفهميها
kant dik lila li hlamt awl 7lma liya,,كانت ديك ليلا لي هلامت أول حلما لييا
kanou lkelab tab3ini,,كانو لكلاب تابعيني
3lach chnu dart li,,علاش شنو دارت لي
tzwjti ou magltihach liya,,تزوجتي و ماڭلتيهاش لييا
flbidaya kont ghlt f79ha,,فلبيدايا كونت غلت فحقها
daba n3tadr mnha 3la dakchi li dert,,دابا نعتادر منها علا داكشي لي درت
kont kantsna ftbiba tji,,كونت كانتسنا فتبيبا تجي
man l2asbab li hklani nt3sab,,مان لأسباب لي هكلاني نتعساب
mesdouma mamty9ach dakchi li dar,,مسدوما مامتيقاش داكشي لي دار
3lach howa mabin dok nas t79do 3lih,,علاش هووا مابين دوك ناس تحقدو عليه
gal ghir l7a9i9a,,ڭال غير لحاقيقا
chkoun ghadi iskoun fdarou,,شكون غادي إسكون فدارو
li bgha wlad bladou mn 9lbou ghaymout n9i,,لي بغا ولاد بلادو من قلبو غايموت نقي
li f9lbi 3la lsani,,لي فقلبي علا لساني
mohim ichoufou lmouchkil li darou m3ah,,موهيم إشوفو لموشكيل لي دارو معاه
kan 3arf bli nihaya dyalou 9rbat,,كان عارف بلي نيهايا ديالو قربات
kant hadik ayam zwina,,كانت هاديك أيام زوينا
b9a fiya meskine maystahlch,,بقا فييا مسكين مايستاهلش
kol wahd fina ghythasb 3la aghlatou,,كول واهد فينا غيتهاسب علا أغلاتو
