darija,eng,darija_ar
fchal safi,,فشال سافي
wla kasol,,ولا كاسول
9lil fach kaytharak,,قليل فاش كايتهاراك
wlit 3atiha ghir ldoran,,وليت عاتيها غير لدوران
katakl bzaf,,كاتاكل بزاف
ja howa lawal flmaraton,,جا هووا لاوال فلماراتون
zle9 wtharas,,زلق وتهاراس
lwa9i3 chi haja okhra,,لواقيع شي حاجة أُخرا
t3a9ad m3a wahd lfari9 akhor,,تعاقاد معا واهد لفاريق أخور
hta chi wahd maja lhafla,,هتا شي واهد ماجا لهافلا
mra mra fach kanmchi,,مرا مرا فاش كانمشي
ghadi ndiro wahd lkharja,,غادي نديرو واهد لخارجا
mcha fwahd rihla mdrasiya,,مشا فواهد ريهلا مدراسييا
kay3lam raso braso,,كايعلام راسو براسو
kay9raw ghir fdar,,كايقراو غير فدار
kat9ra ghir fdar,,كاتقرا غير فدار
khasak tzid l9dam,,خاساك تزيد لقدام
matb9ach trja3 lor,,ماتبقاش ترجاع لور
jib liya manakol,,جيب لييا ماناكول
bghit nchran monada,,بغيت نشران مونادا
fin momkin nghdal idi?,,فين مومكين نغدال إدي?
tkon barda 3afak,,تكون باردا عافاك
tkon skhona 3afak,,تكون سخونا عافاك
matkonch dyal barh,,ماتكونش ديال باره
tkon daba katayeb,,تكون دابا كاتايب
khlithom na3so,,خليتهوم ناعسو
wach kaykono khdamin lyoma?,,واش كايكونو خدامين ليوما?
makhdaminch lyoma?,,ماخدامينش ليوما?
m3a chhal kaysdo?,,معا شهال كايسدو?
m3a chhal kayftho?,,معا شهال كايفتهو?
mra mra fach kaymchi lbara,,مرا مرا فاش كايمشي لبارا
mcha ydawaz sif fbara,,مشا يداواز سيف فبارا
bghit nghsal idi,,بغيت نغسال إدي
3tini chi haja bach nmsah,,عتيني شي حاجة باش نمساه
fin momkin nlkhalas?,,فين مومكين نلخالاس?
bchhal ghadi t9am 3liya?,,بشهال غادي تقام علييا?
bsahtk akhoya,,بساهتك أخويا
matnsa doz 3nda mra okhra,,ماتنسا دوز عندا مرا أُخرا
kijatk maklti?,,كيجاتك ماكلتي?
hadchi 3ndkom bnin,,هادشي عندكوم بنين
achno bghiti nghayer flkaracter dyali?,,أشنو بغيتي نغاير فلكاراكتر ديالي?
3arf makan3jbk,,عارف ماكانعجبك
katban m39ad,,كاتبان معقاد
bghit ntawar chakhsiyti,,بغيت نتاوار شاخسييتي
hadik 3anida,,هاديك عانيدا
ghadi tla9a m3a bzaf dyal nas,,غادي تلاقا معا بزاف ديال ناس
ghadi t3alam chhal mn haja,,غادي تعالام شهال من حاجة
ghadi t3ani,,غادي تعاني
zorna mara mara,,زورنا مارا مارا
mtghber 3liya,,متغبر علييا
twahchtk,,تواهشتك
yalah nmchi nt9adaw,,يالاه نمشي نتقاداو
9te3 chari3,,قتع شاريع
chof fliman,,شوف فليمان
chof fliser,,شوف فليسر
chof 9damk,,شوف قدامك
khasak tndabt m3ana,,خاساك تندابت معانا
fin kayna lakis?,,فين كاينا لاكيس?
bghit nkhlas flakis,,بغيت نخلاس فلاكيس
khlas flakhis,,خلاس فلاخيس
3tini lcart dyalk,,عتيني لكارت ديالك
makantkhlsoch blacart,,ماكانتخلسوش بلاكارت
kantkhalso cach,,كانتخالسو كاش
rabho lmatch,,رابهو لماتش
rbhna lkas,,ربهنا لكاس
mcha lmdina okhra,,مشا لمدينا أُخرا
jib chi haja jdid,,جيب شي حاجة جديد
kanakl roz,,كاناكل روز
ghadi m3a mrato,,غادي معا مراتو
taho lih snano,,تاهو ليه سنانو
kaychatho,,كايشاتهو
kantmander ftabi3a,,كانتماندر فتابيعا
had lfilm ghadi y3jbk,,هاد لفيلم غادي يعجبك
dayr lizyat,,داير ليزيات
khsro liya lizyat,,خسرو لييا ليزيات
maghadich ysm3k,,ماغاديش يسمعك
hna mkhtalfin,,هنا مختالفين
3zaz 3liya aflam romansiya,,عزاز علييا أفلام رومانسييا
ma3ndich m3a aflam l2akchen,,ماعنديش معا أفلام لأكشن
3ndi m3a laflam lkomidya,,عندي معا لافلام لكوميديا
kay3jbni lkhayal l3ilmi,,كايعجبني لخايال لعيلمي
ma3ndich m3a l9isas dyal lkhli3,,ماعنديش معا لقيساس ديال لخليع
btasm lcamera,,بتاسم لكامرا
t9ad mzyan bach nssawrek,,تقاد مزيان باش نسّاورك
sta9blo fl9sser,,ستاقبلو فلقسّر
khasna nbdlo lkhota,,خاسنا نبدلو لخوتا
mcharkin fwahd dawri,,مشاركين فواهد داوري
khasna l3aba bzwaf,,خاسنا لعابا بزواف
hta wahd mawaf9,,هتا واهد ماوافق
kolchi rfad,,كولشي رفاد
kal3ab ftelefon,,كالعاب فتلفون
kan9ra fetelfon,,كانقرا فتلفون
w9af 9dam l9adi,,وقاف قدام لقادي
hakmo 3lih blmo2abad,,هاكمو عليه بلموأباد
malk mkarfas rask,,مالك مكارفاس راسك
dayra lhena,,دايرا لهنا
katn9ach blhena,,كاتنقاش بلهنا
mcha ykhtab,,مشا يختاب
had l3ba mchhora,,هاد لعبا مشهورا
chedha bidik,,شدها بيديك
had lvayros khatir,,هاد لڤايروس خاتير
had lmard bzerba kayntacher,,هاد لمارد بزربا كاينتاشر
khasna ndiro l2ihtayatat,,خاسنا نديرو لإهتاياتات
khasak dawaz 3la sahtk,,خاساك داواز علا ساهتك
had lmarad kay3di,,هاد لماراد كايعدي
matkhafch makay3dich,,ماتخافش ماكايعديش
3ya mn jra,,عيا من جرا
kaylhat,,كايلهات
ghir kaykhal3o fnas,,غير كايخالعو فناس
malk mdahchar,,مالك مداهشار
nmchi m3ak fin mabghiti,,نمشي معاك فين مابغيتي
fach knt 9dak,,فاش كنت قداك
9lad chi sot,,قلاد شي سوت
kaysab9o btomobilat,,كايسابقو بتوموبيلات
kaytsab9o blpikalat,,كايتسابقو بلپيكالات
kaytsab9o blmater,,كايتسابقو بلماتر
9ta3 blmos,,قتاع بلموس
9te3 blmanchar,,قتع بلمانشار
safni orad lik,,سافني أُراد ليك
m3chyin 3la bara,,معشيين علا بارا
