darija,eng,darija_ar
karhouni f lougha,,كارهوني ف لوغا
taynechrou l3ilm,,تاينشرو لعيلم
nta kadewz mti7an daba,,نتا كادوز متيحان دابا
men nhar dzadity kadewz mti7an,,من نهار دزاديتي كادوز متيحان
chi mrat katkhser wkat3awed,,شي مرات كاتخسر وكاتعاود
fiya chwia dyal l7sed,,فييا شويا ديال لحسد
kan mred,,كان مرد
khasek tbghi dakchi li andek daba,,خاسك تبغي داكشي لي أندك دابا
katsber mli ykounou lmachakil,,كاتسبر ملي يكونو لماشاكيل
hyatek kamla sabr w chokr,,هياتك كاملا سابر و شوكر
tghdit 3ad jit,,تغديت عاد جيت
koun masbartich koun salina hadchi,,كون ماسبارتيش كون سالينا هادشي
mli kna sghar kadwi kay9am3ouk,,ملي كنا سغار كادوي كايقامعوك
shabek kay9am3ouk,,سهابك كايقامعوك
man9derch ngoulk,,مانقدرش نڭولك
wach wsalty ldakchi li bghit?,,واش وسالتي لداكشي لي بغيت?
wach wsalty lma7sen,,واش وسالتي لماحسن
wach haka knty baghi tkoun,,واش هاكا كنتي باغي تكون
ba9i kan9alab 3la hwayj khrin,,باقي كانقالاب علا حوايج خرين
kent ghafel 3la bzaf dlhwayj,,كنت غافل علا بزاف دلحوايج
mykt 3la che7al men wahed,,ميكت علا شحال من واهد
dakchi li mouhim khalitou,,داكشي لي موهيم خاليتو
ktabli n3ref dik tre9 bach nzid lgdam,,كتابلي نعرف ديك ترق باش نزيد لڭدام
maystahelch ndabez 3lih,,مايستاهلش ندابز عليه
khasek tw3a,,خاسك توعا
ila knty ghanty7 fiha sa7ty blach,,إلا كنتي غانتيح فيها ساحتي بلاش
khasek ta3ref l9ima dyal s7a,,خاسك تاعرف لقيما ديال سحا
lwa9t m3a 3a2ila 3endou 9ima,,لواقت معا عاإلا عندو قيما
kaydkhoul kayn3es,,كايدخول كاينعس
kaychreb 9hiwa m3a s7abou,,كايشرب قهيوا معا سحابو
kaybda ytfawah,,كايبدا يتفاواه
khask we9t bach tbde3,,خاسك وقت باش تبدع
kan7awel nkhwi we9ty,,كانحاول نخوي وقتي
ma9ditch nefter,,ماقديتش نفتر
khasek dzid t3alam,,خاسك دزيد تعالام
lbent ghatri m3aya selk,,لبنت غاتري معايا سلك
ghank3a whya ghatek3a,,غانكعا وهيا غاتكعا
hwa kter mni f dakchi,,هوا كتر مني ف داكشي
ghadi ghir dzid lkhadma lrasek,,غادي غير دزيد لخادما لراسك
ghadi ta9al 3la rasek,,غادي تاقال علا راسك
matbarzatch rasek bhadchi,,ماتبارزاتش راسك بهادشي
mat9derch t3ref,,ماتقدرش تعرف
y9der ykoun kayt3asab,,يقدر يكون كايتعاساب
ma3mrni chetou m3asab,,ماعمرني شتو معاساب
khasek tmout 3la dakchi li baghi,,خاسك تموت علا داكشي لي باغي
ghadi dy3 lwa9t,,غادي ديع لواقت
kan9albou 3la tari9a sahla bach ndirou fleus,,كانقالبو علا تاريقا ساهلا باش نديرو فلوس
7ayad lcredit li 3lik,,حاياد لكرديت لي عليك
bzaf dyal lhwayj kheshoum ytbadlou,,بزاف ديال لحوايج خسهوم يتبادلو
khasek t7en,,خاسك تحن
mana3esch tltyam mtab3a,,ماناعسش تلتيام متابعا
hadchi drty bach t3alam,,هادشي درتي باش تعالام
jak sehd nta?,,جاك سهد نتا?
nas fl3alam mkarfsin,,ناس فلعالام مكارفسين
ma3merhoum rekbou f tiara,,ماعمرهوم ركبو ف تيارا
aghlabia ma3edhoumch tomobil,,أغلابيا ماعدهومش توموبيل
khasou ykamal lkhlas dyal dar,,خاسو يكامال لخلاس ديال دار
bgha ychri tomobil,,بغا يشري توموبيل
bnadem s3ib,,بنادم سعيب
ma3mrk hdarty 3la hadchi,,ماعمرك هدارتي علا هادشي
bghaw y7alou 9ehwa,,بغاو يحالو قهوا
haka kaykharjou 3la rasehoum,,هاكا كايخارجو علا راسهوم
makayfhem f tahaja,,ماكايفهم ف تاحاجة
ghadi ytfala 3lih,,غادي يتفالا عليه
rah ketrou nsaba fhad lblad,,راه كترو نسابا فهاد لبلاد
nt9asmou l2afkar m3a nas,,نتقاسمو لأفكار معا ناس
kanden,,كاندن
khaltek li 9bi7a,,خالتك لي قبيحا
7na maderna lik walou,,حنا مادرنا ليك والو
makaynch nas makayfahmouch,,ماكاينش ناس ماكايفاهموش
nta ma3raftych t3amel m3ahoum,,نتا ماعرافتيش تعامل معاهوم
makaynch li ghayji ygoulina chnou ndirou,,ماكاينش لي غايجي يڭولينا شنو نديرو
makrahtch nb9a ghir galsa,,ماكراهتش نبقا غير ڭالسا
chi haja machi hya hadik,,شي حاجة ماشي هيا هاديك
nta matsla7lich,,نتا ماتسلاحليش
khasna ngadou lblad,,خاسنا نڭادو لبلاد
hwa lwahid li y9der yhder m3ana,,هوا لواهيد لي يقدر يهدر معانا
khasna nas yghniw ni9ach,,خاسنا ناس يغنيو نيقاش
daba yte9leb ljew,,دابا يتقلب لجو
wladna man9adrouch nsedou 3lihoum,,ولادنا مانقادروش نسدو عليهوم
khassek trabi wladek,,خاسّك ترابي ولادك
rbbi 7adihoum,,ربّي حاديهوم
ch7al 9dek mat7di,,شحال قدك ماتحدي
ila ma3endekch chriha,,إلا ماعندكش شريها
mzinatha had lgalsa,,مزيناتها هاد لڭالسا
kankhdem men sbah tal lil,,كانخدم من سباه تال ليل
dak tghyir ghayderni,,داك تغيير غايدرني
sme3t bli kat7fer lbyar,,سمعت بلي كاتحفر لبيار
drebt ghir tlila,,دربت غير تليلا
