darija,eng,darija_ar
l7wayj b9aw fl7bl,,لحوايج بقاو فلحبل
mni knt sghir kan kolchi zwin,,مني كنت سغير كان كولشي زوين
tfkrt rassi f l2ibtida2i,,تفكرت راسّي ف لإبتيداإ
knt kan9ra mzian,,كنت كانقرا مزيان
tw7cht ostadti dl3rbya,,توحشت أُستادتي دلعربيا
lktoba diali m7tafd bihom,,لكتوبا ديالي محتافد بيهوم
wach hania 3ndkom,,واش هانيا عندكوم
dnia m9loba fdik jiha,,دنيا مقلوبا فديك جيها
wach kant mrida,,واش كانت مريدا
makin dak rajl lidayz,,ماكين داك راجل ليدايز
3la magalo hbil,,علا ماڭالو هبيل
wlad nas mojodin,,ولاد ناس موجودين
lblad dialna hya hadok,,لبلاد ديالنا هيا هادوك
ana ndkhol ldar onsoni lik,,أنا ندخول لدار أُنسوني ليك
ach nahiya hadi,,أش ناهييا هادي
ach khbarek okib9at mamak?,,أش خبارك أُكيبقات ماماك?
achno dakchi lif iddik,,أشنو داكشي ليف إدّيك
makayna tahaja men dakchi liglti,,ماكاينا تاحاجة من داكشي ليڭلتي
yakma zerban nsb9ak,,ياكما زربان نسبقاك
lala makayn hta mochkil gher golha lih,,لالا ماكاين هتا موشكيل غر ڭولها ليه
ana ghadi ntfkrak ghda,,أنا غادي نتفكراك غدا
chkon hadok ligalssin temak,,شكون هادوك ليڭالسّين تماك
finahowa atay liglt lik 3amri liya,,فيناهووا أتاي ليڭلت ليك عامري لييا
chriti telephone jdid,,شريتي تلپهون جديد
bseha lhamam,,بسها لهامام
inta tamchi ldarkom,,إنتا تامشي لداركوم
chkon liktab hadchi,,شكون ليكتاب هادشي
mal hadchi dayr bhal haka,,مال هادشي داير بهال هاكا
ligalik ladgolih,,ليڭاليك لادڭوليه
dir lkhair onsah,,دير لخاير أُنساه
dirha frjal onsaha odirha fnessa latnssaha,,ديرها فرجال أُنساها أُديرها فنسّا لاتنسّاها
lbakhil bayn men halto,,لباخيل باين من هالتو
kayn chi wahed matsbahach 3lih,,كاين شي واهد ماتسباهاش عليه
khass lwahed ikon chwiya kayfham rasso,,خاسّ لواهد إكون شوييا كايفهام راسّو
malk mzayar 3la rassek,,مالك مزايار علا راسّك
gol wahed kayfkr btari9to lkhassa,,ڭول واهد كايفكر بتاريقتو لخاسّا
hadchi liglt lik machi ma3yor,,هادشي ليڭلت ليك ماشي ماعيور
ewa nta lidlmti rassek,,إوا نتا ليدلمتي راسّك
hada wlahadi lidart haka rah 3ib o3ar,,هادا ولاهادي ليدارت هاكا راه عيب أُعار
chhral 9riti men ktab,,شهرال قريتي من كتاب
chriti dak telephone liglti liya,,شريتي داك تلپهون ليڭلتي لييا
malha katbki?,,مالها كاتبكي?
be9at fiya bzaff,,بقات فييا بزافّ
kate9eta3 fel 9aleb,,كاتقتاع فل قالب
liwldo may7ass bih,,ليولدو مايحاسّ بيه
kol wahed 3aref ach kaydir,,كول واهد عارف أش كايدير
dik choghlek,,ديك شوغلك
tahowa machghol mamsalich,,تاهووا ماشغول مامساليش
mchit dak nhar makan rawahed,,مشيت داك نهار ماكان راواهد
yalah nchof temak,,يالاه نشوف تماك
sm3ti lakhbar lyom,,سمعتي لاخبار ليوم
ch3al dak radio,,شعال داك راديو
mazal majach daw,,مازال ماجاش داو
lyom ma3rftch 3lach tfawh,,ليوم ماعرفتش علاش تفاوه
imkan kayna chi haja,,إمكان كاينا شي حاجة
makayna tahaja,,ماكاينا تاحاجة
gher chtta likhsrato,,غر شتّا ليخسراتو
lala imkn lma lin9ass,,لالا إمكن لما لينقاسّ
kayn mojod gher serbi,,كاين موجود غر سربي
blati hta iji 3ad nbda,,بلاتي هتا إجي عاد نبدا
gher nda bdakchili3ndek,,غر ندا بداكشيليعندك
wakha achno ndir daba,,واخا أشنو ندير دابا
ghadi dir liya wahed lblan,,غادي دير لييا واهد لبلان
walakin iban fih kolchi,,والاكين إبان فيه كولشي
bhalach matalan,,بهالاش ماتالان
ghadi tbyn fih achno lmohim,,غادي تبين فيه أشنو لموهيم
men be3d bnadem ghadi itb3 dak lblan,,من بعد بنادم غادي إتبع داك لبلان
lmohim ghadi dji lkatiba tsb9ak,,لموهيم غادي دجي لكاتيبا تسبقاك
ana lawal 3afak,,أنا لاوال عافاك
aside maykon gher khatrek,,أسيد مايكون غر خاترك
ewa rah 3taltoni,,إوا راه عتالتوني
inta nrja3 daba,,إنتا نرجاع دابا
we9t majiti alalla,,وقت ماجيتي ألالّا
ghadi tel9aw kolchi wajed,,غادي تلقاو كولشي واجد
lmohim ghadi nrj3o men hna lwahed simana,,لموهيم غادي نرجعو من هنا لواهد سيمانا
simana bzaf,,سيمانا بزاف
gher khodo rahtkom,,غر خودو راهتكوم
lala gher mat3tloch,,لالا غر ماتعتلوش
ana be3da hchmt fblasstek,,أنا بعدا هشمت فبلاسّتك
fin t3tlto rah bezzaf hadchi,,فين تعتلتو راه بزّاف هادشي
kna kanchrbo,,كنا كانشربو
ga3 hada chrib lma,,ڭاع هادا شريب لما
yalah serbiwna,,يالاه سربيونا
jbdo kolchi obdaw,,جبدو كولشي أُبداو
lkhdma diayl labareh salinaha,,لخدما ديايل لاباره ساليناها
bdaw wahda khra,,بداو واهدا خرا
achno ndiro ?,,أشنو نديرو ?
diro dakchi likayda,,ديرو داكشي ليكايدا
daba ghadi tftho adawat diyalkom,,دابا غادي تفتهو أداوات دييالكوم
ghadi trssmo liya ay haja jat 3la balkom,,غادي ترسّمو لييا أي حاجة جات علا بالكوم
omen ba3d chno ndiro,,أُمن باعد شنو نديرو
chofo ntoma,,شوفو نتوما
lmohim ghadi nbdaw daba hta l12 ontsaraho,,لموهيم غادي نبداو دابا هتا ل1ء أُنتساراهو
achno rssamto,,أشنو رسّامتو
ana rsmt wahed jarda,,أنا رسمت واهد جاردا
onta chno drti,,أُنتا شنو درتي
ana madrt walo,,أنا مادرت والو
mzyan tbarklah,,مزيان تباركلاه
hadchi likhsna,,هادشي ليخسنا
ana drt wahed l9issa,,أنا درت واهد لقيسّا
onti fin waslti,,أُنتي فين واسلتي
kayban liya ndir haka,,كايبان لييا ندير هاكا
diri haga dakchi liglti liya,,ديري هاڭا داكشي ليڭلتي لييا
ana mchit m3a nass l9dam,,أنا مشيت معا ناسّ لقدام
ntoma katbano liya jdad,,نتوما كاتبانو لييا جداد
wakha jdad hna 9dam fdomaine,,واخا جداد هنا قدام فدوماين
lmohim lwahed mayzrbch,,لموهيم لواهد مايزربش
matkonoch mtkbrin,,ماتكونوش متكبرين
sm3o mzyan lhdara,,سمعو مزيان لهدارا
ach men hadra nsm3o,,أش من هادرا نسمعو
chi kaychara9 chi kaygharab,,شي كايشاراق شي كايغاراب
wakha haka sghro rasskom,,واخا هاكا سغرو راسّكوم
kayna wahed lmdrrassa wa3ra,,كاينا واهد لمدرّاسّا واعرا
kifach wa3ra,,كيفاش واعرا
fiha takwinat zwinin,,فيها تاكوينات زوينين
ghda nmchiw ntsjlo,,غدا نمشيو نتسجلو
safi ghda doz 3andi,,سافي غدا دوز عاندي
golha ljarkom labgha,,ڭولها لجاركوم لابغا
wagaltha lih,,واڭالتها ليه
idbr rasso,,إدبر راسّو
o jamal gltiha lih,,أُ جامال ڭلتيها ليه
gltha lmohamed o shabo,,ڭلتها لموهامد أُ سهابو
galo liya ghadi ijiw,,ڭالو لييا غادي إجيو
ewa mzyana da3wa,,إوا مزيانا داعوا
kayn transport,,كاين ترانسپورت
kolchi kayn,,كولشي كاين
gher 3afakom jiw felwa9t,,غر عافاكوم جيو فلواقت
marhaban hiya lawla,,مارهابان هييا لاولا
goliya kayn chi atay be3da,,ڭولييا كاين شي أتاي بعدا
aji tchrab m3aya chi dekka,,أجي تشراب معايا شي دكّا
wakha hta iwjd onswl fik,,واخا هتا إوجد أُنسول فيك
kayna lwiza wla chiba,,كاينا لويزا ولا شيبا
libghitiha kayna,,ليبغيتيها كاينا
matbe9a lina gher 3la khatrek,,ماتبقا لينا غر علا خاترك
mchiti lsou9 lyoum ?,,مشيتي لسوق ليوم ?
ah bhra jit gher daba,,أه بهرا جيت غر دابا
chno t9diti,,شنو تقديتي
t9dit lkhodra o dessert,,تقديت لخودرا أُ دسّرت
yakma nsiti maticha,,ياكما نسيتي ماتيشا
lala rah jabtha be9at ftomobile,,لالا راه جابتها بقات فتوموبيل
jib m3ak hta touma olbzarr,,جيب معاك هتا توما أُلبزارّ
wakha daba nrj3,,واخا دابا نرجع
salam khouya hani,,سالام خويا هاني
fin ghbrti,,فين غبرتي
la mojod gher m3a lwa9t,,لا موجود غر معا لواقت
labass had sa3a kayn gher bohdi,,لاباسّ هاد ساعا كاين غر بوهدي
yak labass,,ياك لاباسّ
mchaw ichofo wahed 3amti,,مشاو إشوفو واهد عامتي
malha mskina,,مالها مسكينا
fthat w dart 3amaliya had simana lifat,,فتهات و دارت عامالييا هاد سيمانا ليفات
maykon bass 3andha,,مايكون باسّ عاندها
allah ibarek fik,,الله إبارك فيك
yaji tghda m3ana,,ياجي تغدا معانا
gher bsaha wraha khasni nb9a fdar,,غر بساها وراها خاسني نبقا فدار
chkon kaytayab lik,,شكون كايتاياب ليك
kayjibo liya jiran,,كايجيبو لييا جيران
malin dar rah ghda ijiw,,مالين دار راه غدا إجيو
yachfti blast lwalida,,ياشفتي بلاست لواليدا
wayeh saraha hta kaymchiw,,وايه ساراها هتا كايمشيو
3ad kan3rfo blasthom,,عاد كانعرفو بلاستهوم
3lach hadro hadok lbareh,,علاش هادرو هادوك لباره
yalah jawbini khlass,,يالاه جاوبيني خلاسّ
kano kayhdro 3la mrat khouya,,كانو كايهدرو علا مرات خويا
