darija,eng,darija_ar
aji tchouf khaltek.,,أجي تشوف خالتك.
aji tchouf khalek.,,أجي تشوف خالك.
aji tchouf 3emek.,,أجي تشوف عمك.
aji tchouf 3emetek.,,أجي تشوف عمتك.
aji rkkez m3aya,,أجي ركّز معايا
aji n3yt lia fin ja lma7ala,,أجي نعيت ليا فين جا لماحالا
aji werrini chnou jbti.,,أجي ورّيني شنو جبتي.
aji werrini fin atrezerve.,,أجي ورّيني فين أترزرڤ.
aji tste9bel diafek.,,أجي تستقبل ديافك.
aji ttowwer mn rassk,,أجي التووّر من راسّك
aji di lghnem ir3aw,,أجي دي لغنم إرعاو
aji t7ok,,أجي تحوك
aji tghssel snanek.,,أجي تغسّل سنانك.
aji tghssel wejhek.,,أجي تغسّل وجهك.
aji tmchet ch3rek.,,أجي تمشت شعرك.
aji tdewech.,,أجي تدوش.
aji rah adaan.,,أجي راه أدان.
aji 9ra lia had lktab,,أجي قرا ليا هاد لكتاب
aji tgoulia chnou smit dak rajel li glti lia 3lih,,أجي تڭوليا شنو سميت داك راجل لي ڭلتي ليا عليه
aji wella maghay3jbk 7al,,أجي ولّا ماغايعجبك حال
aji rah antfrg3,,أجي راه أنتفرڭع
aji rak nta li 3ard 3la nass z3ma,,أجي راك نتا لي عارد علا ناسّ زعما
aji n9llbou 3la chnou wedderti,,أجي نقلّبو علا شنو ودّرتي
aji nseddou had chanta,,أجي نسدّو هاد شانتا
aji n99ezou,,أجي نقّزو
aji nsaybou lmsemmen,,أجي نسايبو لمسمّن
aji ntfahem m3ak,,أجي نتفاهم معاك
aji ndirou chaghab,,أجي نديرو شاغاب
aji n7mmiwha,,أجي نحمّيوها
aji oula 3mrk t3awd tchoufni,,أجي ولا عمرك تعاود تشوفني
aji nghenniz,,أجي نغنّيز
aji nched lik maw3id 3nd tbib,,أجي نشد ليك ماوعيد عند تبيب
aji mse7 wjhek,,أجي مسح وجهك
aji khoud kass dial lma,,أجي خود كاسّ ديال لما
aji rah ghanderbek,,أجي راه غاندربك
aji nmli 3lik chnou dir,,أجي نملي عليك شنو دير
aji nwejjedou l3rss,,أجي نوجّدو لعرسّ
aji nwerrik fin tankhebbi ga3 dkchi li 3ziz 3lia,,أجي نورّيك فين تانخبّي ڭاع دكشي لي عزيز عليا
aji n7lmou bjouj,,أجي نحلمو بجوج
imta ghadi t 5tare3 chi 7aja tdouz biha ftelfaza,,إمتا غادي ت ختارع شي حاجا تدوز بيها فتلفازا
imta ghadi t sne3 dak robo,,إمتا غادي ت سنع داك روبو
imta ghadi t sedd dak lbab bach mayd5el tawa7ed l3imara,,إمتا غادي ت سدّ داك لباب باش مايدخل تاواحد لعيمارا
imta ghadi t 3awed tfekker fdak lmawdou3,,إمتا غادي ت عاود تفكّر فداك لماودوع
5antsnna redd dialek had simana,,خانتسنّا ردّ ديالك هاد سيمانا
imta ghadi t messni ghir ila 7ta9ertini,,إمتا غادي ت مسّني غير إلا حتاقرتيني
imta ghadi t sowwer dak lmender zwin,,إمتا غادي ت سووّر داك لمندر زوين
imta ghadi t frche5 had l3eyba,,إمتا غادي ت فرشخ هاد لعيبا
imta ghadi t n9el flmti7an wach tala5ar,,إمتا غادي ت نقل فلمتيحان واش تالاخار
imta ghadi t bloki dik s7aybtek,,إمتا غادي ت بلوكي ديك سحايبتك
imta ghadi t 3ya,,إمتا غادي ت عيا
