darija,eng,darija_ar
khsk tmchi lchi tbib,,خسك تمشي لشي تبيب
tbib djld hwa lidawik,,تبيب دجلد هوا ليداويك
lighy3tik liynf3k,,ليغيعتيك ليينفعك
omn ahsn go lilih y3tik dwa,,أُمن أهسن ڭو ليليه يعتيك دوا
ytkl mchi tlb9i lwjhk,,يتكل مشي تلبقي لوجهك
had tari9a derteha,,هاد تاريقا درتها
wahd lmera raychet jondarem,,واهد لمرا رايشت جوندارم
ahsen haja hiya weze,,أهسن حاجة هييا وز
bia wlina application,,بيا ولينا أپّليكاتيون
7na ta achmn jouj,,حنا تا أشمن جوج
kaydwi ealina,,كايدوي إالينا
nhamdou lah,,نهامدو الله
ana kandyhra saraha,,أنا كانديهرا ساراها
sir tsas,,سير تساس
kayna 7ta dyal sinyal,,كاينا حتا ديال سينيال
xof fi liymn o leysr,,شوف في لييمن أُ ليسر
drab lia 3la siyad,,دراب ليا علا سيياد
kayn rir fi lma4rib,,كاين رير في لما4ريب
،ghir bi sinyal,,،غير بي سينيال
igolik ach kayn,,إڭوليك أش كاين
190dh tawsil bi majan,,1ق0ده تاوسيل بي ماجان
bnat samholi,,بنات سامهولي
li sawalni 3la atmina,,لي ساوالني علا أتمينا
sayfat likom fi 5as,,سايفات ليكوم في خاس
hit fb mabloki liya,,هيت فب مابلوكي لييا
3aychin ghir mn tik tok,,عايشين غير من تيك توك
db khoha labs srwal,,دب خوها لابس سروال
hiya mgarta,,هييا مڭارتا
mafhmt walo,,مافهمت والو
xo4lak fihom,,شو4لاك فيهوم
lah yster menkom,,الله يستر منكوم
hta haja makhalitoha fti9ar,,هتا حاجة ماخاليتوها فتيقار
la gha howa rajl wsf,,لا غا هووا راجل وسف
darha tik tok,,دارها تيك توك
khona mswer fi aman lah,,خونا مسور في أمان الله
bndem asahbi,,بندم أساهبي
wadrbo ghir mn lmotore,,وادربو غير من لموتور
li3ndo wsh honda,,ليعندو وسه هوندا
hiya timax hhh,,هييا تيماش ههه
rejal labsin,,رجال لابسين
l3yalt m3ryin,,لعيالت معريين
