darija,eng,darija_ar
khayfa itra liya bhalha,,خايفا إترا لييا بهالها
chno ghaytra lik mazal ?,,شنو غايترا ليك مازال ?
khda liya flousi ohyati,,خدا لييا فلوسي أُهياتي
koun 3raft ghi fach tayfakar,,كون عرافت غي فاش تايفاكار
bghit nrkab tiyara,,بغيت نركاب تييارا
nmchi lblasa b3ida,,نمشي لبلاسا بعيدا
bghit nglas bohdi,,بغيت نڭلاس بوهدي
3yit mn klam nas,,عييت من كلام ناس
kolchi kayhdar fd9a,,كولشي كايهدار فدقا
ana hadchi ma3jbnich,,أنا هادشي ماعجبنيش
kifach ghatkoun lhayat bohdak,,كيفاش غاتكون لهايات بوهداك
tawahad makayhdar bsaraha,,تاواهاد ماكايهدار بساراها
lkdoub tl3o liya frasi,,لكدوب تلعو لييا فراسي
koun lgit nba3ad,,كون لڭيت نباعاد
drabha chhal mn mra,,درابها شهال من مرا
dban kayzanzan fwadniya,,دبان كايزانزان فوادنييا
3lach kayzanzan dban?,,علاش كايزانزان دبان?
lkozina mrawna,,لكوزينا مراونا
mazal madart lghda,,مازال مادارت لغدا
aslan mafiya maydir chihaja,,أسلان مافييا مايدير شيحاجة
3lach tgalsi bohdak ?,,علاش تڭالسي بوهداك ?
lhob kayn ghi flaflam,,لهوب كاين غي فلافلام
ihtimam 9lil fach kathasi bih,,إهتيمام قليل فاش كاتهاسي بيه
kay3jabni nsma3 lradio,,كايعجابني نسماع لراديو
3lach katsam3i lradio ?,,علاش كاتسامعي لراديو ?
kansma3 lih fsbah,,كانسماع ليه فسباه
kansma3 lih blil,,كانسماع ليه بليل
kat3almi tsam3i mzyan,,كاتعالمي تسامعي مزيان
fih bzzef dlma3loumat,,فيه بزّف دلماعلومات
kaydiro aghani mra mra,,كايديرو أغاني مرا مرا
kanbghi nghowat bjahd,,كانبغي نغووات بجاهد
tsala liya saboun,,تسالا لييا سابون
ghanchri radio,,غانشري راديو
fin chriti radio?,,فين شريتي راديو?
bchhal chriti radio?,,بشهال شريتي راديو?
had radio kbir bzzef,,هاد راديو كبير بزّف
had radio sghir bzzef,,هاد راديو سغير بزّف
bghit radio ly kaytcharja,,بغيت راديو لي كايتشارجا
khsar liya radio dyali,,خسار لييا راديو ديالي
3jabni had radio bzzef,,عجابني هاد راديو بزّف
khasni radio ftomobil,,خاسني راديو فتوموبيل
khasni radio fdar,,خاسني راديو فدار
kansta3ml radio bzzef,,كانستاعمل راديو بزّف
dima kanhalo nsma3 lih,,ديما كانهالو نسماع ليه
lbka kayriyih,,لبكا كايريييه
kay3jabni nglas bohdi onbkii,,كايعجابني نڭلاس بوهدي أُنبكيّ
kandam 3la ayihaja dartha,,كاندام علا أييحاجة دارتها
kantsamah m3a rasi,,كانتساماه معا راسي
chkoun ly bkak ?,,شكون لي بكاك ?
chhal mn wahad adani fhyati,,شهال من واهاد أداني فهياتي
chkoun adak ?,,شكون أداك ?
maghadich nhasbhoum,,ماغاديش نهاسبهوم
chkoun ghadi ihasbhoum ?,,شكون غادي إهاسبهوم ?
3lach mathasbihoumch ?,,علاش ماتهاسبيهومش ?
maghadich ndayi3 wa9ti 3lihoum,,ماغاديش نداييع واقتي عليهوم
aslan maystahliuch,,أسلان مايستاهليوش
3datni 3a9rab,,عداتني عاقراب
dowzat 3liya lwil,,دووزات علييا لويل
galt wach ghanmout,,ڭالت واش غانموت
sa3a hani mazala flhayat,,ساعا هاني مازالا فلهايات
khasha t3awad kolchi mn lowal,,خاسها تعاواد كولشي من لووال
hadi hiya lkhdma lm3awda,,هادي هييا لخدما لمعاودا
kaygoul liha rasha ma3raft chno,,كايڭول ليها راسها ماعرافت شنو
dima hiya mtkabra,,ديما هييا متكابرا
goli lina achti lma9adir,,ڭولي لينا أشتي لماقادير
achnou kadiri khlini nchouf,,أشنو كاديري خليني نشوف
hadchi dialk wch mslkk?,,هادشي ديالك وش مسلكّ?
n9sti bzaf,,نقستي بزاف
ahssan fikra derti,,أهسّان فيكرا درتي
lclient jdad ido9o,,لكلينت جداد إدوقو
khashom i3arfo som3tek,,خاسهوم إعارفو سومعتك
dik sa3a diri li mselkek,,ديك ساعا ديري لي مسلكك
