darija,eng,darija_ar
nt7edak tb9a wa9ef fhad lposition,,نتحداك تبقا واقف فهاد لپوسيتيون
nt7edak t t9elle9,,نتحداك ت تقلّق
nt7edak t 2ehhel lniha2i,,نتحداك ت ءههل لنيهاإ
nt7edak mat5sserch dedou,,نتحداك ماتخسّرش ددو
nt7edak tle9 dal lkelb ou yrje3 3endek,,نتحداك تلق دال لكلب و يرجع عندك
nt7edak t sbe5 bo7dek had dar,,نتحداك ت سبخ بوحدك هاد دار
nt7edak t 7edded liya chkon li rbe7,,نتحداك ت حدّد لييا شكون لي ربح
nt7edak t debber liya 3la chi min7a,,نتحداك ت دبّر لييا علا شي مينحا
nt7edak t sellef men 3endou,,نتحداك ت سلّف من عندو
nt7edak t bni had dar b7aloka,,نتحداك ت بني هاد دار بحالوكا
nt7edak t tdi lcoupa ou nta katstahelha,,نتحداك ت تدي لكوپا و نتا كاتستاهلها
nt7edak t dir rass brassou,,نتحداك ت دير راسّ براسّو
nt7edak t wjjeh had tlamed l2a7ssen lmanassib,,نتحداك ت وجّه هاد تلامد لأحسّن لماناسّيب
nt7edak t 9ad liya had lo3ba,,نتحداك ت قاد لييا هاد لوعبا
nt7edak t tkebbed ga3 l5asa2ir li jat had dewla west l7erb,,نتحداك ت تكبّد ڭاع لخاساإر لي جات هاد دولا وست لحرب
nt7edak t sifet liya chi produit men dik lmdina raha sadda 3lina,,نتحداك ت سيفت لييا شي پرودويت من ديك لمدينا راها سادّا علينا
nt7edak t 3oum fhad l3assifa,,نتحداك ت عوم فهاد لعاسّيفا
nt7edak t weselhom tal dar,,نتحداك ت وسلهوم تال دار
nt7edak t 9ne3ou anaho 5alet,,نتحداك ت قنعو أناهو خالت
nt7edak t dreb dik lfer9a li kolha machakil ou tele3ha,,نتحداك ت درب ديك لفرقا لي كولها ماشاكيل و تلعها
nt7edak t dressi dak lkelb,,نتحداك ت درسّي داك لكلب
nt7edak t do99 had lmakla lmorra,,نتحداك ت دوقّ هاد لماكلا لمورّا
nt7edak t 3eyyet l3erssek 3la ga3 douk li m5assem m3ahom,,نتحداك ت عيّت لعرسّك علا ڭاع دوك لي مخاسّم معاهوم
nt7edak t t5ella 3la l3adat l5aybin dialek,,نتحداك ت تخلّا علا لعادات لخايبين ديالك
nt7edak t jaweb bak btari9a 5ayba,,نتحداك ت جاوب باك بتاريقا خايبا
nt7edak matre3edch ila 7erecht 3lik lkelb,,نتحداك ماترعدش إلا حرشت عليك لكلب
nt7edak tfixi dik tswira,,نتحداك تفيشي ديك تسويرا
nt7edak t tdaaher belfa9r,,نتحداك ت تداهر بلفاقر
nt7edak t chawer m3a mratek fhad lmawdou3 ila tchawerti rak machi rajel,,نتحداك ت شاور معا مراتك فهاد لماودوع إلا تشاورتي راك ماشي راجل
nt7edak t 9sem m3a 5otek had lflouss,,نتحداك ت قسم معا خوتك هاد لفلوسّ
nt7edak t n5aret fdik ljam3iya ra 9lil kayd5el liha,,نتحداك ت نخارت فديك لجامعييا را قليل كايدخل ليها
nt7edak t 7e99e9 bezzaf dial l2arba7 men awel chher lik,,نتحداك ت حقّق بزّاف ديال لأرباح من أول شهر ليك
nt7edak t tebe3 l9anoun,,نتحداك ت تبع لقانون
nt7edak t dir zouj 3amaliyat fnefss lwe9t,,نتحداك ت دير زوج عامالييات فنفسّ لوقت
nt7edak t jjib liya zouj tilifounat bchi taman 5ayali hemza,,نتحداك ت الجيب لييا زوج تيليفونات بشي تامان خايالي همزا
nt7edak t l9a chi kra bhad taman,,نتحداك ت لقا شي كرا بهاد تامان
nt7edak t dfe3 dak rajel kayban s7i7 bezzaf,,نتحداك ت دفع داك راجل كايبان سحيح بزّاف
nt7edak t jessed dawr dial had lmomatil,,نتحداك ت جسّد داور ديال هاد لموماتيل
nt7edak t 7ser liya l2ar9am li kayjawbou 3la had dou2al,,نتحداك ت حسر لييا لأرقام لي كايجاوبو علا هاد دوأل
nt7edak t l5i had l9anoun,,نتحداك ت لخي هاد لقانون
nt7edak t 7wwel floussek lhad l3omla,,نتحداك ت حوّل فلوسّك لهاد لعوملا
nt7edak t t9a3ed men 5demtek ou tl9a mnin t3eyyech 3a2iltek ki7sabek la retraite 5at3eychek,,نتحداك ت تقاعد من خدمتك و تلقا منين تعيّش عاإلتك كيحسابك لا رترايت خاتعيشك
nt7edak t bedel dik l9a3ida fik,,نتحداك ت بدل ديك لقاعيدا فيك
nt7edak t wrini chi tari9a sahla tsehhel te5raj dial had temrin,,نتحداك ت وريني شي تاريقا ساهلا تسههل تخراج ديال هاد تمرين
nt7edak t t9olebni,,نتحداك ت تقولبني
nt7edak t nsej chi trico b7al hada,,نتحداك ت نسج شي تريكو بحال هادا
nt7edak t rje3 lour bla mati7,,نتحداك ت رجع لور بلا ماتيح
nt7edak t trassi liya chi chkel mgad b7al hada,,نتحداك ت تراسّي لييا شي شكل مڭاد بحال هادا
nt7edak t sejjel weldek bla machakil,,نتحداك ت سجّل ولدك بلا ماشاكيل
nt7edak t 7seb de5ya had la3amliya,,نتحداك ت حسب دخيا هاد لاعاملييا
