darija,eng,darija_ar
man9derch nkamal bla bik,,مانقدرش نكامال بلا بيك
sir goulha liha,,سير ڭولها ليها
ewa baraka madzidch fih,,إوا باراكا مادزيدش فيه
chehal fik dyal lfhamat,,شهال فيك ديال لفهامات
hadchi dirih rasek,,هادشي ديريه راسك
wach safi salitou?,,واش سافي ساليتو?
ana makanwsel 7ed,,أنا ماكانوسل حد
3tiwni ghir b tisa3,,عتيوني غير ب تيساع
bghit njme3 fleus,,بغيت نجمع فلوس
kifach njme3 fleusi,,كيفاش نجمع فلوسي
makan3rafch nwafar fleus,,ماكانعرافش نوافار فلوس
kifach n9tased?,,كيفاش نقتاسد?
ana li kansref 3la dar,,أنا لي كانسرف علا دار
machi ana li kansref,,ماشي أنا لي كانسرف
makhasni walou,,ماخاسني والو
ghaseki dzidi sway3,,غاسكي دزيدي سوايع
imta ghatwsel la comande?,,إمتا غاتوسل لا كوماند?
t3tlat la comande,,تعتلات لا كوماند
aji nsakhrek,,أجي نساخرك
khask t9dili wahd lgharad,,خاسك تقديلي واهد لغاراد
m7tajak fwahed lgharad,,محتاجاك فواهد لغاراد
daba makhdamach,,دابا ماخداماش
wach khdama?,,واش خداما?
fach katkhedmi?,,فاش كاتخدمي?
achnou hia khdamtek?,,أشنو هيا خدامتك?
mzawja wla ba9a?,,مزاوجا ولا باقا?
khasek dzawji,,خاسك دزاوجي
imta nfar7ou bik?,,إمتا نفارحو بيك?
khassek dir lina chi 3rasiia,,خاسّك دير لينا شي عراسيّا
mafia maytchaf,,مافيا مايتشاف
achnahwa had l3jeb,,أشناهوا هاد لعجب
ana kanbi3 wnchri,,أنا كانبيع ونشري
wach zwina?,,واش زوينا?
hahouma ghaybdaw tani,,هاهوما غايبداو تاني
3lach kaydirou haka?,,علاش كايديرو هاكا?
machi men 7a9ehoum,,ماشي من حاقهوم
kedbou 3lika,,كدبو عليكا
3lach katkedbou?,,علاش كاتكدبو?
l9itha tay7a f zan9a,,لقيتها تايحا ف زانقا
che7al khassek dyal flous?,,شحال خاسّك ديال فلوس?
lyouma lghda 3la 7sabi,,ليوما لغدا علا حسابي
kifach derty liha?,,كيفاش درتي ليها?
chel hada kant niya,,شل هادا كانت نييا
daba koulchi koulchi tbdal,,دابا كولشي كولشي تبدال
