darija,eng,darija_ar
saraha hadchi zwin,honestly this is beautiful ,الصراحة هادشي زوين 
hdar ala chi haja zwina,Talk about something beautiful,هضر على شي حاجة زوينة
kolchi k7al gdami,Everything darkened in front of me,كولشي كحال ڭدامي
tawahd makayswa chihaja,Nobody is worth anything,تاواحد ماكايسوا شيحاجة
lli kbar bik kabar bih,Who values you value him too,اللي كبر بيك كبر بيه
ma 3andek madir b bnadem,You don't need people,ما عندك مادير ببنادام
khali bnadam b3id 3lik,Keep people away from you,خلي بنادم بعيد عليك
bach trtah chrab fanida,Take a pill to relax,باش ترتاح شرب فانيدة
darni rasi bktrat tafkir,I have a headache from thinking,ضرني راسي بكترت التفكير
thla fsahtak,Take care of your health,تهلا فصحتك
lforsa makatjich jouj dlmrat,Opportunity doesn't come twice,الفرصة ماكاتجيش جوج دلمرات
ghtanam lforsa mahdha kayna,seize the moment while it lasts,اغتنم الفرصة ماحدها كاينة
lli mrid lah ichafih,whoever is sick may Allah heal him,اللي مريض الله إشافيه
kolchi mrid had liyam,Everyone is sick these days,كولشي مريض هاد الأيام
hadchi daba idouz otbra,It will pass and you will recover,هادشي دابا يدوز وتبرا
ila towal hadchi ghadi tmout,if it goes on like this you'll die,إلا طوال هادشي غادي تموت
kolchi dyal lah,It's all up to Allah,كولشي ديال الله
lli bghaha lah mrhba biha,What Allah wants is welcome,اللي بغاها الله مرحبا بيها
madarti fiha mayaslahe,You screwed it up,مادرتي فيها مايصلاح
makanche 3like diri hadchi,You didn't have to do that,ماكانش عليك ديري هادشي
hahowa lka like saba,He did find you a cause,هاهوا لقى ليك السبة
howa li kane ghalatte,It was his fault,هوااللي كان غالط
sdake wld nas,He turned out to be a good man,صدق ولد ناس
9lab lik koulchi 3la rassak,He set you up for everything,قلب ليك كولشي على راسك
tfarg3at la kokot fdar,The pressure cooker exploded at home,تفرڭعات لا كوكوت فالدار
matkhelihach f khatrek,Don't dwell on it,ماتخليهاش ف خاطرك
li hder m3ak 3tih 3lach ydour,Put whoever spoke to you back in their place,لي هدر معاك عطيه علاش يدور
bnadem hegar,People are oppressive,بنادم حڭار
kayshablihum dayrin fik khir,They think they're doing you a favor,كايصحابليهوم دايرين فيك خير
madayrin lkhire hta f rasshoum,they don't even benefit themselves,مادايرين لخير حتا فراسهوم
khedmi sway3ek u khrji,Work your hours and get out,خدمي سوايعك و خرجي
makatkhdmich sway3ek kolhoum,you don't work all of your hours,ماكاتخدميش سوايعك كولهوم
3lach katkhrji m3tla ?,Why do you go out late?,علاش كاتخرجي معطلا ?
had lhadra na9ssa !!,That's bad talking !!,هاد لهضدرة ناقصة !!
3atyha lik l9anun !,The law gives you that !,عاطيها ليك لقانون !
khaski tkhrji 9bel,You have to get out before,خاصكي تخرجي قبل
